,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15015767909385966,-0.6508839661577105,-0.742815047881063,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15089111108238557,-0.6504259256245442,-0.7430817749132701,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15005875623259715,-0.649974738141553,-0.7375821184532653,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.15331121068340872,-0.649586726337952,-0.7435912399332785,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.15081426301212913,-0.6495988954510545,-0.7369674036979651,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.1493639322249433,-0.6506370324330549,-0.7407948226839647,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.14969933306311395,-0.6500913605863096,-0.7399260943633956,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.1499636848700081,-0.6501959888887344,-0.7412968512092233,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.1517602998270847,-0.6491847065129904,-0.7418784236039645,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.15156209287414096,-0.6487702218711302,-0.7398386676381662,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.1528331968960041,-0.649104520017825,-0.7426172423680795,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15431038087404927,-0.6490546311358882,-0.7430479170775419,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.15397028388588457,-0.6482358846484888,-0.7409579281209392,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.1532393569286189,-0.6481615871706288,-0.7395064235856987,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15265154968714487,-0.6484314217393063,-0.7405434993721931,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15205318784379737,-0.6485412599386439,-0.7387631157448022,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
