,x,y
Acanthisittidae,50.525400946309766,6.532524585487681
Acanthizidae,6.324220912324419,38.825075330376805
Accipitridae,3.181571638390315,-27.878979331574453
Aegithalidae,14.825439246640524,24.218900531365012
Aegothelidae,-30.359406553849855,-41.943822798110354
Alaudidae,8.29794324686609,18.78206118062924
Alcedinidae,-39.270769928322046,-2.3048636869504313
Alcidae,1.7584608063655816,-54.383790005293626
Anatidae,-77.40580521676762,-2.480590042067164
Anhimidae,-65.4569772831122,-45.86288043916953
Anhingidae,33.652497617781165,-43.8464809271258
Anseranatidae,-75.70525571859228,12.723467850699302
Apodidae,-21.040924787694887,-51.50791863995549
Apterygidae,-81.37122601061809,58.108892840554134
Aramidae,-39.017454761290956,-20.78559796078097
Ardeidae,31.566073935805576,-37.42955771591977
Artamidae,33.566676772004875,21.721231104074423
Balaenicipitidae,35.418589445961096,-34.15190765571427
Bombycillidae,25.617875359139944,32.082955177769065
Brachypteraciidae,-29.5085443147829,11.168065335126613
Bucconidae,-40.80270977417152,3.014765085594869
Bucerotidae,-22.592165844644434,-8.566276472370191
Bucorvidae,-24.600571419150743,-5.987828685908078
Burhinidae,14.137973590249768,-51.87987714843669
Cacatuidae,-19.138491840216783,40.97824503006183
Callaeidae,36.01215344925467,23.982078458686562
Campephagidae,29.01629807025285,14.592357146490995
Caprimulgidae,-24.53370810603348,-48.46617481224308
Cariamidae,-29.022227859725763,29.66492722993389
Casuariidae,-64.23479988261364,76.59345817118958
Cathartidae,-28.450494208917647,34.705305790244445
Certhiidae,25.69168963837347,34.60232200996467
Cettiidae,11.59832503470941,25.052763902992563
Charadriidae,-14.91212482751498,-41.80512263335807
Chionididae,11.941011244055936,-54.65013551399459
Ciconiidae,14.370393095808247,-36.32465739843379
Cinclidae,9.718789491807255,30.574638463311405
Cisticolidae,47.84036245570624,-3.6475398361301608
Climacteridae,13.340496365121657,7.75360138598643
Coliidae,-11.815893249900583,-19.622332064147948
Columbidae,51.08234698958015,-33.42756555658961
Conopophagidae,49.46409106753017,0.17708342390967644
