name,x,y,z
Struthionidae,4.243389765669111,29.10688669672117,105.99439423921444
Casuariidae,-6.488844906578491,-47.934132958781596,98.79394014455228
Apterygidae,3.769019356709896,-16.177762150306954,108.73869286005787
Rheidae,-30.409170128850263,6.4577142250159785,105.51591879465312
Emeidae,-64.07013594361824,-18.316927231363003,87.51877899619252
Dinornithidae,-62.56270846176365,-16.07803350235855,89.0361340616413
Tinamidae,-40.38657929851425,-49.77847171299601,89.39271103675308
Anatidae,-53.74319019528424,93.01587869832379,23.65892300231307
Anseranatidae,-69.76086062494794,84.95969892910348,3.911611274122724
Anhimidae,-85.66374121230345,68.46741004283776,8.600350199531562
Cracidae,-57.97603578671869,65.34366513418055,66.85068078416518
Numididae,-88.53639729485013,48.428813253586156,43.77196843774438
Odontophoridae,-80.07176665291573,47.58774382649034,58.5145079668496
Phasianidae,-77.62450605642933,62.08197588685185,47.119986730652556
Megapodiidae,-39.925950350607614,84.38512189733602,58.181599419315674
Sagittariidae,83.78609635616947,-12.105693957840751,-70.2379601868601
Accipitridae,96.01443095793245,-17.53001439401479,-50.73417450976432
Cathartidae,90.9509523358246,-40.990730036263145,-46.34342607444898
Coliidae,87.41353196098886,-59.929502740922004,-29.450941433987506
Bucerotidae,44.774413778351196,-58.22111234173072,81.88762280414376
Bucorvidae,55.99212302514738,-54.75865934198434,77.2424766965847
Phoeniculidae,66.50923065491104,-23.28641284152212,84.46475024933892
Upupidae,51.975865137413145,-29.71703713109064,92.27911988843404
Alcedinidae,77.09888070132894,-62.638621888406455,47.2461052631924
Momotidae,66.8004708370041,-76.58169908781298,42.106641765823454
Todidae,73.87864812041248,-77.92875701835858,23.855460622068453
Brachypteraciidae,85.894815821188,-68.57750799008674,4.385753405167961
Coraciidae,90.8262726012709,-59.87593508232031,16.29384618175076
Meropidae,98.36774772454152,-49.19172292224123,-1.9973541397479937
Bucconidae,106.37767832119695,-26.97365156093177,7.49936640514055
Galbulidae,108.82312595715749,-10.641480278995578,12.013116764667943
Lybiidae,99.5079175158177,-7.995613641771891,46.19819622208092
Ramphastidae,101.90811942197736,-17.301797336816506,37.621959343033836
Megalaimidae,91.53558636402707,-16.06652473844322,58.84838172660223
Indicatoridae,95.8279017007818,-35.97891494295064,40.28100985787706
Picidae,88.12574614371758,-34.50884526195006,56.06265499703874
Trogonidae,45.20870393893084,-78.71184033630284,62.13411381078535
Strigidae,105.89904239608093,-18.407728767684414,-23.378989739199056
Tytonidae,17.586283000910996,-43.20180633637737,99.62105901616975
Falconidae,76.20989920007825,-37.77350087808051,-69.75129185430704
Acanthisittidae,-19.46958846129022,-98.8451254020405,44.16565554160884
Emberizidae,-97.08293074949924,-4.5287853549062795,-51.52109742925009
Parulidae,-98.28579358910285,0.5562139442940544,-49.392532073438
Icteridae,-95.17446516912153,0.7705144871329266,-55.14758659464572
Thraupidae,-92.4146058916987,-2.7130786195066,-59.60040807161933
Fringillidae,-92.24573234350838,-11.24918898881451,-58.857535044554034
Passeridae,-102.98311743087311,-8.034800377057975,-37.81465757000835
Ploceidae,-96.24424196838324,-25.331814798163798,-46.85481690264076
Estrildidae,-101.06002055729185,-22.53059246806259,-37.1385711628085
Irenidae,-87.21853259632078,-26.032333127771608,-61.76790447867253
Nectariniidae,-106.87935566196484,-2.9288637089981497,-25.85060754942717
Dicaeidae,-108.0100060766118,-10.514303740580774,-17.98101288020923
Muscicapidae,-85.92990124626749,-55.42475488141667,-40.54845790111823
Turdidae,-66.17198735448507,-74.9780189538921,-45.82132236551917
Sturnidae,-81.2332884967777,-44.00428058956806,-59.70598755410554
Mimidae,-93.81905068661145,-14.010691903165887,-55.69304319818369
Cinclidae,-106.45041067119914,-27.626611009157624,2.260365479055414
Bombycillidae,-106.06352068882588,-26.74842937611793,-11.622388954900668
Certhiidae,-72.65995289060808,-59.35046664274741,-57.428931517484266
Sittidae,-106.01353048577329,-29.061419833468317,-4.073579657018728
Paridae,-87.09611955624433,-50.51677512971127,-44.29842219262152
Alaudidae,-89.98428180349288,-62.3928757467171,-10.487464154001344
Pycnonotidae,-82.17111094745204,-66.96616214761133,-29.384868093944526
Sylviidae,-79.4566814886738,-73.87632397627823,-18.137070948104657
Zosteropidae,-78.32358610652362,-77.04835206133328,-5.384804923484471
Timaliidae,-82.24510111921805,-72.9356843239599,-4.019715674326856
Phylloscopidae,-70.30375693422569,-82.7190959884242,-17.747161457775114
Pellorneidae,-97.85682577883229,-47.96834716388104,-14.936804841525166
Leiothrichidae,-88.10865209354954,-65.813090081955,2.3518971362459626
Locustellidae,-92.02781886727439,-54.39821951067089,-25.91800703407114
Hirundinidae,-70.48260915224351,-79.98179722514203,-27.113515813068247
Cettiidae,-94.39503293118086,-56.275247772255604,4.76477345837979
Aegithalidae,-97.87997925874618,-50.18988375298595,-0.7169722354007048
Stenostiridae,-70.89981670047773,-70.75702041095843,-45.4608499086745
