name,x,y,z
Struthionidae,3.8097850522160552,26.1326411141563,95.16350867843973
Casuariidae,-5.828243790724497,-43.05416708258042,88.7361582066701
Apterygidae,3.3781659102121773,-14.500101864001737,97.46231329030395
Rheidae,-27.1297761442344,5.761299653551105,94.13684242031589
Emeidae,-57.23541441588439,-16.36295764746358,78.1826589134656
Dinornithidae,-55.86248847384376,-14.356139356666516,79.5007143243145
Tinamidae,-36.224945731542014,-44.64905094026413,80.18124244112268
Anatidae,-37.45249638671701,64.82080516987915,16.487404730497314
Anseranatidae,-48.84996444740836,59.492933931279474,2.73910140960391
Anhimidae,-59.84900421897726,47.83478113990788,6.008637821465115
Cracidae,-39.5507747933119,44.57691093952998,45.604984621590745
Numididae,-60.848743151485735,33.28385284285946,30.08332557098721
Odontophoridae,-54.59651747227747,32.44745552513216,39.89781280138012
Phasianidae,-53.195350831432485,42.54419970426447,32.290887925101295
Megapodiidae,-27.543018545742196,58.21329128030814,40.13672455520567
Sagittariidae,39.17314081576755,-5.659865714082331,-32.838879297060686
Accipitridae,44.17835938452859,-8.065946631023195,-23.34391374513045
Cathartidae,42.77785909486808,-19.279574635046,-21.79716099361105
Coliidae,41.2387518942957,-28.272715210550555,-13.893959431723491
Bucerotidae,18.71783327290236,-24.33919244973673,34.232918790404845
Bucorvidae,23.543720408942043,-23.0250702395614,32.479127005451225
Phoeniculidae,26.894744912227413,-9.41646937014012,34.1555283328665
Upupidae,20.70199744274214,-11.836301811759132,36.75479184229575
Alcedinidae,33.810905403672685,-27.46951058199768,20.719283875650685
Momotidae,29.894944831791005,-34.27229839354325,18.84381527358907
Todidae,33.667714934227305,-35.51341616587926,10.871325725119418
Brachypteraciidae,39.26503647353717,-31.348787779003825,2.0048563556658903
Coraciidae,40.731474944555565,-26.851648534492867,7.307052997935499
Meropidae,44.22694693549245,-22.117002469546488,-0.8980268186823772
Bucconidae,46.641616165670165,-11.826679455184347,3.288119978499184
Galbulidae,46.88589752841082,-4.584828358156305,5.175791052416555
Lybiidae,41.46672774285439,-3.3319151108524023,19.25161407028217
Ramphastidae,43.27163967298111,-7.346589695700039,15.97482004100471
