x,y,z,order,family,order_eng,family_eng
-0.09390280296930571,-0.6974139553565353,-0.7119995003619426,Passeriformes,Acanthisittidae,song birds,New Zealand wrens
-0.09341684240464146,-0.6979836973719014,-0.7196840536923095,Passeriformes,Acanthizidae,song birds,Acanthizidae
-0.08664738572798032,-0.6914333182305303,-0.7158940525419969,Accipitriformes,Accipitridae,hawks and eagles,Accipitridae
-0.09983181767663611,-0.6932460149009809,-0.7120497588731718,Passeriformes,Aegithalidae,song birds,Aegithalidae
-0.0954908134331515,-0.6844051296142747,-0.7184158280176534,Caprimulgiformes,Aegothelidae,nightjars and others,Aegothelidae
-0.09997538877349246,-0.6946462066215973,-0.7132494294866243,Passeriformes,Alaudidae,song birds,larks
-0.08846726509315403,-0.6933518047127055,-0.7118622304008703,Coraciiformes,Alcedinidae,kingfishers and others,kingfishers
-0.09207101770457757,-0.6866166456125592,-0.7110040852030435,Charadriiformes,Alcidae,shorebirds and others,Alcidae
-0.09678091880918759,-0.6857311768258965,-0.712368512667733,Anseriformes,Anatidae,"ducks, geese and swans",waterfowl
-0.0987265712006581,-0.6864731916053844,-0.7133016125062094,Anseriformes,Anhimidae,"ducks, geese and swans",screamers
-0.08849546321353345,-0.6864737428339254,-0.7161622791109633,Pelecaniformes,Anhingidae,"Ibis, herons and pelicans",anhingas
-0.09842401462000273,-0.6861240983070976,-0.7134400306906532,Anseriformes,Anseranatidae,"ducks, geese and swans",Anseranatidae
-0.09098963772714423,-0.6848905855992045,-0.7182053959985918,Apodiformes,Apodidae,swifts and hummingbirds,swifts
-0.09299863993875356,-0.6897388225158785,-0.7091731598531559,Apterygiformes,Apterygidae,kiwis,Apterygidae
-0.09175467009176799,-0.6897527857819765,-0.7094683423912602,Gruiformes,Aramidae,terrestrial and marshbirds,limpkins
-0.08743971396420075,-0.6882097257469694,-0.7152329475722006,Pelecaniformes,Ardeidae,"Ibis, herons and pelicans",herons
-0.09776897124244503,-0.6930856365519379,-0.7225392177462117,Passeriformes,Artamidae,song birds,Artamidae
-0.08764793751272351,-0.6882728499351723,-0.714255273540796,Ciconiiformes,Balaenicipitidae,storks and others,Balaenicipitidae
-0.10062063932392071,-0.692209488855222,-0.712956807274163,Passeriformes,Bombycillidae,song birds,Bombycillidae
-0.08782562537181761,-0.6938040533373423,-0.7131044461444183,Coraciiformes,Brachypteraciidae,kingfishers and others,Brachypteraciidae
-0.08751335892198814,-0.6919517311272537,-0.712875789016954,Galbuliformes,Bucconidae,jacamars,Bucconidae
-0.09056046021768091,-0.6927241311151067,-0.7099235116766387,Bucerotiformes,Bucerotidae,hornbills,Bucerotidae
-0.08972195664259727,-0.692911568513468,-0.7105040444752196,Bucerotiformes,Bucorvidae,hornbills,Bucorvidae
-0.09278125837606908,-0.6849223689919964,-0.7129143409630695,Charadriiformes,Burhinidae,shorebirds and others,Burhinidae
-0.08733252019103609,-0.6907370725088401,-0.7194107141364519,Psittaciformes,Cacatuidae,parrots and others,cockatoos
-0.09377148716192604,-0.6923779270133102,-0.7236883575048473,Passeriformes,Callaeidae,song birds,Callaeidae
-0.09321493284319286,-0.696337857461158,-0.7218047935449315,Passeriformes,Campephagidae,song birds,cuckooshrikes
-0.09124957678594123,-0.6845217438010864,-0.7166480169706071,Caprimulgiformes,Caprimulgidae,nightjars and others,Caprimulgidae
-0.08669080025212386,-0.6921691838070099,-0.7168119883305153,Cariamiformes,Cariamidae,seriamas,seriemas
-0.09300788239432646,-0.6905923736522194,-0.7090276170929364,Casuariiformes,Casuariidae,Emu and cassowaries,cassowaries
-0.08691994024371302,-0.6932264587844148,-0.715450776572592,Accipitriformes,Cathartidae,hawks and eagles,Cathartidae
-0.09767199097903471,-0.6965415028433912,-0.7202750884739675,Passeriformes,Certhiidae,song birds,Certhiidae
-0.09948209581214837,-0.693316142323735,-0.7116432107288838,Passeriformes,Cettiidae,song birds,Cettiidae
-0.09105904006630154,-0.6849223112236231,-0.7142538404688717,Charadriiformes,Charadriidae,shorebirds and others,Charadriidae
-0.09229664631773923,-0.6845657771123131,-0.7139921573788687,Charadriiformes,Chionididae,shorebirds and others,Chionididae
-0.08980030030368184,-0.6854193912142776,-0.7175069953603878,Ciconiiformes,Ciconiidae,storks and others,storks
