,x0,xup,y0,yup,z0,zup
branch_1,-0.09397040760188274,-0.0940594928605152,-0.6910462462245403,-0.6913877598657633,-0.7151067735363512,-0.7163349616699051
branch_2,-0.0943080370488553,-0.0940594928605152,-0.6902211098253822,-0.6913877598657633,-0.715733853825838,-0.7163349616699051
branch_Struthionidae,-0.09306664586603412,-0.09397040760188274,-0.6888800791159344,-0.6910462462245403,-0.7094167632521738,-0.7151067735363512
branch_3,-0.09405248400797159,-0.09397040760188274,-0.6910854769137679,-0.6910462462245403,-0.7148023899132266,-0.7151067735363512
branch_4,-0.09497085939305433,-0.0943080370488553,-0.6898328108770821,-0.6902211098253822,-0.714912469420882,-0.715733853825838
branch_5,-0.09382941042621823,-0.0943080370488553,-0.6888412215318886,-0.6902211098253822,-0.7158503709081264,-0.715733853825838
branch_6,-0.09389565638697363,-0.09405248400797159,-0.6909980764554216,-0.6910854769137679,-0.7146190097849063,-0.7148023899132266
branch_7,-0.09421841709268979,-0.09405248400797159,-0.6910752052868632,-0.6910854769137679,-0.7144714956443076,-0.7148023899132266
branch_Anseriformes,-0.09570132140422465,-0.09497085939305433,-0.6893130516069091,-0.6898328108770821,-0.7150422970509359,-0.714912469420882
branch_Galliformes,-0.09466638094226049,-0.09497085939305433,-0.6896263283860619,-0.6898328108770821,-0.7141187306681631,-0.714912469420882
branch_8,-0.09300343288745756,-0.09382941042621823,-0.6890344164005403,-0.6888412215318886,-0.715604682986759,-0.7158503709081264
branch_9,-0.09455619710723745,-0.09382941042621823,-0.6881773303488027,-0.6888412215318886,-0.7159875126986667,-0.7158503709081264
branch_10,-0.09379847289592888,-0.09389565638697363,-0.6910857346313365,-0.6909980764554216,-0.714547126623473,-0.7146190097849063
branch_Rheidae,-0.09377401911080073,-0.09389565638697363,-0.6895415188038432,-0.6909980764554216,-0.7098815604214136,-0.7146190097849063
branch_Dinornithiformes,-0.09506987367406149,-0.09421841709268979,-0.6898727756170402,-0.6910752052868632,-0.7098221493319531,-0.7144714956443076
branch_Tinamidae,-0.09411739442621736,-0.09421841709268979,-0.691043359484888,-0.6910752052868632,-0.7130513655691946,-0.7144714956443076
branch_11,-0.09561475923786601,-0.09570132140422465,-0.6889909189693809,-0.6893130516069091,-0.7148289847664843,-0.7150422970509359
branch_Anhimidae,-0.09872656691543673,-0.09570132140422465,-0.6864731961178463,-0.6893130516069091,-0.7133016152913721,-0.7150422970509359
branch_12,-0.09522088904588712,-0.09466638094226049,-0.6896057051630236,-0.6896263283860619,-0.713897332426781,-0.7141187306681631
branch_Megapodiidae,-0.09436559279258436,-0.09466638094226049,-0.687994917384278,-0.6896263283860619,-0.7123741821842847,-0.7141187306681631
branch_13,-0.0919399848372234,-0.09300343288745756,-0.6900293172273554,-0.6890344164005403,-0.7152996921725042,-0.715604682986759
branch_14,-0.0941046926611573,-0.09300343288745756,-0.6887246566643573,-0.6890344164005403,-0.7160126827760633,-0.715604682986759
branch_15,-0.09539534641464567,-0.09455619710723745,-0.6883222646138454,-0.6881773303488027,-0.7162179058590655,-0.7159875126986667
branch_16,-0.09361888781435788,-0.09455619710723745,-0.6872820375505925,-0.6881773303488027,-0.7156225193403327,-0.7159875126986667
branch_Casuariidae,-0.09350189525816764,-0.09379847289592888,-0.6909660205812355,-0.6910857346313365,-0.7124603731728808,-0.714547126623473
