,x_present,y_present,z_present,x_split,y_split,z_split
branch_Acanthisittidae,-0.09390280296930571,-0.6974139553565353,-0.7119995003619426,-0.09390280300064366,-0.6974139541512976,-0.7119995012290339
branch_Acanthizidae,-0.09341684240464146,-0.6979836973719014,-0.7196840536923095,-0.09341684241632599,-0.6979836972519754,-0.719684053631417
branch_Accipitridae,-0.08664738572798032,-0.6914333182305303,-0.7158940525419969,-0.08970089867747613,-0.6914145498756905,-0.7160756907330733
branch_Aegithalidae,-0.09983181767663611,-0.6932460149009809,-0.7120497588731718,-0.09983181610236756,-0.6932460143941847,-0.712049760041862
branch_Aegothelidae,-0.0954908134331515,-0.6844051296142747,-0.7184158280176534,-0.09520475769522985,-0.6858006391090796,-0.7179999576878326
branch_Alaudidae,-0.09997538877349246,-0.6946462066215973,-0.7132494294866243,-0.09997538716006822,-0.694646205732931,-0.713249430328132
branch_Alcedinidae,-0.08846726509315403,-0.6933518047127055,-0.7118622304008703,-0.09065321790865395,-0.6925840767979022,-0.7136105818481387
branch_Alcidae,-0.09207101770457757,-0.6866166456125592,-0.7110040852030435,-0.09207101989189763,-0.6866166508607786,-0.7110040910670006
branch_Anatidae,-0.09678091880918759,-0.6857311768258965,-0.712368512667733,-0.09592343559955907,-0.6875134869353894,-0.7136182852080697
branch_Anhimidae,-0.0987265712006581,-0.6864731916053844,-0.7133016125062094,-0.09872656691543673,-0.6864731961178463,-0.7133016152913721
branch_Anhingidae,-0.08849546321353345,-0.6864737428339254,-0.7161622791109633,-0.08849546710834957,-0.6864737462737333,-0.716162279231841
branch_Anseranatidae,-0.09842401462000273,-0.6861240983070976,-0.7134400306906532,-0.098424010612583,-0.6861241031400902,-0.713440033348723
branch_Apodidae,-0.09098963772714423,-0.6848905855992045,-0.7182053959985918,-0.09217613900700312,-0.6874017482592721,-0.7174824717469702
branch_Apterygidae,-0.09299863993875356,-0.6897388225158785,-0.7091731598531559,-0.0930936539891763,-0.6898865076598716,-0.7098145982514253
branch_Aramidae,-0.09175467009176799,-0.6897527857819765,-0.7094683423912602,-0.0917546732556573,-0.6897527880263473,-0.7094683518172445
branch_Ardeidae,-0.08743971396420075,-0.6882097257469694,-0.7152329475722006,-0.09000150600892219,-0.689439594999538,-0.7156594166420727
branch_Artamidae,-0.09776897124244503,-0.6930856365519379,-0.7225392177462117,-0.09776896787019597,-0.6930856350084155,-0.7225392121059856
branch_Balaenicipitidae,-0.08764793751272351,-0.6882728499351723,-0.714255273540796,-0.08764794421570521,-0.6882728531916652,-0.7142552757150128
branch_Bombycillidae,-0.10062063932392071,-0.692209488855222,-0.712956807274163,-0.10062063455218352,-0.6922094882576016,-0.7129568097309996
branch_Brachypteraciidae,-0.08782562537181761,-0.6938040533373423,-0.7131044461444183,-0.08899069001088213,-0.6933524656052573,-0.7137082060753949
branch_Bucconidae,-0.08751335892198814,-0.6919517311272537,-0.712875789016954,-0.08943092559117481,-0.6917865263661582,-0.7138890885070884
branch_Bucerotidae,-0.09056046021768091,-0.6927241311151067,-0.7099235116766387,-0.09159396052890874,-0.6923294105614299,-0.7118172452424093
branch_Bucorvidae,-0.08972195664259727,-0.692911568513468,-0.7105040444752196,-0.08984641330278499,-0.6928678459655674,-0.7106713506240153
branch_Burhinidae,-0.09278125837606908,-0.6849223689919964,-0.7129143409630695,-0.09278125920111036,-0.6849223731651074,-0.7129143431709221
branch_Cacatuidae,-0.08733252019103609,-0.6907370725088401,-0.7194107141364519,-0.08849811982595121,-0.6908498187593362,-0.7188777706969219
branch_Callaeidae,-0.09377148716192604,-0.6923779270133102,-0.7236883575048473,-0.09377148742374909,-0.6923779261131594,-0.72368835081995
branch_Campephagidae,-0.09321493284319286,-0.696337857461158,-0.7218047935449315,-0.09321493361097379,-0.6963378529610746,-0.7218047885723631
branch_Caprimulgidae,-0.09124957678594123,-0.6845217438010864,-0.7166480169706071,-0.09299786062525858,-0.6887936667367875,-0.7164532390809817
branch_Cariamidae,-0.08669080025212386,-0.6921691838070099,-0.7168119883305153,-0.09091562360580878,-0.6917211561457193,-0.7165384861662669
branch_Casuariidae,-0.09300788239432646,-0.6905923736522194,-0.7090276170929364,-0.09350189525816764,-0.6909660205812355,-0.7124603731728808
branch_Cathartidae,-0.08691994024371302,-0.6932264587844148,-0.715450776572592,-0.08853791346662729,-0.6928097708243908,-0.7156511515664237
branch_Certhiidae,-0.09767199097903471,-0.6965415028433912,-0.7202750884739675,-0.09767198825324393,-0.6965414989546626,-0.7202750855009663
branch_Cettiidae,-0.09948209581214837,-0.693316142323735,-0.7116432107288838,-0.09948209433325841,-0.6933161417978131,-0.7116432120084507
branch_Charadriidae,-0.09105904006630154,-0.6849223112236231,-0.7142538404688717,-0.09210843275189622,-0.68718356810033,-0.7149817017338155
