x,y,z,order,family,genus,species,order_eng,family_eng,genus_eng,species_eng
-0.09327382391861655,-0.6969519991379994,-0.7114813265164466,Passeriformes,Acanthisittidae,Traversia,Traversia lyalli,song birds,New Zealand wrens,Traversia,Stephens Island wren
-0.09412962227334899,-0.6976244548720877,-0.7123057525872946,Passeriformes,Acanthisittidae,Xenicus,Xenicus gilviventris,song birds,New Zealand wrens,Xenicus,South Island wren
-0.09427529659456027,-0.6976751860623339,-0.7123906608270563,Passeriformes,Acanthisittidae,Pachyplichas,Pachyplichas yaldwyni,song birds,New Zealand wrens,Pachyplichas,Pachyplichas yaldwyni
-0.09393453079634838,-0.6973248894402366,-0.711877306965211,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris,song birds,New Zealand wrens,Acanthisitta,rifleman
-0.093309941236455,-0.6981684363686044,-0.719266924680336,Passeriformes,Acanthizidae,Pyrrholaemus,Pyrrholaemus brunneus,song birds,Acanthizidae,Pyrrholaemus,Redthroat
-0.09321610539461118,-0.6978437571448947,-0.7199049203926429,Passeriformes,Acanthizidae,Smicrornis,Smicrornis brevirostris,song birds,Acanthizidae,Smicrornis,Weebill
-0.0928364439032414,-0.6978428192714101,-0.7197950437333148,Passeriformes,Acanthizidae,Mohoua,Mohoua novaeseelandiae,song birds,Acanthizidae,Mohoua,Mohoua novaeseelandiae
-0.0938446527054186,-0.6980503656152455,-0.7196059457576948,Passeriformes,Acanthizidae,Acanthiza,Acanthiza nana,song birds,Acanthizidae,Acanthiza,yellow thornbill
-0.09402583826145934,-0.698030637629123,-0.7196526191201056,Passeriformes,Acanthizidae,Gerygone,Gerygone igata,song birds,Acanthizidae,Gerygone,Gerygone igata
-0.09349431657123942,-0.6980873408337357,-0.7194864691161076,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,song birds,Acanthizidae,Acanthiza,striated thornbill
-0.09287922722933323,-0.6979414368131456,-0.7196200948600586,Passeriformes,Acanthizidae,Gerygone,Gerygone magnirostris,song birds,Acanthizidae,Gerygone,Large-billed gerygone
-0.09315219753895457,-0.6982226077722153,-0.7190913139447402,Passeriformes,Acanthizidae,Calamanthus,Calamanthus fuliginosus,song birds,Acanthizidae,Calamanthus,Striated Calamanthus
-0.09312098453772671,-0.6977225325876741,-0.720093374268016,Passeriformes,Acanthizidae,Origma,Origma robusta,song birds,Acanthizidae,Origma,Mountain mouse-warbler
-0.09357192490204899,-0.6979157961515002,-0.7198396482901076,Passeriformes,Acanthizidae,Aphelocephala,Aphelocephala nigricincta,song birds,Acanthizidae,Aphelocephala,Banded whiteface
-0.09375442265492627,-0.6978192493986922,-0.7200334320463356,Passeriformes,Acanthizidae,Sericornis,Sericornis nouhuysi,song birds,Acanthizidae,Sericornis,Large scrubwren
