,x,y,z
GBIR6967-15,-0.23472756913080495,-0.09583500844829523,0.12880868425274095
BABNA714-07,-0.19321694533507652,0.07643002112566591,-0.08193959821494556
YIO255-10,-0.2310573833484871,0.04963656599342487,-0.18595563648980734
YIO315-10,-0.24252196640985665,0.04441754870147619,-0.18364699864532652
YIO613-17,-0.25430295752518217,0.027450125460183602,-0.18897989770753817
YIO614-17,-0.25430295752518217,0.027450125460183602,-0.18897989770753817
YIO239-10,-0.27572700599485284,0.10854797566509386,-0.11488743845477034
YIO325-10,-0.270843076319699,0.12498965452852301,-0.11931516051761086
YIO446-10,-0.2741779218672143,0.1084263584928293,-0.10963161130225392
YIO638-17,-0.27144457345872536,0.11545514962063708,-0.10777732715031176
KAARG199-07,-0.3998997350468904,-0.15729958408503072,0.10416094991356091
KAARG209-07,-0.40886385985548657,-0.16011275701301367,0.12148182210016163
KBAR248-06,-0.3169912925356758,0.04623459405776457,0.13181594624711837
KBPBR212-07,-0.4469841991972718,-0.2922226152388623,0.04112824390437035
KBPBR251-07,-0.4469841991972718,-0.2922226152388623,0.041128243904370476
BON318-07,-0.45572429618610855,-0.17215038264701,0.18518023831684807
GBIR13459-19,-0.1559077513440289,0.15787220182079575,-0.05007193563130266
GBIR13460-19,-0.2693820254647709,0.0706857489960153,-0.07470737678222207
GBIR13678-19,-0.1559077513440289,0.15787220182079575,-0.0500719356313024
GBIR13679-19,-0.2693820254647709,0.07068574899601557,-0.07470737678222207
BBIND335-08,-0.22195473063454269,0.13477493146083475,-0.17830321317176814
BJNSM437-10,-0.2702731541467279,0.1049073025057033,-0.11850492094907783
BJNSM438-10,-0.272284880694433,0.12092329960804953,-0.09484735861727416
BJNSM465-10,-0.27192385126409685,0.10988987449461521,-0.10884713584168461
BJNSM537-10,-0.26437319589332386,0.11915567800005569,-0.1096866803757541
BJNSM751-11,-0.2741779218672156,0.10842635849282918,-0.10963161130225392
BOM095-07,-0.182210246186368,0.21260663818575395,-0.07240328431124128
BOM777-07,-0.2237409826398471,0.06654678559212542,0.015595120101677325
BOM796-07,-0.1811235620986813,0.2109825672424868,-0.07194596819236161
BON056-06,-0.2583343586173088,0.1270099026713592,-0.10939699562702822
BON293-07,-0.26060691314451495,0.10715432811738074,-0.10953084694892003
BSBNA706-06,-0.19103672614919098,0.04558785532977512,0.03904340098298975
BSBNA707-06,-0.19103672614919098,0.04558785532977512,0.03904340098298975
GBIR11891-19,-0.16788110573925577,0.1507992550960603,-0.03846846336909405
GBMNA11355-19,-0.16788110573925577,0.1507992550960603,-0.038468463369093917
GBMNA11499-19,-0.19063251109118465,0.05355442306966972,0.033007860401889966
GBMTG4447-16,-0.19063251109118465,0.053554423069669455,0.033007860401889966
KBARG291-07,-0.36141626253911247,0.04676301751323662,0.14445626202531187
KBARG298-07,-0.3625726616085116,0.05213639383313661,0.14699820979859726
KBPBR074-07,-0.25748982642800483,0.11953935119379899,-0.11014278644641008
KBPBR100-07,-0.2583343586173088,0.12700990267135906,-0.10939699562702822
KBPBR143-07,-0.25748982642800483,0.11953935119379926,-0.11014278644641022
KBPBR159-07,-0.2715827607045528,0.09848932706469836,-0.12100009539839929
KBPBR181-07,-0.25748982642800483,0.11953935119379899,-0.11014278644641036
KBPBR458-07,-0.16248031706605276,0.08092607879215001,0.012961689155851469
KBPBR459-07,-0.16248031706605276,0.08092607879214975,0.0129616891558516
KBPBR477-07,-0.16248031706605276,0.08092607879214989,0.0129616891558516
KBPBR482-07,-0.25748982642800483,0.11953935119379926,-0.11014278644641036
KBPBR501-07,-0.2715827607045528,0.09848932706469836,-0.12100009539839943
KBPZM121-07,-0.25692166012845,0.11994658133625795,-0.10907483907303277
KBPZM130-07,-0.25692166012845,0.11994658133625835,-0.10907483907303277
MNCN406-08,0.12077865716962899,0.03890963090032808,0.030642724703215784
MNCN409-08,0.12077865716962914,0.03890963090032821,0.030642724703215652
MNCN425-08,0.12094475182602417,0.03818343851968071,0.029469075309831387
BOI072-08,-0.27625892158702664,0.11379019578097488,-0.18955173684265506
BOI139-08,-0.2659602749868532,0.12987356627308697,-0.20524991076702565
BON210-07,-0.2694836963775932,0.12109097365082269,-0.18938609439806273
BON325-07,-0.45572429618610855,-0.17215038264701,0.18518023831684807
BROMB974-08,-0.46571212334084056,-0.17601210428226902,0.1895741280079575
CDANS020-05,-0.4720444452874811,-0.18760506774085522,0.18213168791938855
CDANS021-05,-0.46552428869331003,-0.17546166355967183,0.19681700010147438
GBIR1651-09,-0.27494337163804045,0.11809778329019528,-0.1847468125455159
GBIR1652-09,-0.27494337163804045,0.11809778329019542,-0.1847468125455159
KBPBK070-08,-0.4548701446605854,-0.1659640173812216,0.18630720882883453
KBPBK175-08,-0.4714354145285429,-0.18034418997710822,0.19153992416430965
KBPBK212-08,-0.45924040111487574,-0.17838873223606488,0.18884174508317597
KBPBK254-08,-0.4613319623409847,-0.1764125526857245,0.18710179137481672
KBPBK281-08,-0.46571212334084056,-0.17601210428226902,0.1895741280079575
KBPBU722-06,-0.2672372228376582,0.11518147386167185,-0.20499493884177078
KBPBU724-06,-0.27625892158702664,0.11379019578097513,-0.18955173684265636
BOM151-07,-0.15048949001528866,0.20754022480363554,-0.08237331457385855
BOM484-07,-0.29310572348560054,0.037013709335974386,0.12695972839331068
