,x,y,z
Emberiza impetuani impetuani,-0.23477732062913684,-0.09585532108255454,0.12883598579667044
Certhia americana,-0.2108792774994457,0.07483363847722291,-0.08418519076156446
Alauda arvensis,-0.2663193096653721,0.03591575312203647,-0.20646592480815448
Sitta europaea,-0.2766281207916231,0.12054180350963517,-0.1103829405927893
Donacospiza albifrons,-0.4074502577920405,-0.16077583149329605,0.11023813210641017
Euphonia cyanocephala,-0.3185974137594505,0.04156375367894964,0.13547854326589762
Emberiza buchanani,-0.4470789393836216,-0.29228455305472284,0.041136961209143716
Calcarius lapponicus,-0.4659591646482972,-0.17653454723638617,0.18945026965155728
Sitta himalayensis,-0.15512065109855727,0.15368501172243815,-0.0498239195538891
Sitta nagaensis,-0.26943912212129134,0.07070073113866382,-0.07472321132583891
Eumyias indigo,-0.3776241015654283,0.1008892843674231,-0.25524083654978
Auriparus flaviceps,-0.18271683885685475,0.2189542955954398,-0.07701608172795417
Sitta carolinensis,-0.20080955899885064,0.04731353890259324,0.033423031294388346
Moho braccatus,-0.1679166888477214,0.15083121763423574,-0.03847661692216135
Euphonia pectoralis,-0.3637265258082626,0.049659174474718314,0.1464062385132348
Sitta krueperi,-0.14530652390188514,0.0901118508043906,0.027783773535664153
Trogon rufus,0.14825388971554795,0.0515440694015672,0.05204969783937898
Saxicola rubicola,-0.2774435549532019,0.11616680419294362,-0.18878883504539537
Saxicola maurus,-0.32038706806313555,0.13540716567242064,-0.23639053177864203
Euphonia hirundinacea,-0.25314694406957894,0.078562214340865,0.13453584997911408
Saxicola torquatus,-0.3224277096340404,0.14123908544538735,-0.24670173153408068
Euphonia violacea,-0.29461149853627516,0.029617502675575776,0.13423642844554706
Certhia familiaris,-0.23145143954752428,0.09976957917238231,-0.026484029378879528
Emberiza elegans,-0.4563319038871918,-0.2379022038592357,0.17264648113713787
Troglodytes troglodytes,-0.22188768134589218,-0.0926206835040673,-0.10016352221908802
Emberiza yessoensis,-0.45081770049244596,-0.21412241188073258,0.14059651510422283
Luscinia luscinia,-0.3129147493903789,0.14706404361795994,-0.1902415528243412
Luscinia megarhynchos,-0.23850462563012706,0.11178385155031707,-0.19966545517410442
Upupa epops,-0.010535388568038562,-0.008125854226128734,-0.044467702808013196
Muscicapa dauurica,-0.2643598617723033,0.2109442456015274,-0.2881807868391634
Muscicapa striata,-0.30498681577066844,0.15038735127397637,-0.20731329125773737
Muscicapa sibirica,-0.29903388720594887,0.16070209993912898,-0.22482223077358815
Eumyias thalassinus,-0.3261774153116835,0.055927665017919126,-0.2245672729314887
Chelidorhynx hypoxanthus,-0.17823686550724396,0.11191766956543898,-0.17080718959658225
Cistothorus palustris,-0.24018490268278947,-0.06890383766302915,-0.20153510488729326
Tauraco schalowi,0.21111586962400725,-0.11977582232085089,0.05683109551257308
Calcarius ornatus,-0.4357272573516737,-0.1099042139629306,0.2111857447069012
Campylorhamphus trochilirostris,0.17616936688594043,0.19961763352801212,0.14802450411460563
Dumetella carolinensis,-0.34248030382909755,0.09638566235449535,-0.1553995142962278
Brachypteryx leucophris,-0.24658629985170355,0.10594226686611273,-0.05457264108522339
Brachypteryx montana,-0.2930442289901603,0.13086868542802338,-0.10016854412100659
Luscinia svecica,-0.22356658041365254,0.11863881775331368,-0.15960095405478789
Trogon personatus,0.1849344565416936,0.02688772680248445,0.00817860217053133
Cinclocerthia ruficauda,-0.27310121911212154,0.1123581235148155,-0.19059244681696422
Cinclocerthia gutturalis,-0.26597458941242597,0.13722517270617005,-0.18591648060754276
Muscicapa ferruginea,-0.2827332330233841,0.16554783971805473,-0.19950022657389435
Ramphocinclus brachyurus,-0.33379432626053535,0.10962817330195718,-0.22188642160675567
Margarops fuscatus,-0.352534636122416,0.1188017369670592,-0.20955351939487027
Phoeniculus purpureus,0.13838887126608931,-0.01925162323733189,-0.07474463778438788
Muscicapa griseisticta,-0.273434879319471,0.1999449412435168,-0.15764705799045392
Tichodroma muraria,-0.2132873754624482,-0.0029468379729005157,0.06494517450401946
Bucanetes githagineus,-0.2610343802466076,0.013336313689128678,0.19516648467234296
Stercorarius maccormicki,0.26586901018352194,-0.08682571463498498,0.08134248740643929
Stercorarius pomarinus,0.2563583039744917,-0.0639046266529086,0.08501585633584059
Saxicola rubetra,-0.3122774749340294,0.13519745017478765,-0.18688350312700347
Stercorarius antarcticus,0.2658376993835992,-0.08797788383662372,0.08229120967750937
