taxon,x,y,z
Emberiza impetuani impetuani,-0.15986135217034947,-0.28086660106817396,0.05371294654227595
Certhia americana,-0.20483139367930384,-0.16694883411449718,0.06172039189832427
Alauda arvensis,-0.23939236453893376,-0.09709638482801444,0.08221519573369905
Sitta europaea,-0.16619813831083197,-0.1510095927131946,0.08765219784337062
Donacospiza albifrons,-0.27377239102378287,-0.31048770686239996,0.07506485997153507
Euphonia cyanocephala,-0.2288089733186949,-0.23985851030835284,0.05160009676240583
Emberiza buchanani,-0.25412875385666067,-0.3314830103162721,0.07359947275264493
Calcarius lapponicus,-0.2395905670123207,-0.35431466795106953,0.0849180289636957
Sitta himalayensis,-0.1459923190735812,-0.14976585841769863,0.07791602282012415
Sitta nagaensis,-0.15204587069166683,-0.1531886096889063,0.09715896511402315
Eumyias indigo,-0.21617046626681322,-0.1489214316568264,0.07326777928011134
Auriparus flaviceps,-0.19611417556452612,-0.13427599665125137,0.038665069699163335
Sitta carolinensis,-0.1498690478755841,-0.157443301673591,0.06878179876429871
Moho braccatus,-0.17988055001375258,-0.12403464343146485,0.029309783568758605
Euphonia pectoralis,-0.21280392926690614,-0.24985131837429758,0.06439137537621838
Sitta krueperi,-0.16457082161936235,-0.13888107034654693,0.07847925769330341
Trogon rufus,-0.11758072950784865,-0.05712590526922039,0.006214344653727284
Saxicola rubicola,-0.22046535663339942,-0.14452978672202887,0.1366346321586497
Saxicola maurus,-0.2259313856054984,-0.13962311939020358,0.1428471688445213
Euphonia hirundinacea,-0.21938486092679962,-0.22511767855532339,0.0644361736219159
Saxicola torquatus,-0.22582740556139688,-0.1432350849517442,0.13932464234588218
Euphonia violacea,-0.20984042888906387,-0.23259031718038034,0.062055065197062456
Certhia familiaris,-0.2146775147945936,-0.16694024934195795,0.07160502346688609
Emberiza elegans,-0.24495130731596546,-0.33907632772092045,0.06139803983902705
Troglodytes troglodytes,-0.12816383046930255,-0.21736701629100627,0.10467252530812379
Emberiza yessoensis,-0.25183146872516515,-0.3705922330243046,0.07325068057785498
Luscinia luscinia,-0.23083100948812915,-0.1296011034190638,0.11654733197884441
Luscinia megarhynchos,-0.2327778046769246,-0.1293606658326401,0.12812452008249758
Upupa epops,-0.18893236689471604,-0.12303159762405415,0.019612505190557468
Muscicapa dauurica,-0.21187272546056568,-0.1418268034429993,0.1250967077052175
Muscicapa striata,-0.24026305726002772,-0.14828893316612296,0.13750090704264326
Muscicapa sibirica,-0.2250109026795691,-0.13950047767408308,0.12813349350663028
Eumyias thalassinus,-0.22181998454368423,-0.14261921484567258,0.11322994464658949
Chelidorhynx hypoxanthus,-0.19435767206731644,-0.13150589963756276,0.06349144523208683
Cistothorus palustris,-0.12673994878077438,-0.22310554562206186,0.09708755653327428
Tauraco schalowi,-0.0595356435415191,-0.0937567656406852,-0.06848411771779789
Calcarius ornatus,-0.2275524922348613,-0.3671946801513468,0.084930377261159
Campylorhamphus trochilirostris,-0.00931106889424128,0.022017348912598707,0.16855852324236492
Dumetella carolinensis,-0.2892636647270317,-0.1571002551468518,0.08933156875819856
Brachypteryx leucophris,-0.2171224658851884,-0.14909061809099478,0.09167480087143053
