seqid,x,y,z
GBIR6967-15,-0.15986135217034947,-0.28086660106817396,0.05371294654227595
BABNA714-07,-0.20499283659944542,-0.15831242994903022,0.05914497538744327
YIO255-10,-0.24702287442518478,-0.10231927188734893,0.08199886684517133
YIO315-10,-0.24456118475001262,-0.09671796608662944,0.06903396034581596
YIO613-17,-0.24131663761386984,-0.09643823533214227,0.07147025090140903
YIO614-17,-0.24131663761386984,-0.09643823533214227,0.07147025090140903
YIO239-10,-0.16926840374121963,-0.15270111268004868,0.08467656317242347
YIO325-10,-0.1598559326944588,-0.1611381976137526,0.08311675673863103
YIO446-10,-0.17548756152515535,-0.15288697669525314,0.08955073135961031
YIO638-17,-0.17274460936545016,-0.15117267879323767,0.0843569046162582
KAARG199-07,-0.26325433754801014,-0.3100269333403235,0.0724200219226723
KAARG209-07,-0.2666845715923021,-0.31329696913350114,0.0743328273157809
KBAR248-06,-0.2299107907468906,-0.23955148538879545,0.052284497951542525
KBPBR212-07,-0.2508260073743065,-0.33466163919037867,0.07559007586352057
KBPBR251-07,-0.2508260073743065,-0.33466163919037867,0.07559007586352057
BON318-07,-0.23952359102759346,-0.35503569045155564,0.08620882650734023
GBIR13459-19,-0.14998095001665981,-0.1502058858161087,0.07115772828367822
GBIR13460-19,-0.15167490717337975,-0.15225829584551842,0.09464502393791167
GBIR13678-19,-0.14998095001665981,-0.1502058858161087,0.07115772828367822
GBIR13679-19,-0.15167490717337975,-0.15225829584551842,0.09464502393791167
BBIND335-08,-0.22527352292466288,-0.12627754685771767,0.07784147846056927
BJNSM437-10,-0.17299063221964678,-0.15069378131584057,0.09305229035076394
BJNSM438-10,-0.17681631940787979,-0.1557536314915362,0.0827960699776172
BJNSM465-10,-0.1703437082432444,-0.1546747740251975,0.08650327977775912
BJNSM537-10,-0.1722604400013751,-0.1526797122442059,0.08538690021390946
BJNSM751-11,-0.17548756152515535,-0.15288697669525314,0.08955073135961031
BOM095-07,-0.1976726935444916,-0.13645427076125913,0.03834991113809354
BOM777-07,-0.14807702703433606,-0.15813933240072509,0.0871923541333342
BOM796-07,-0.1813056409990933,-0.14637907955726848,0.016359961670870147
BON056-06,-0.1448641328646789,-0.1504777303869968,0.08874079619774808
BON293-07,-0.14817314303322043,-0.1501873732091946,0.08973580577252678
BSBNA706-06,-0.14961333480564507,-0.15887719975002168,0.06803085451879211
BSBNA707-06,-0.14961333480564507,-0.15887719975002168,0.06803085451879211
GBIR11891-19,-0.17988055001375258,-0.12403464343146485,0.029309783568758605
GBMNA11355-19,-0.17988055001375258,-0.12403464343146485,0.029309783568758605
GBMNA11499-19,-0.15314754889403862,-0.15956952106827635,0.06374846446655837
GBMTG4447-16,-0.15314754889403862,-0.15956952106827635,0.06374846446655837
KBARG291-07,-0.21447897237405342,-0.25204188666572397,0.06496918714397282
KBARG298-07,-0.21112810049318317,-0.24909689151533504,0.06161583970004144
KBPBR074-07,-0.17881374340341716,-0.14759465875062008,0.09437256244411446
KBPBR100-07,-0.1448641328646789,-0.1504777303869968,0.08874079619774808
KBPBR143-07,-0.17881374340341716,-0.14759465875062008,0.09437256244411446
KBPBR159-07,-0.17205078411311797,-0.14938768565833477,0.10184785964285636
KBPBR181-07,-0.17881374340341716,-0.14759465875062008,0.09437256244411446
KBPBR458-07,-0.1508598767399308,-0.14392688478811397,0.08496152842432136
KBPBR459-07,-0.1508598767399308,-0.14392688478811397,0.08496152842432136
KBPBR477-07,-0.1508598767399308,-0.14392688478811397,0.08496152842432136
KBPBR482-07,-0.17881374340341716,-0.14759465875062008,0.09437256244411446
KBPBR501-07,-0.17205078411311797,-0.14938768565833477,0.10184785964285636
KBPZM121-07,-0.18178230958420002,-0.15297654366880561,0.09141236757267282
KBPZM130-07,-0.18178230958420002,-0.15297654366880561,0.09141236757267282
MNCN406-08,-0.11363928578785724,-0.06566197828788797,0.0013461862992819515
MNCN409-08,-0.11363928578785724,-0.06566197828788797,0.0013461862992819515
MNCN425-08,-0.1077851596657678,-0.06935005560642242,-0.004226426190630804
BOI072-08,-0.22113861926465295,-0.14283906865656384,0.13752995751934477
