GBIR6967-15;Emberiza impetuani impetuani
BABNA714-07;Certhia americana
YIO255-10;Alauda arvensis
YIO315-10;Alauda arvensis
YIO613-17;Alauda arvensis
YIO614-17;Alauda arvensis
YIO239-10;Sitta europaea
YIO325-10;Sitta europaea
YIO446-10;Sitta europaea
YIO638-17;Sitta europaea
KAARG199-07;Donacospiza albifrons
KAARG209-07;Donacospiza albifrons
KBAR248-06;Euphonia cyanocephala
KBPBR212-07;Emberiza buchanani
KBPBR251-07;Emberiza buchanani
BON318-07;Calcarius lapponicus
GBIR13459-19;Sitta himalayensis
GBIR13460-19;Sitta nagaensis
GBIR13678-19;Sitta himalayensis
GBIR13679-19;Sitta nagaensis
BBIND335-08;Eumyias indigo
BJNSM437-10;Sitta europaea
BJNSM438-10;Sitta europaea
BJNSM465-10;Sitta europaea
BJNSM537-10;Sitta europaea
BJNSM751-11;Sitta europaea
BOM095-07;Auriparus flaviceps
BOM777-07;Sitta carolinensis
BOM796-07;Auriparus flaviceps
BON056-06;Sitta europaea
BON293-07;Sitta europaea
BSBNA706-06;Sitta carolinensis
BSBNA707-06;Sitta carolinensis
GBIR11891-19;Moho braccatus
GBMNA11355-19;Moho braccatus
GBMNA11499-19;Sitta carolinensis
GBMTG4447-16;Sitta carolinensis
KBARG291-07;Euphonia pectoralis
KBARG298-07;Euphonia pectoralis
KBPBR074-07;Sitta europaea
KBPBR100-07;Sitta europaea
KBPBR143-07;Sitta europaea
KBPBR159-07;Sitta europaea
KBPBR181-07;Sitta europaea
KBPBR458-07;Sitta krueperi
KBPBR459-07;Sitta krueperi
KBPBR477-07;Sitta krueperi
KBPBR482-07;Sitta europaea
KBPBR501-07;Sitta europaea
KBPZM121-07;Sitta europaea
KBPZM130-07;Sitta europaea
MNCN406-08;Trogon rufus
MNCN409-08;Trogon rufus
MNCN425-08;Trogon rufus
BOI072-08;Saxicola rubicola
BOI139-08;Saxicola maurus
BON210-07;Saxicola rubicola
BON325-07;Calcarius lapponicus
BROMB974-08;Calcarius lapponicus
CDANS020-05;Calcarius lapponicus
CDANS021-05;Calcarius lapponicus
GBIR1651-09;Saxicola rubicola
GBIR1652-09;Saxicola rubicola
KBPBK070-08;Calcarius lapponicus
KBPBK175-08;Calcarius lapponicus
KBPBK212-08;Calcarius lapponicus
KBPBK254-08;Calcarius lapponicus
KBPBK281-08;Calcarius lapponicus
KBPBU722-06;Saxicola maurus
