"","x","y","z"
"GBIR6967-15",-0.179852218629202,-0.0734303982936455,0.0986953843016794
"BABNA714-07",-0.148046079222614,0.058561970032875,-0.0627835008350935
"YIO255-10",-0.177040060440134,0.0380323732406458,-0.142482342032264
"YIO315-10",-0.18582441716006,0.0340334742510769,-0.140713424815259
"YIO613-17",-0.194851211062405,0.0210327486623984,-0.144799581936112
"YIO614-17",-0.194851211062405,0.0210327486623984,-0.144799581936112
"YIO239-10",-0.211266677995233,0.083171287988743,-0.0880286911981854
"YIO325-10",-0.207524528783881,0.0957691793763061,-0.0914212864498815
"YIO446-10",-0.210079743634558,0.0830781028621037,-0.0840015878732031
"YIO638-17",-0.207985406027034,0.0884636810594096,-0.0825808041112841
"KAARG199-07",-0.306409915306256,-0.120525591825041,0.0798098749365039
"KAARG209-07",-0.313278378780168,-0.122681092324445,0.0930814190626947
"KBAR248-06",-0.242884069646328,0.035425725020292,0.100999599114157
"KBPBR212-07",-0.342486825111828,-0.223905891749124,0.0315131534907256
"KBPBR251-07",-0.342486825111828,-0.223905891749124,0.0315131534907257
"BON318-07",-0.34918363469537,-0.131904523919289,0.141888218886678
"GBIR13459-19",-0.119459146126494,0.120964341182797,-0.0383659607931692
"GBIR13460-19",-0.206405047000118,0.0541606119361112,-0.0572420509103591
"GBIR13678-19",-0.119459146126494,0.120964341182797,-0.038365960793169
"GBIR13679-19",-0.206405047000118,0.0541606119361114,-0.0572420509103591
"BBIND335-08",-0.170065454550948,0.103266823443828,-0.136618926342596
"BJNSM437-10",-0.207087844811758,0.0803817428686498,-0.0908004672399291
"BJNSM438-10",-0.208629263590216,0.0926534697181305,-0.0726736443512106
"BJNSM465-10",-0.208352636757344,0.0841994734829269,-0.0834005095568979
"BJNSM537-10",-0.202567197383662,0.0912990882576492,-0.0840437827252332
"BJNSM751-11",-0.210079743634559,0.0830781028621036,-0.0840015878732031
"BOM095-07",-0.139612560871916,0.162902788601263,-0.0554766164351194
"BOM777-07",-0.171434110935771,0.0509892684344885,0.0119492437997878
"BOM796-07",-0.138779925213296,0.161658398078925,-0.055126213119054
"BON056-06",-0.197940138508329,0.0973171275445425,-0.0838218213895694
"BON293-07",-0.199681408079634,0.0821034517547143,-0.0839243805277986
"BSBNA706-06",-0.14637555854568,0.0349301829093544,0.029915711714746
"BSBNA707-06",-0.14637555854568,0.0349301829093544,0.029915711714746
"GBIR11891-19",-0.128633332015222,0.115544930223103,-0.0294751848272763
"GBMNA11355-19",-0.128633332015222,0.115544930223103,-0.0294751848272762
"GBMNA11499-19",-0.146065842157209,0.0410343013483837,0.0252911788226064
"GBMTG4447-16",-0.146065842157209,0.0410343013483835,0.0252911788226064
"KBARG291-07",-0.276923230224016,0.0358306119758136,0.110684822052818
"KBARG298-07",-0.277809282676322,0.0399477834535495,0.112632505268547
"KBPBR074-07",-0.197293043714511,0.0915930651235913,-0.0843932588819603
"KBPBR100-07",-0.197940138508329,0.0973171275445424,-0.0838218213895694
"KBPBR143-07",-0.197293043714511,0.0915930651235915,-0.0843932588819604
"KBPBR159-07",-0.208091287423243,0.0754641819428208,-0.0927123119467061
"KBPBR181-07",-0.197293043714511,0.0915930651235913,-0.0843932588819605
"KBPBR458-07",-0.124495156730487,0.0620069251755382,0.00993146463576625
"KBPBR459-07",-0.124495156730487,0.062006925175538,0.0099314646357663
"KBPBR477-07",-0.124495156730487,0.0620069251755381,0.00993146463576639
"KBPBR482-07",-0.197293043714511,0.0915930651235915,-0.0843932588819605
"KBPBR501-07",-0.208091287423243,0.0754641819428208,-0.0927123119467062
"KBPZM121-07",-0.196857705122186,0.0919050917205741,-0.0835749796095579
"KBPZM130-07",-0.196857705122186,0.0919050917205744,-0.0835749796095579
"MNCN406-08",0.0925426422445866,0.0298132148233838,0.0234789719977292
"MNCN409-08",0.0925426422445867,0.0298132148233839,0.0234789719977291
"MNCN425-08",0.0926699067690127,0.0292567939849851,0.0225797020565176
"BOI072-08",-0.211674240684738,0.0871879653729766,-0.145237734716932
"BOI139-08",-0.203783244127418,0.099511314848938,-0.157265940092125
