"","x","y","z"
"Emberiza impetuani impetuani",-0.179890339065537,-0.073445962176283,0.0987163032046694
"Certhia americana",-0.161579255737374,0.0573387947485792,-0.064504111682563
"Alauda arvensis",-0.204058342547836,0.0275192552227953,-0.158197670540283
"Sitta europaea",-0.211957127336309,0.0923611609793135,-0.0845772690355151
"Donacospiza albifrons",-0.312195253059951,-0.123189151164047,0.0844663143332274
"Euphonia cyanocephala",-0.244114706791138,0.031846848418351,0.103805942664731
"Emberiza buchanani",-0.342559416638982,-0.223953349547289,0.0315198328365296
"Calcarius lapponicus",-0.357025763368704,-0.135263744700873,0.14515998884539
"Sitta himalayensis",-0.118856056655769,0.117756045575253,-0.0381759266955823
"Sitta nagaensis",-0.206448795420423,0.0541720915062577,-0.0572541836044905
"Eumyias indigo",-0.28934194958818,0.0773030696674658,-0.19556982977432
"Auriparus flaviceps",-0.140000720712133,0.167766470666636,-0.0590110195414735
"Sitta carolinensis",-0.153863667747391,0.0362524307406279,0.0256092897560711
"Moho braccatus",-0.128660596392504,0.115569420458422,-0.0294814322170239
"Euphonia pectoralis",-0.278693392868791,0.0380496962399659,0.112178926894982
"Sitta krueperi",-0.111336307029567,0.0690452184716395,0.021288395439804
"Trogon rufus",0.11359462837913,0.0394939344934102,0.0398813555223043
"Saxicola rubicola",-0.212581926730982,0.0890089627840954,-0.144653186504971
"Saxicola maurus",-0.245485970074309,0.103751251949896,-0.181126408630907
"Euphonia hirundinacea",-0.193965454073887,0.0601956924018311,0.103083635184009
"Saxicola torquatus",-0.247049544030761,0.108219767147832,-0.189027023627312
"Euphonia violacea",-0.225736294384302,0.0226934296051531,0.102854213359735
"Certhia familiaris",-0.177341992939686,0.0764451326799852,-0.0202925095661775
"Emberiza elegans",-0.349649193954134,-0.182284677250743,0.132284642941688
"Troglodytes troglodytes",-0.170014080256203,-0.0709675283599803,-0.0767469784803142
"Emberiza yessoensis",-0.345424118398714,-0.164064199947153,0.107727418925117
"Luscinia luscinia",-0.239760553598621,0.112682948250243,-0.145766283345504
"Luscinia megarhynchos",-0.182746262962411,0.0856506706165323,-0.152987036118713
"Upupa epops",-0.00807239224220215,-0.00622616642876037,-0.0340719031726026
"Muscicapa dauurica",-0.202556980555456,0.161629035391902,-0.220808974724438
"Muscicapa striata",-0.233686037273462,0.11522932257404,-0.158846936992084
"Muscicapa sibirica",-0.229124803100286,0.123132656804867,-0.172262581474882
"Eumyias thalassinus",-0.249922631703538,0.0428527193182758,-0.172067228480224
"Chelidorhynx hypoxanthus",-0.136568089644079,0.0857532042345532,-0.130875346771239
"Cistothorus palustris",-0.184033719552841,-0.0527952814475588,-0.154419593232569
"Tauraco schalowi",0.161760536609792,-0.0917742532856786,0.0435449429860898
"Calcarius ornatus",-0.333861566590182,-0.0842104606251703,0.161814076075701
"Campylorhamphus trochilirostris",0.13498393736307,0.152950394367682,0.113418869266539
"Dumetella carolinensis",-0.262414179589366,0.0738523185950982,-0.119069726336671
"Brachypteryx leucophris",-0.18893857792725,0.0811747500007522,-0.0418144771488816
"Brachypteryx montana",-0.224535426049566,0.100273791913215,-0.0767508263461833
"Luscinia svecica",-0.171300481011382,0.0909030612274967,-0.122288940273969
"Trogon personatus",0.14169989674913,0.020601829334448,0.00626658279256481
"Cinclocerthia ruficauda",-0.209254755841157,0.0860906874722176,-0.146035144235218
"Cinclocerthia gutturalis",-0.20379421208149,0.105144239572586,-0.142452340135496
"Muscicapa ferruginea",-0.216634967199468,0.126845544274229,-0.152860435181129
"Ramphocinclus brachyurus",-0.255758837217551,0.0839989536194454,-0.17001311502285
"Margarops fuscatus",-0.270117978408076,0.0910278926742584,-0.160563437538615
"Phoeniculus purpureus",0.106035885017525,-0.0147509181144297,-0.0572706009180667
"Muscicapa griseisticta",-0.209510411914205,0.153201183054439,-0.120791832186314
"Tichodroma muraria",-0.163424380973094,-0.00225791690907684,0.0497620870316237
"Bucanetes githagineus",-0.200008940576081,0.0102185082655892,0.149539849112579
"Stercorarius maccormicki",0.203713315497293,-0.0665273255672235,0.0623259844722947
"Stercorarius pomarinus",0.196426052144468,-0.048964801734864,0.0651405816422941
"Saxicola rubetra",-0.239272263172087,0.103590564401902,-0.143193289084243
"Stercorarius antarcticus",0.203689324634805,-0.0674101370235782,0.0630529114623655
"Stercorarius skua",0.201680048218495,-0.0450875784360041,0.0657417691622139
"Bucanetes mongolicus",-0.293479384991125,-0.0748619622596332,0.0929831045502426
"Tachyphonus rufus",-0.375052745820146,-0.158291493047533,0.124764657784742
"Saxicola insignis",-0.251026696891225,0.0727743480417475,-0.167858808509427
