species,genus,family
Hylia prasina,Hylia,Sylviidae
Cettia castaneocoronata,Cettia,Sylviidae
Cettia cetti,Cettia,Sylviidae
Lioparus chrysotis,Lioparus,Sylviidae
Acrocephalus rufescens,Acrocephalus,Sylviidae
Acrocephalus stentoreus,Acrocephalus,Sylviidae
Acrocephalus sechellensis,Acrocephalus,Sylviidae
Acrocephalus bistrigiceps,Acrocephalus,Sylviidae
Acrocephalus tangorum,Acrocephalus,Sylviidae
Acrocephalus griseldis,Acrocephalus,Sylviidae
Acrocephalus palustris,Acrocephalus,Sylviidae
Acrocephalus baeticatus,Acrocephalus,Sylviidae
Acrocephalus orientalis,Acrocephalus,Sylviidae
Acrocephalus taiti,Acrocephalus,Sylviidae
Acrocephalus arundinaceus,Acrocephalus,Sylviidae
Acrocephalus newtoni,Acrocephalus,Sylviidae
Acrocephalus scirpaceus avicenniae,Acrocephalus,Sylviidae
Acrocephalus australis,Acrocephalus,Sylviidae
Acrocephalus concinens,Acrocephalus,Sylviidae
Acrocephalus schoenobaenus,Acrocephalus,Sylviidae
Acrocephalus brevipennis,Acrocephalus,Sylviidae
Acrocephalus scirpaceus,Acrocephalus,Sylviidae
Acrocephalus gracilirostris,Acrocephalus,Sylviidae
Acrocephalus paludicola,Acrocephalus,Sylviidae
Acrocephalus melanopogon,Acrocephalus,Sylviidae
Acrocephalus dumetorum,Acrocephalus,Sylviidae
Acrocephalus agricola,Acrocephalus,Sylviidae
Eremomela usticollis,Eremomela,Sylviidae
Urosphena squameiceps,Urosphena,Sylviidae
Nesillas typica,Nesillas,Sylviidae
Panurus biarmicus,Panurus,Sylviidae
Chamaea fasciata,Chamaea,Sylviidae
Regulus regulus,Regulus,Sylviidae
Regulus calendula,Regulus,Sylviidae
Regulus ignicapilla,Regulus,Sylviidae
Regulus satrapa,Regulus,Sylviidae
Hippolais languida,Hippolais,Sylviidae
Hippolais icterina,Hippolais,Sylviidae
Hippolais polyglotta,Hippolais,Sylviidae
Hippolais olivetorum,Hippolais,Sylviidae
Fulvetta ruficapilla,Fulvetta,Sylviidae
Fulvetta cinereiceps,Fulvetta,Sylviidae
Fulvetta vinipectus,Fulvetta,Sylviidae
Arundinax aedon,Arundinax,Sylviidae
Iduna pallida,Iduna,Sylviidae
Iduna opaca,Iduna,Sylviidae
Iduna caligata,Iduna,Sylviidae
Iduna similis,Iduna,Sylviidae
Iduna natalensis,Iduna,Sylviidae
Iduna rama,Iduna,Sylviidae
Sylvia curruca,Sylvia,Sylviidae
Sylvia mystacea,Sylvia,Sylviidae
Sylvia melanocephala,Sylvia,Sylviidae
Sylvia nisoria,Sylvia,Sylviidae
Sylvia nana,Sylvia,Sylviidae
Sylvia borin,Sylvia,Sylviidae
Sylvia communis,Sylvia,Sylviidae
Sylvia crassirostris,Sylvia,Sylviidae
Sylvia subcoerulea,Sylvia,Sylviidae
Sylvia undata,Sylvia,Sylviidae
Sylvia ruppeli,Sylvia,Sylviidae
Sylvia cantillans,Sylvia,Sylviidae
Sylvia melanothorax,Sylvia,Sylviidae
Sylvia atricapilla,Sylvia,Sylviidae
Abroscopus albogularis,Abroscopus,Sylviidae
Abroscopus superciliaris,Abroscopus,Sylviidae
Sinosuthora alphonsiana,Sinosuthora,Sylviidae
Sinosuthora webbiana,Sinosuthora,Sylviidae
Sinosuthora conspicillata,Sinosuthora,Sylviidae
Sinosuthora webbiana-alphonsiana complex E01,Sinosuthora,Sylviidae
Sinosuthora webbiana suffusa,Sinosuthora,Sylviidae
Sinosuthora webbiana webbiana,Sinosuthora,Sylviidae
Sinosuthora webbiana-alphonsiana complex E03,Sinosuthora,Sylviidae
Sinosuthora webbiana fulvicauda,Sinosuthora,Sylviidae
Sinosuthora alphonsiana alphonsiana,Sinosuthora,Sylviidae
Sinosuthora webbiana-alphonsiana complex E02,Sinosuthora,Sylviidae
Psittiparus gularis,Psittiparus,Sylviidae
Hyliota flavigaster,Hyliota,Sylviidae
Ortalis canicollis,Ortalis,Cracidae
Ortalis motmot,Ortalis,Cracidae
Ortalis cinereiceps,Ortalis,Cracidae
Aburria aburri,Aburria,Cracidae
Pauxi pauxi,Pauxi,Cracidae
Pauxi unicornis,Pauxi,Cracidae
Penelopina nigra,Penelopina,Cracidae
Chamaepetes unicolor,Chamaepetes,Cracidae
Chamaepetes goudotii,Chamaepetes,Cracidae
Penelope marail,Penelope,Cracidae
Penelope pileata,Penelope,Cracidae
Penelope superciliaris,Penelope,Cracidae
Penelope obscura,Penelope,Cracidae
Penelope purpurascens,Penelope,Cracidae
Penelope albipennis,Penelope,Cracidae
