seqId,x,y,z,population,region
HGDP00001,0.10077379307522691,0.1262466824733649,-0.32145444004107177,Brahui,South Asia
HGDP00003,0.10332593015557878,0.13077964972505135,-0.31459165494998026,Brahui,South Asia
HGDP00005,0.10092901517171429,0.13186510173944768,-0.31410214637638845,Brahui,South Asia
HGDP00007,0.10470254147565405,0.12766469027197802,-0.31733528967234503,Brahui,South Asia
HGDP00011,0.10855602265771677,0.12609285927653535,-0.31836266837213567,Brahui,South Asia
HGDP00015,0.09688878569684936,0.12677397810749982,-0.3187946271147384,Brahui,South Asia
HGDP00017,0.1027794355612831,0.1309475326947447,-0.3170805307191818,Brahui,South Asia
HGDP00019,0.1015555951442566,0.12921397013492836,-0.31655120960547733,Brahui,South Asia
HGDP00021,0.10248126931366949,0.12636392800215093,-0.31549175554056497,Brahui,South Asia
HGDP00023,0.10452606615575069,0.1279003174732051,-0.3147800997699022,Brahui,South Asia
HGDP00025,0.09742629626090227,0.12580726300334352,-0.3111905139816845,Brahui,South Asia
HGDP00027,0.10343043397113968,0.12850331788788166,-0.3145752629195055,Brahui,South Asia
HGDP00031,0.09923959546037944,0.12816247050793822,-0.3221115004605656,Brahui,South Asia
HGDP00033,0.10243976307013622,0.1286461407534763,-0.31582979870201966,Brahui,South Asia
HGDP00035,0.09959074007854818,0.12931904425299737,-0.3145068056622951,Brahui,South Asia
HGDP00037,0.10079053295834312,0.13176526037120007,-0.3174011563627633,Brahui,South Asia
HGDP00039,0.1001615725772386,0.12752893768054124,-0.3205361456049326,Brahui,South Asia
HGDP00041,0.10445982626233918,0.12574159154639486,-0.32321835161892715,Brahui,South Asia
HGDP00043,0.09906093031863633,0.1271476050170568,-0.3145230013455851,Brahui,South Asia
HGDP00045,0.1012209497199675,0.1273644630653836,-0.3177754798622522,Brahui,South Asia
HGDP00047,0.10377072510215515,0.12475950255182088,-0.31142299890727404,Brahui,South Asia
HGDP00049,0.10731058948156566,0.1292179347455204,-0.3194622542396216,Brahui,South Asia
HGDP00052,0.09894831035045773,0.13264094176183153,-0.3112003245128944,Balochi,South Asia
HGDP00054,0.107520322821584,0.12764730983000327,-0.32241113793125853,Balochi,South Asia
HGDP00056,0.10191752901930626,0.12851290314001118,-0.32097561534366364,Balochi,South Asia
HGDP00058,0.09857968383708643,0.12579459690134004,-0.31870938903066626,Balochi,South Asia
HGDP00062,0.10028904793466159,0.1274292824805585,-0.31660835017017935,Balochi,South Asia
HGDP00064,0.09991759046382778,0.1276564600143406,-0.32038145162718856,Balochi,South Asia
HGDP00066,0.10028904793466159,0.1274292824805585,-0.31660835017017935,Balochi,South Asia
HGDP00068,0.10176799413422902,0.12612751133941807,-0.3182819311090155,Balochi,South Asia
HGDP00070,0.1042378153514052,0.13000672469950447,-0.3189537478628189,Balochi,South Asia
HGDP00072,0.10461855944057658,0.1312151842943518,-0.3192949429604491,Balochi,South Asia
HGDP00074,0.1027167352872376,0.12478060570240089,-0.3183010656922219,Balochi,South Asia
HGDP00076,0.1052124428525027,0.13006615639214,-0.3144670606542663,Balochi,South Asia
HGDP00078,0.10770342093934829,0.12723769472836757,-0.3200476252523981,Balochi,South Asia
HGDP00080,0.1036335277138333,0.12597082544736754,-0.32204170490486456,Balochi,South Asia
HGDP00082,0.10134178233309216,0.12943520087841182,-0.3229951630956997,Balochi,South Asia
HGDP00086,0.103890119736125,0.12837752604566116,-0.3192805614048619,Balochi,South Asia
HGDP00088,0.10248505498506252,0.13090750784605815,-0.31761732103848767,Balochi,South Asia
HGDP00090,0.10150067308678709,0.12549603210271082,-0.3184218801930168,Balochi,South Asia
HGDP00092,0.10283388166872753,0.1252449523886612,-0.3178295405690973,Balochi,South Asia
HGDP00096,0.10669503275960271,0.12669485356117788,-0.3162137400559959,Balochi,South Asia
HGDP00098,0.10313031476862816,0.1264316529144042,-0.3197227302752078,Balochi,South Asia
HGDP00099,0.10250797843981949,0.13318751283033792,-0.3165633058407533,Hazara,South Asia
HGDP00100,0.10037881644521932,0.12930152616012472,-0.32018444770872573,Hazara,South Asia
HGDP00103,0.1033281088404118,0.1295428914492811,-0.3184308690990853,Hazara,South Asia
HGDP00106,0.10127440312695363,0.1296425757789867,-0.3201272611435314,Hazara,South Asia
HGDP00108,0.09636543655608024,0.1272020893601719,-0.32336799722452175,Hazara,South Asia
HGDP00109,0.1017397775049518,0.1268876250713148,-0.32216196746991216,Hazara,South Asia
HGDP00110,0.1013938602532179,0.1266524963723488,-0.31428084165709097,Hazara,South Asia
HGDP00112,0.10426615579202009,0.13043143613673291,-0.3192005739676238,Hazara,South Asia
HGDP00115,0.0987909148847774,0.1336795169806264,-0.32286531690635406,Hazara,South Asia
HGDP00116,0.09971605195270156,0.13001611536112243,-0.32194659942643367,Hazara,South Asia
HGDP00119,0.10582568569955289,0.1266614107603235,-0.32008973553707,Hazara,South Asia
HGDP00120,0.09750903702610661,0.1284030995079611,-0.3213347647441537,Hazara,South Asia
HGDP00122,0.09851374983499028,0.12761012444816772,-0.3253389457395955,Hazara,South Asia
HGDP00124,0.09921268064280381,0.13340630302615075,-0.32258204170787347,Hazara,South Asia
HGDP00125,0.09795997741399123,0.12831240068521418,-0.31964995411052616,Hazara,South Asia
HGDP00127,0.10305055688533885,0.13359015667511043,-0.32061197407417247,Hazara,South Asia
HGDP00129,0.10118189192015778,0.12977255401706028,-0.32007778328899933,Hazara,South Asia
HGDP00131,0.10160028681210814,0.12943139260089184,-0.32100388938334695,Makrani,South Asia
HGDP00133,0.10217373203193711,0.12884985724328712,-0.3195080404491442,Makrani,South Asia
HGDP00134,0.09889267307255362,0.1302830053460855,-0.32077939210355577,Makrani,South Asia
HGDP00135,0.09992954802890644,0.1256639477340245,-0.31266694807544765,Makrani,South Asia
HGDP00136,0.0984951631260238,0.12740905771783817,-0.31891271101494906,Makrani,South Asia
HGDP00137,0.09946207786671882,0.12942811586004993,-0.3185252544257639,Makrani,South Asia
HGDP00139,0.1009116348879463,0.1269746003803187,-0.317430026463089,Makrani,South Asia
HGDP00140,0.09986053576638312,0.12940018035246645,-0.31848266041590245,Makrani,South Asia
HGDP00141,0.10090298423476116,0.13189900554596623,-0.31703151042582794,Makrani,South Asia
HGDP00143,0.10142244336264344,0.1304674264699111,-0.3190509549988087,Makrani,South Asia
HGDP00144,0.09881279013973732,0.12700840357132523,-0.31413699667012196,Makrani,South Asia
HGDP00145,0.09928349066609388,0.1307127081132789,-0.31915291631342324,Makrani,South Asia
HGDP00146,0.10107460352363301,0.12654984316692489,-0.31415360258519087,Makrani,South Asia
HGDP00148,0.10221639400724705,0.1306668896880318,-0.318278855782565,Makrani,South Asia
HGDP00149,0.10248126931366949,0.12636392800215093,-0.31549175554056497,Makrani,South Asia
HGDP00151,0.10221639400724705,0.1306668896880318,-0.318278855782565,Makrani,South Asia
HGDP00153,0.0997835900530013,0.129700163196181,-0.3165674163601866,Makrani,South Asia
HGDP00155,0.0987692152136336,0.12799769191907734,-0.31690817218167244,Makrani,South Asia
