seqId,x,y,z,population,region
HGDP00001,0.10047561129253797,0.13002444147455108,-0.3144565999268518,Brahui,South Asia
HGDP00003,0.09912452935025638,0.13025352573051124,-0.3146073424801725,Brahui,South Asia
HGDP00005,0.098510018067404,0.1291205606417549,-0.3212589955512061,Brahui,South Asia
HGDP00007,0.1011206339641049,0.12705214752347896,-0.32368549991478346,Brahui,South Asia
HGDP00011,0.09846678086321332,0.12918011729243561,-0.32051935227010636,Brahui,South Asia
HGDP00015,0.09870921819656064,0.13005632824123461,-0.3162791142194371,Brahui,South Asia
HGDP00017,0.10011186639284621,0.1301246133791974,-0.31359349905326395,Brahui,South Asia
HGDP00019,0.10184008891512016,0.12596049521173686,-0.3164061689457102,Brahui,South Asia
HGDP00021,0.10082980627239145,0.12680051136516268,-0.32366646787376224,Brahui,South Asia
HGDP00023,0.09998631849040118,0.12739331084582434,-0.3237431276620433,Brahui,South Asia
HGDP00025,0.10176188541913042,0.12955841158856704,-0.31432261629363406,Brahui,South Asia
HGDP00027,0.10305485730164711,0.12828747733283635,-0.31742006119646876,Brahui,South Asia
HGDP00031,0.09824941727156156,0.12984559703082568,-0.31826767390605804,Brahui,South Asia
HGDP00033,0.10249662542100497,0.12657029733481884,-0.3233234436326704,Brahui,South Asia
HGDP00035,0.09907575291616909,0.13027790462815145,-0.3167614089566564,Brahui,South Asia
HGDP00037,0.09875987256581882,0.12821230409896728,-0.3229819102539062,Brahui,South Asia
HGDP00039,0.10138755075475409,0.12715160300403158,-0.32491192374955863,Brahui,South Asia
HGDP00041,0.09861822883723238,0.12763383975419423,-0.3240659191543074,Brahui,South Asia
HGDP00043,0.0996396992658842,0.12734272311423658,-0.3238873467717032,Brahui,South Asia
HGDP00045,0.09827757694884513,0.12964571007149378,-0.3190378105580395,Brahui,South Asia
HGDP00047,0.10037706326629485,0.12686374773148307,-0.3239231432017063,Brahui,South Asia
HGDP00049,0.09913017427491884,0.12818061792980687,-0.32289334459318314,Brahui,South Asia
HGDP00052,0.10088504832463152,0.12994221305399167,-0.31288017321755957,Balochi,South Asia
HGDP00054,0.10155529440323899,0.12938678105805804,-0.3138181743231836,Balochi,South Asia
HGDP00056,0.10280734790000581,0.12887053485054106,-0.31703498921670065,Balochi,South Asia
HGDP00058,0.09820168176268651,0.12908985090024558,-0.3213494593697395,Balochi,South Asia
HGDP00062,0.09926215987031183,0.12778700088234868,-0.32323853189885304,Balochi,South Asia
HGDP00064,0.10134248848742673,0.1299455644326453,-0.3129753978566721,Balochi,South Asia
HGDP00066,0.09926137486488854,0.12748424840074277,-0.32421977462359114,Balochi,South Asia
HGDP00068,0.09878490660670396,0.13051129374592055,-0.31592458418707653,Balochi,South Asia
HGDP00070,0.1006487823231904,0.12836251966721546,-0.3247192314521638,Balochi,South Asia
HGDP00072,0.10293812500983189,0.12801511087581915,-0.31810949238012814,Balochi,South Asia
HGDP00074,0.09832748902438926,0.12784899315137113,-0.32335480294449503,Balochi,South Asia
HGDP00076,0.1031019754675114,0.12701246007562328,-0.3216553795244186,Balochi,South Asia
HGDP00078,0.1026427678383988,0.12695260969815,-0.32220523851835686,Balochi,South Asia
HGDP00080,0.10256228769203944,0.12840915230207783,-0.31660329713105084,Balochi,South Asia
HGDP00082,0.1026745574260229,0.12745304373415248,-0.3172048086652756,Balochi,South Asia
HGDP00086,0.10148876087445577,0.12658252631801659,-0.32419303544339473,Balochi,South Asia
HGDP00088,0.09829618442480834,0.12841710489516256,-0.3223948281916907,Balochi,South Asia
HGDP00090,0.10217710749031679,0.1268372965654338,-0.324846982267162,Balochi,South Asia
HGDP00092,0.10102715902959068,0.1266807386640773,-0.3253607058357938,Balochi,South Asia
HGDP00096,0.10207660819005795,0.12653966611755696,-0.32455513929112406,Balochi,South Asia
HGDP00098,0.09775632052719722,0.1290537638503101,-0.32087425152926,Balochi,South Asia
HGDP00099,0.0998239315261489,0.12996058295221766,-0.32305813930017097,Hazara,South Asia
HGDP00100,0.10268759908856473,0.1296936642127017,-0.3184582307346987,Hazara,South Asia
HGDP00103,0.09977216787111555,0.13036873819711156,-0.32177064393478444,Hazara,South Asia
HGDP00106,0.10275729734790955,0.1305926533258282,-0.3167520302764341,Hazara,South Asia
HGDP00108,0.10319258454586078,0.13042446095694532,-0.31711413414205314,Hazara,South Asia
HGDP00109,0.09924650106253469,0.13042585423383554,-0.321782944153954,Hazara,South Asia
HGDP00110,0.10308699672010897,0.12887741217322965,-0.32157070906431856,Hazara,South Asia
HGDP00112,0.10228643575234168,0.12878304560193554,-0.3243550079115532,Hazara,South Asia
HGDP00115,0.10024079463522856,0.12960535282023175,-0.32371784543607884,Hazara,South Asia
HGDP00116,0.1010850294918575,0.13103627949417807,-0.31761597732987235,Hazara,South Asia
HGDP00119,0.10067668325276619,0.13048255436663522,-0.31871771340819266,Hazara,South Asia
HGDP00120,0.10330483406695003,0.12926854467647866,-0.3201366533636746,Hazara,South Asia
HGDP00122,0.10177544815647106,0.13137578244515222,-0.31598223523623925,Hazara,South Asia
HGDP00124,0.1022839810027813,0.13087405769854327,-0.31642178651435215,Hazara,South Asia
HGDP00125,0.10306547100689782,0.12853995996651768,-0.32392188379372694,Hazara,South Asia
HGDP00127,0.10074593967045407,0.131527631312127,-0.3166193313987355,Hazara,South Asia
HGDP00129,0.10081178236248843,0.1287780545317832,-0.32185858959259045,Hazara,South Asia
HGDP00131,0.10137619458069225,0.12661007976160307,-0.32362920818391017,Makrani,South Asia
HGDP00133,0.0977264607817511,0.12925927009949245,-0.31938898276768896,Makrani,South Asia
HGDP00134,0.10101936069924966,0.12628615784750896,-0.3244127611145482,Makrani,South Asia
HGDP00135,0.10272485026115087,0.12769866668313512,-0.3184284064795146,Makrani,South Asia
