,x,y
Acanaloniidae,-8.83421040402522,204.58586162673532
Acanthametropodidae,-259.8215531811465,-193.54926337182474
Acanthocnemidae,239.50924115632068,31.967605648432947
Acanthopidae-1,-236.49115490984929,95.64384492219301
Acanthopidae-2,-256.73653750856033,99.93774532634906
Acanthopteroctetidae,-28.50423569587325,-171.0461030862367
Acanthosomatidae-1,53.81333290953048,245.80989776983694
Acanthosomatidae-2,49.21249490234639,243.63966080630468
Acanthosomatidae-3,60.33067382220972,242.74191596376488
Acartophthalmidae,123.80165466003074,-213.43377837637237
Achilidae,-23.230688697807196,202.13243970160696
Achilixiidae,-5.898841178159288,197.04044270748713
Aclerdidae,-57.048481352045854,246.66246515809058
Acrididae-1,-283.0645534563573,2.396706607826144
Acrididae-10,-264.2116346320185,6.771578058495368
Acrididae-11,-263.03630763051524,4.745874989952398
Acrididae-12,-260.07282545253645,11.304900330818318
Acrididae-13,-261.00985273676616,6.199782538422937
Acrididae-14,-257.8681731060724,5.3516147922719375
Acrididae-15,-257.27695487472596,8.072703845829045
Acrididae-16,-257.61351271558334,7.0920381258035965
Acrididae-17,-259.5765615846729,7.66597710435658
Acrididae-18,-258.499752000922,10.56026955789312
Acrididae-19,-260.9829750467754,9.703371688626074
Acrididae-2,-237.13499774623148,6.732995159345894
Acrididae-20,-258.99647607882434,3.9681863858929445
Acrididae-21,-266.9985625856504,4.671134238679231
Acrididae-22,-266.2087460876744,3.2333329102716672
Acrididae-3,-283.0764122022908,11.97164132449743
Acrididae-4,-269.9507242459414,4.933143777284716
Acrididae-5,-268.02042908781516,11.895212867457559
Acrididae-6,-268.91240766408794,8.529254463222955
Acrididae-7,-263.8310900617803,11.975044203517516
Acrididae-8,-262.1241470118193,12.151861583606344
Acrididae-9,-262.1250942850089,2.879183931906457
Acroceridae,96.86186211441166,-181.0416602216407
Acrolophidae,-39.67800139805808,-222.7712369888588
Adelgidae,-72.38127419733668,206.1579550397778
Adelidae,-45.823314754897076,-176.18127784010787
Aderidae,234.15171917185938,-68.59073379716784
Aeolothripidae,-100.46175125257338,176.87784265267274
Aeshnidae-1,-209.88373810877096,-243.67028315638294
Aeshnidae-2,-211.63113252050837,-243.51152360984938
Aetalionidae,86.52119410097752,256.4682581378702
Agaonidae,-51.58088118675635,40.42017830549916
Agathemeridae,-254.68730731809617,-61.896220908189335
Agathiphagidae,0.25517292690800353,-171.3082851363515
Agromyzidae,130.74757685994263,-212.18788952283109
Agyrtidae,175.0460157759335,7.507807078550275
Aididae,-32.20068014266692,-220.23310357338534
Alexiidae,195.39808452864764,-24.731104069020766
Aleyrodidae,-83.24643914291079,213.32619752193702
Alucitidae,-3.177064657574671,-213.50802887598144
Alydidae,46.196549701509106,233.7118961878023
Ameletidae,-264.8199668167867,-187.75072230912954
Ameletopsidae,-229.7608247615732,230.4740012332101
Amelidae,-235.89548891942587,110.21772966220972
Ametropodidae,-266.1045963485274,-186.93968501032694
Amorphoscelidae-1,-242.52741280453156,112.9372658889826
Amorphoscelidae-2,-242.47590217067406,98.41976466770137
Amorphoscelidae-3,-243.6161275773085,98.38575490215578
Amorphoscelidae-4,-234.90134438995443,108.26553692939301
Amorphoscelidae-5,-236.00803944971827,80.65925030392724
Amphientomidae,180.48384528164073,212.81037402542265
Amphipsocidae,175.2478792696718,203.2734309233465
Amphizoidae,122.16135576062497,27.230095976723558
Amphyipterygidae,-221.86902640766436,-227.91064190007143
Ampulicidae,-9.49737126866698,83.7119335985885
Anaplectidae,-226.8797661746824,134.99195774349377
Anaxyelidae,-80.78553636847234,-5.018677032864509
Andesianidae,-54.308340517818166,-180.72555498682712
Andrenidae,-23.91038739878873,74.87192308138273
Anisacanthidae,-260.4050096183471,-70.40250992271515
Anischiidae,230.45340688802344,77.87777173860886
Anisembiidae,-227.06853354776047,-34.902735344226585
Anisolabididae,-216.6938507770713,163.8418885161081
Anisopodidae,135.47797993873522,-156.6403228836926
Anobiidae,208.30672272236257,24.383781486010054
Anoeciidae,-61.79479906526171,199.37338918945028
Anomalopsychidae-1,-19.156337096089242,-124.4055722145437
Anomalopsychidae-2,0.6259803954879392,-122.08356104161061
Anomoeotidae,-58.9998842305129,-209.5369254371673
Anostostomatidae,-290.38945988569765,-20.680515789027307
Anthelidae,-13.604498195263066,-231.45479729318882
Anthicidae,236.34402104540084,-71.97241451521434
Anthocoridae-1,29.498205241487014,252.66028392458256
Anthocoridae-2,62.3938241002037,262.429474233367
Anthocoridae-3,45.57409159866548,268.1635374844912
Anthocoridae-4,59.75511994347655,263.56575518986983
Anthocoridae-5,30.0198081168975,257.71663576699706
Anthomyiidae,128.92225562775215,-194.55845383459834
Anthomyzidae,144.39738672647528,-208.50247055226816
Anthribidae,241.46928328425744,-15.094596938573648
Apachyidae,-214.42626356811962,164.468862287061
Apataniidae,-50.15347019254294,-128.15970254918017
Apatelodidae,-18.88601739556373,-231.1788896798782
Aphelinidae,-49.16763680053726,34.103553905020824
Aphelocheiridae,0.7276297182046907,249.91542227478658
Aphididae-1,-65.01580651379558,207.24579093110523
Aphididae-2,-63.25854736481107,205.0412937831429
Aphididae-3,-65.61453663616274,198.41617819545408
Aphididae-4,-67.91283813952258,199.15075544152918
Aphididae-5,-73.26672018531215,202.90404115562583
Aphrophoridae-1,-29.1478862320818,268.46627331852153
Aphrophoridae-2,-33.73912651526777,266.64815634388026
Aphrophoridae-3,-35.35829340018875,261.3712113312572
Aphrophoridae-4,-36.437966703982816,263.7364884998964
Aphrophoridae-5,-30.758655415055586,264.89011373527876
Apidae,-21.778326815530853,83.63239070757363
Apioceridae,157.8891445668456,-187.53804736838907
Apionidae,253.13398496134425,-8.982632961519009
Apsilocephalidae,150.32842210519547,-179.18384190454807
Apteropanorpidae,46.16307734346296,-84.75710555604434
Aradidae,43.4729951716485,242.19546728802797
Archeocrypticidae,230.1962997923601,-52.45267789125762
Archipsocidae,186.69989526394917,206.568196065104
Argidae,222.4488976429955,-146.52107999604655
Argiolestidae,-195.18035804280433,249.60503828374817
Argyresthiidae,-36.65704589745592,-206.6287194218173
Arrhenophanidae,-57.10665302907723,-188.72417697933753
Artematopodidae,248.54920449119933,63.059511812957176
Arthropleidae,-236.686490170082,225.5298070220041
Ascalaphidae,96.37327131370071,82.42171331374381
Aschiphasmatidae,-261.41910837049005,-51.70518893371858
Asilidae,155.75106288754355,-184.06128365641385
Asiopsocidae,176.69107922239718,199.6476739333402
Aspidytidae,225.01690989263437,-108.6447511015915
Asteiidae,138.20767702032154,-213.06339687054634
Asterolecaniidae,-59.524067271246544,252.58547707017988
Atelestidae,150.4543308617897,-196.13634103821326
Athaliidae,-80.37750592772211,-20.78789429679006
Athericidae,159.1850594600199,-167.5958804583452
Atriplectididae,-31.74805089725481,-116.2998617155221
Attelabidae,258.05450063740295,-14.105830366465213
Attevidae,-35.71596731391531,-207.49002335375738
Aulacidae,-45.5334160547641,82.13552199631079
Aulacigastridae,138.69402087873445,-212.05493887654586
Australembiidae,-226.85983557213484,-40.160815186060084
Australimyzidae,117.17357920286206,-199.46264848119696
Austroleptidae,163.75055230592022,-172.39104280757292
Austroperlidae,-198.8404321936281,162.58763678152062
Austropetaliidae,-213.3658364333309,-242.01289224521608
Austrophasmatidae,-222.74626915982464,-51.96349146187765
Autostichidae,-19.99052080434921,-205.212284657993
Axymyiidae,95.56100778406342,-244.52561723662512
Bacillidae-1,-268.3850980686663,-58.85274205309616
Bacillidae-2,-268.5539615383764,-60.098759209426596
Baetidae,-262.6219707642608,-186.24706037480675
Baetiscidae,-270.77314699842333,-178.42760797411492
Barbarochthonidae,-18.52429311568384,-116.28376714012687
Batrachedridae,-4.066864440796148,-207.33056101952766
Bedelliidae,-35.07983504644722,-204.83722531401662
Beesoniidae,-68.1910922212719,240.64358799806476
Behningiidae,-275.4547673281544,-173.2875274222822
