name,x,y,z
Lepidotrichidae,-122.56341758438516,335.42176323602405,435.21434
Nicoletiidae,-174.4030632887346,-310.3300206073693,435.21434
Lepismatidae,-171.33216414221303,-312.20160399584574,435.21434
Pygidicranidae,-241.79277185563464,-113.2421325416544,435.21434
Anisolabididae,-216.6938507770713,163.8418885161081,435.21434
Apachyidae,-214.4262635681196,164.468862287061,435.21434
Forficulidae,-237.2552822267573,-113.07492657220038,435.21434
Chelisochidae,-294.7747341472916,39.46744716958008,435.21434
Spongiphoridae,-235.62505954009413,-114.6441373024703,435.21434
Labiduridae,-239.0339887420567,-114.1566418562686,435.21434
Zorotypidae,-230.34695940213825,-117.75911486542296,435.21434
Notonemouridae,-226.7127796424641,-111.21816242799184,435.21434
Capniidae,-194.42008444040007,163.2167143414718,435.21434
Taeniopterygidae,-224.9052819303443,-102.86311105937928,435.21434
Leuctridae,-222.4183501724837,-102.06280269476572,435.21434
Eustheniidae,-201.57618488645545,161.33224180785925,435.21434000000005
Diamphipnoidae,-201.73168567589724,162.29416345604625,435.21434000000005
Gripopterygidae,-199.50616688270463,163.54119950551237,435.21434000000005
Austroperlidae,-198.8404321936281,162.58763678152062,435.21434000000005
Peltoperlidae,-220.83089812960569,-96.89304983165782,435.21434000000005
Pteronarcyidae,-199.2301669226125,157.55104450827918,435.21434000000005
Chloroperlidae,-194.21734394607324,155.909215605933,435.21434
Perlodidae,-218.8879207527283,-92.84955729149836,435.21434
Perlidae,-195.6322007428549,157.41026158410946,435.21434
Styloperlidae,-194.07839922488827,158.912071415879,435.21434
Scopuridae,-205.23644055883736,163.7962883382569,435.21434
Nemouridae,-226.25842545924365,-106.62023496699284,435.21434
Timematidae,-244.0446589534907,-39.6460304398556,435.21434
Phasmatidae-1,-255.35227784294213,-68.4024178187055,435.21434
Phasmatidae-2,-254.52191245984372,-69.06713597287306,435.21434
Phasmatidae-3,-257.16407362361014,-74.04859212542638,435.21434
Phasmatidae-4,-256.3315672995913,-74.10020408688854,435.21434
Phasmatidae-5,-257.1187524148544,-71.2405832156066,435.21434
Phasmatidae-6,-257.5912512224372,-72.10866601547818,435.21434
Phasmatidae-7,-257.46464298471653,-72.60657634168747,435.21434
Diapheromeridae-1,-257.9554824994743,-72.6617219587476,435.21434
Phasmatidae-8,-257.8326420334917,-73.20548109674871,435.21434
Phasmatidae-9,-256.76560267230013,-73.13736417086537,435.21434
Phasmatidae-10,-255.0535101142978,-74.10278885871452,435.21433999999994
Phasmatidae-11,-253.62131870624268,-73.04320227909199,435.21433999999994
Phasmatidae-12,-253.18661964608293,-71.44906290473526,435.21434
Phasmatidae-13,-253.34871459963088,-72.16753517464753,435.21434
Diapheromeridae-2,-253.1200648383228,-71.85969032756009,435.21434
Phasmatidae-14,-253.5555166797948,-71.82970265162702,435.21434
Phasmatidae-15,-253.55783310048452,-70.73943243316955,435.21434
Diapheromeridae-3,-254.54091520485423,-71.63925113662697,435.21434
Diapheromeridae-4,-254.14448717183487,-70.81385801703819,435.21434
Diapheromeridae-5,-254.77896696507628,-71.05914795013362,435.21434
Phasmatidae-16,-254.60064859507727,-72.50846832025017,435.21433999999994
Phasmatidae-17,-254.28441700856465,-73.51011287908263,435.21433999999994
Pseudophasmatidae-1,-256.99411933767954,-68.01997540093024,435.21434000000005
Pseudophasmatidae-2,-257.64357984893286,-68.42558619221593,435.21434
Phasmatidae-18,-257.4050474023934,-68.17291098927981,435.21434
Phasmatidae-19,-260.2110587968699,-69.73874333266158,435.21434000000005
Phasmatidae-20,-259.8453376386128,-69.1678467850143,435.21434
Anisacanthidae,-260.4050096183471,-70.40250992271515,435.21434
Damasippoididae,-260.5414474193548,-71.08430055499318,435.21434
Phasmatidae-21,-260.4835139386116,-71.89770550724252,435.21434000000005
Diapheromeridae-6,-248.65249659923523,-65.87749669812344,435.21434000000005
Phasmatidae-22,-250.00405607997712,-64.12539787536512,435.21434000000005
Phasmatidae-23,-249.27450937736364,-64.9126630693861,435.21434000000005
Agathemeridae,-254.68730731809617,-61.896220908189335,435.21434
Heteronemiidae,-253.59790991881977,-62.03406280858242,435.21434
Heteropterygidae,-265.66851484617166,-57.86506404391202,435.21434
Pseudophasmatidae-3,-267.0060456747637,-56.98522153068222,435.21434
Diapheromeridae-7,-267.6872833473489,-59.17723851695765,435.21434
Bacillidae-1,-268.3850980686663,-58.85274205309616,435.21434
Diapheromeridae-8,-268.0539113473484,-60.05426057482732,435.21434
Diapheromeridae-9,-268.5893008036325,-59.789647018459846,435.21434
Bacillidae-2,-268.5539615383764,-60.0987592094266,435.21434
Lonchodidae-1,-263.1667751221352,-56.98548435039419,435.21434
Lonchodidae-2,-269.3065579648353,-63.491772750495706,435.21434
Diapheromeridae-10,-269.2350201691375,-64.38579027218569,435.21434
Phylliidae,-258.46432919796547,-52.09231085758824,435.21434000000005
Lonchodidae-3,-264.2439765727196,-51.6957987764211,435.21434000000005
Phasmatidae-24,-255.90693640260943,-52.59947737003265,435.21434000000005
Aschiphasmatidae,-261.41910837049005,-51.70518893371858,435.21434000000005
Teratembiidae,-226.8675804243433,-29.570146007837025,435.21434
Notoligotomidae,-228.11009300745692,-39.577618494772246,435.21434
Australembiidae,-226.85983557213484,-40.16081518606008,435.21434
Ptilocerembiidae,-230.83739498939525,-34.84921757128941,435.21434
Clothodidae,-230.15220459324323,-36.554378749664245,435.21434
Embiidae,-228.4361717785308,-34.09134703049816,435.21434
Anisembiidae,-227.06853354776047,-34.902735344226585,435.21434
Oligotomidae,-225.78960832460385,-37.38598475378053,435.21434
Grylloblattidae,-222.829570550889,-63.23657133026964,435.21434
Mantophasmatidae,-222.74576216549656,-53.971176825594014,435.21434
Austrophasmatidae,-222.74626915982464,-51.96349146187765,435.21434
Corydiidae-1,-216.3926893836488,129.96873822456467,435.21434
Nocticolidae,-224.17384641417587,56.11288068586624,435.21434
Corydiidae-2,-221.08378871457552,58.57142528096615,435.21434
Ectobiidae-1,-229.46232957334843,56.12461318211314,435.21434
Ectobiidae-2,-233.85641643618465,55.87463292786984,435.21434
Blaberidae,-211.68842143764311,122.22718807848068,435.21434
Cryptocercidae,-234.1322989093185,136.51799905912344,435.21434
Mastotermitidae,-238.113050263976,135.67349267738842,435.21434
Rhinotermitidae-1,-265.47770099273185,64.48387698175925,435.21434
Rhinotermitidae-2,-264.5361644046669,64.763297258226,435.21434
Serritermitidae,-266.6621083394747,65.35698603687355,435.21434
Rhinotermitidae-3,-266.0922082855508,65.85810569436411,435.21434
Rhinotermitidae-4,-268.2960348133472,66.0183573491096,435.21434
Termitidae,-267.71260673964485,67.11379474309636,435.21434
Rhinotermitidae-5,-269.18349602323906,67.19490909587064,435.21434
Kalotermitidae,-272.1286746325981,72.55308997343916,435.21434
Termopsidae-1,-260.7515273731285,62.78870382875037,435.21434
Termopsidae-2,-270.85326972404056,70.72657727776553,435.21434000000005
Termopsidae-3,-271.8382801673235,69.33112100310633,435.21434000000005
Hodotermitidae,-272.37723525463514,70.76744502943957,435.21434000000005
Tryonicidae,-229.91817833032545,136.39239674431553,435.21434
Blattidae,-223.6128073833252,133.1818926304188,435.21434
Lamproblattidae,-245.35995423812983,58.02567828926638,435.21434
Anaplectidae,-226.8797661746824,134.99195774349377,435.21434
Mantidae-1,-225.54458087885672,70.50530518161561,435.21434
