name,x,y,z
Lepidotrichidae,111.7456620597098,-311.6307210260535,-61.04055966113659
Nicoletiidae,103.11557016143225,-315.6828909402288,-56.45485678426444
Lepismatidae,318.82653826048096,-33.240345755935,-105.5173717539566
Pygidicranidae,-194.8314823430731,-194.53396903257877,-17.528625167305023
Anisolabididae,-129.05587649679305,-241.57744348527768,-25.85460469490512
Apachyidae,-205.3846880913414,-183.00393806579643,-20.970572171768183
Forficulidae,-125.01120557098696,-242.77433573908436,-29.88611778928192
Chelisochidae,14.84806092630459,-173.11512857738444,-188.45737509345156
Spongiphoridae,-196.40237930652933,-191.71956093867004,-22.679969653962218
Labiduridae,-200.34876704960675,-188.104632022712,-21.222145448217653
Zoraptera,-111.13564630501024,-249.8590768707074,-30.987500568418845
Notonemouridae,-182.19375314768027,-205.46264336496031,-19.20253101328776
Capniidae,-123.3593123920935,-24.308282943765075,-233.3713260635862
Taeniopterygidae,-151.17453350514887,-227.58854082557124,-24.561130605936853
Leuctridae,-144.63831865749006,-230.50909433016616,-30.49962851705356
Eustheniidae,-132.16482788855845,-24.659068718574737,-228.47535510158207
Diamphipnoidae,-133.5866277482317,-23.585423471192936,-227.90496522839223
Gripopterygidae,-174.93328904637934,-206.25559354490775,-36.45031232498687
Austroperlidae,-137.62492953627998,-22.1547492269012,-225.84065248139007
Peltoperlidae,-159.05202331809733,-221.36178043858493,-27.21181375133517
Pteronarcyidae,-158.408123086469,-220.56489642161768,-32.295757123759174
Chloroperlidae,-166.83469461232232,-214.27008890697735,-32.31753402354278
Perlodidae,-167.6117740506318,-214.41461561920323,-29.39425259505673
Perlidae,-166.870482803487,-216.1885325149979,-24.442735312250974
Styloperlidae,-172.56847596179296,-210.7867160793076,-28.185287459002502
Scopuridae,-149.9014481896645,-226.25476659141847,-33.61776398290726
Nemouridae,-113.9276062729194,-23.854919892406613,-238.12793824958536
Timematidae,-7.039358253006995,-201.1931240234765,-161.08537784327035
Phasmatidae-1,-43.94925824249897,-216.3498480170393,-137.4817139191855
Phasmatidae-2,-49.182145944061936,-222.25406771720728,-127.94156644145284
Phasmatidae-3,-45.70909042208498,-218.53743651323688,-134.10483617360754
Phasmatidae-4,-46.72275629775432,-219.31986434309616,-132.76498468590967
Phasmatidae-5,-43.37192984784728,-218.07058485283028,-135.323771853503
Phasmatidae-6,-40.63789649075019,-219.0379659630282,-134.66161013648335
Phasmatidae-7,-41.29620275234872,-219.4377540357753,-133.9711201008271
Diapheromeridae-1,-40.316164839674826,-219.6646923442084,-133.8865247951143
Phasmatidae-8,-41.53019422587713,-218.5680709174528,-135.09083358046365
Phasmatidae-9,-43.53381798920513,-219.09986291788,-133.8949615857912
Phasmatidae-10,-39.0787541006741,-221.60751290979815,-131.5003559789916
Phasmatidae-11,-45.97812900152173,-221.76410614063684,-129.5587525768951
Phasmatidae-12,-44.623060639691445,-223.556340898928,-127.37183498967696
Phasmatidae-13,-45.18764723482779,-223.08863437584807,-127.88918901422134
Diapheromeridae-2,-43.84367960061906,-223.5572025684125,-127.58083355022872
Phasmatidae-14,-44.45980587130486,-222.9977483421244,-128.21772509851388
Phasmatidae-15,-43.53988043579216,-222.0642210767803,-129.78596038095387
Diapheromeridae-3,-42.353216835419474,-223.003291834409,-128.759902500878
Diapheromeridae-4,-42.050915594678166,-222.31577858692023,-129.80783780687233
Diapheromeridae-5,-41.19460155232873,-223.29718117039403,-128.62963683536464
Phasmatidae-16,-41.83385799065185,-223.9823291825309,-127.49224670222038
Phasmatidae-17,-39.77242041488553,-222.69323476451447,-129.82459781052555
Pseudophasmatidae-1,-52.18351075406818,-219.91350238677023,-130.342281682405
Pseudophasmatidae-2,-52.089212881174376,-219.45814406338107,-131.0101620407818
Phasmatidae-18,-52.06927138060167,-220.4237612360307,-129.6597588338893
Phasmatidae-19,-49.15289437243175,-214.85235290850275,-138.12123624101494
Phasmatidae-20,-52.2481420338568,-216.4248472511349,-135.1315399933395
Anisacanthidae,-47.84067384411773,-214.80895319400136,-138.5321699981281
Damasippoididae,-51.38320273365797,-215.81675767589192,-136.2075640362535
Phasmatidae-21,-50.37993863033135,-215.22745106046477,-137.282710884223
Diapheromeridae-6,-43.28231855786788,-231.1459998426957,-116.47610402334996
Phasmatidae-22,-44.23178597466823,-231.1143355408017,-116.24546437765488
Phasmatidae-23,-47.134959120042126,-230.6707390643551,-116.0484442515495
Agathemeridae,-62.26193189187472,-213.08839301281543,-136.38182264134048
Heteronemiidae,-60.605727476583965,-211.52011288537872,-139.04266899434836
Heteropterygidae,-74.30442951298772,-221.3960155716301,-119.480914699459
Pseudophasmatidae-3,-73.34755837597062,-223.14631505642225,-117.24390233184604
Diapheromeridae-7,-69.68781097799783,-227.1773707841756,-112.62651454982512
Bacillidae-1,-70.4049267746055,-226.45207601369933,-113.44849537476928
Diapheromeridae-8,-67.3212953924978,-229.161239659486,-110.52811039107918
Diapheromeridae-9,-68.39763860929142,-228.3013095406821,-111.42242582775906
Bacillidae-2,-68.0056111214246,-228.625936999868,-111.0795146070772
Lonchodidae-1,-75.73185515963795,-217.64374159798265,-124.4339653796063
Lonchodidae-2,-58.10045570047371,-234.0645857254294,-106.5368823254883
Diapheromeridae-10,-60.36611399681201,-233.41720810857564,-106.63586864014654
Phylliidae,-77.45111004844603,-206.98786733370116,-138.59214812300863
Lonchodidae-3,-79.8071249913234,-209.7264392339513,-133.81929094866646
Phasmatidae-24,-54.27144310030795,-238.12524292878825,-101.19397511628556
Aschiphasmatidae,-73.32038851788931,-204.21402527493004,-143.93910266391777
Teratembiidae,-30.869194305425115,-185.13823801071797,-176.5959872332387
Notoligotomidae,-107.0808388682768,-227.36065005438695,-87.89251053910297
Australembiidae,-105.4268758224955,-229.3090179202994,-85.47615795827264
Ptilocerembiidae,-21.671024763158133,-188.40861815458152,-173.74477841901998
Clothodidae,-109.7398987382113,-222.40730792200424,-95.01981920744272
Embiidae,-14.631600089209382,-190.58811308817937,-171.8151837831781
Anisembiidae,-17.03391701829738,-189.5780524708601,-172.77302639043657
Oligotomidae,-101.79011632127931,-232.6552902923456,-81.90739119926604
Grylloblattodea,-82.20909576828588,-247.65557722310996,-66.43620784022913
Mantophasmatidae,-95.13922583654666,-242.4167771027255,-67.00498856790743
Austrophasmatidae,-92.25739939743916,-243.7291434934183,-66.67426482581854
Corydiidae-1,-154.16790801226205,-151.45421273046722,-146.3438729930174
Nocticolidae,-159.75746140250578,-155.28612470400526,-137.06645369906752
Corydiidae-2,-148.39434383344434,-145.5465500244088,-156.86639541201862
Ectobiidae-1,-176.12639535282355,-159.21522622111175,-113.5214910546722
Ectobiidae-2,-172.48479549429146,-158.1602212383229,-119.45566998691406
Blaberidae,-168.36261105633994,-157.42443507795835,-125.22948339311012
Cryptocercidae,-227.87462249711567,-116.83534079515144,-79.28292171342139
Mastotermitidae,-224.08580083930696,-123.42076907533423,-78.97448154450534
Rhinotermitidae-1,-208.69828073415056,-141.68233843787905,-85.07652447182542
Rhinotermitidae-2,-210.62883407567213,-139.57101546878707,-84.34677359304665
Serritermitidae,-209.83402636188063,-142.59130640458406,-81.54720263149648
Rhinotermitidae-3,-210.82752993181828,-141.76172468913853,-80.79351460501435
Rhinotermitidae-4,-213.12329438175067,-139.11658609592513,-80.04124908395367
Termitidae,-212.820669253168,-137.90093146518478,-82.3962729968013
Rhinotermitidae-5,-207.41462709239315,-144.8830012111821,-82.90404412789422
Kalotermitidae,-202.8989304098424,-148.40918810264813,-86.26349226291352
Termopsidae-1,-219.8718377961642,-129.77344847412468,-79.32237665446327
Termopsidae-2,-217.45311931721653,-131.40550549196442,-82.10576516235938
Termopsidae-3,-204.19511363781356,-144.40626730107576,-89.63202159909956
Hodotermitidae,-217.9677908749128,-133.2113554555691,-78.53260712984371
Tryonicidae,-184.86235577686045,-156.54615198901703,-104.70031242662692
Blattidae,-189.0004315501496,-153.26323418555415,-102.96891607143928
Lamproblattidae,-188.72338856323609,-157.68220855881216,-97.25204994548908
Anaplectidae,-192.44470968576243,-155.95705203505446,-93.74383402866344
Mantidae-1,-156.8417956187063,-123.66128655953048,-165.60096608948962
Eremiaphilidae-1,-203.76120910654768,-103.54979046945164,-128.64986955281051
Hymenopodidae-1,-219.17443803489263,-63.11385848790287,-132.90192046174025
Liturgusidae-1,-184.46991175875567,-106.03201213031716,-149.9171469376628
Mantoididae,-174.6891450689153,-87.78527519768325,-170.68717061308396
Metallyticidae,-180.60425614178692,-96.8170180854369,-159.83971527186827
Mantidae-2,-206.81106972877717,-85.10538143820906,-137.03236003947137
Mantidae-3,-192.70668822882035,-92.0605753762824,-149.77741286502058
Thespidae-1,-207.6036295054768,-76.2856245825073,-141.07742293723783
Hymenopodidae-2,-194.8796624907297,-61.68041357279437,-162.93564768023117
Hymenopodidae-3,-197.2795758614389,-77.78282085157755,-152.70128235779143
Hymenopodidae-4,-198.05759218116305,-60.12893401689768,-160.1331154365511
Chroicopteridae-1,-204.64200145678367,-74.55516206897262,-145.69941031613433
Mantidae-4,-203.7010353491741,-59.91674361993969,-153.81570811982428
Hymenopodidae-5,-202.94513320716132,-69.15624174873474,-150.4843487297159
Empusidae,-202.8120003647646,-64.46652458494394,-152.84646332852202
Mantidae-5,-207.778403056346,-69.49276916376937,-144.41325401883591
Mantidae-6,-207.58405664022365,-62.45961896766024,-148.0273932682416
Mantidae-7,-208.35609339594745,-64.13595980870211,-146.29656315407703
Mantidae-8,-206.5055576006476,-64.91498331361443,-148.2148038127826
Hymenopodidae-6,-206.9032970580966,-66.73202305516504,-146.86251595567248
Mantidae-9,-208.65730191153077,-65.99161062030016,-145.03613880365452
Mantidae-10,-205.87308289775703,-61.37609637013709,-150.5970795355085
Mantidae-11,-195.03809426514485,-72.78527522336674,-157.7364718154497
Nanomantidae-1,-200.9495772607589,-59.82026706344303,-157.03046721179257
Hymenopodidae-7,-198.80241111062224,-63.27569226810922,-157.9660424221413
Hymenopodidae-8,-195.5120553258909,-66.69177253124771,-160.07026282657094
Amorphoscelidae-1,-197.57441696621495,-67.46678877277374,-157.45624166084835
Chroicopteridae-2,-198.63040561170564,-72.71696884405388,-153.75969933458427
Mantidae-12,-201.2137022641719,-76.44119118504129,-148.83701327152497
Mantidae-13,-192.06021237512303,-63.90200547768368,-164.9788533115095
Leptomantellidae,-189.07665059870223,-64.72926460884703,-167.69513678950665
Amorphoscelidae-2,-188.4477089613709,-85.49521126571085,-158.21759549964804
Nanomantidae-2,-188.6847196837028,-84.1356407039393,-158.72016952715344
Amorphoscelidae-3,-186.7666264159027,-85.4794772487544,-159.97810946875865
Nanomantidae-3,-192.259818778682,-85.21845877275577,-154.28249582394406
Mantidae-14,-182.1379955425666,-79.71586694589665,-167.61964177018356
