,x,y,z
Acanaloniidae,30.504116136179093,-237.95643228213376,-62.46001607600978
Acanthametropodidae,-222.7858349532671,-4.892987122988209,-213.3697069594071
Acanthocnemidae,-197.50572327034894,69.06894682574092,-19.15215480981945
Acanthopidae-1,22.265864559025445,180.737659426965,-183.46125238936608
Acanthopidae-2,-14.64896191695504,191.99193516614193,-175.4623966754483
Acanthopteroctetidae,20.53650503491446,-133.87655348722006,162.71400376459718
Acanthosomatidae-1,138.738874720946,-130.92026747966412,-136.0826341135942
Acanthosomatidae-2,147.9583330393074,-130.56938407534847,-128.2642748666672
Acanthosomatidae-3,116.23344102532319,-148.69979441549975,-139.41645050169015
Acartophthalmidae,122.19508728345082,114.57103665872673,141.43630377571728
Achilidae,31.784579605401625,-243.56697497535959,-44.565144866875045
Achilixiidae,37.21959325391669,-234.15613009657662,-69.81573617417097
Aclerdidae,146.44416854228172,-205.3411787776233,-0.5408482800984207
Acrididae-1,152.0374764210921,201.77453995374998,-91.05062928378784
Acrididae-10,178.57134564426505,178.4652894741994,-90.49907406644752
Acrididae-11,178.51351303734322,176.0639753906746,-94.21525962706347
Acrididae-12,175.82346359249667,176.4093412552303,-97.64964020603387
Acrididae-13,168.17205345919226,181.76540521863117,-100.53798465965748
Acrididae-14,171.87282974766592,183.72788756363715,-92.35344502674839
Acrididae-15,169.4445028078939,183.89098795719678,-95.58954528781979
Acrididae-16,170.86059120065565,182.76026264485634,-95.30839167727159
Acrididae-17,171.61533173730263,180.3547323545501,-97.85533465366315
Acrididae-18,169.73098814680418,179.52939542768098,-101.66349572179045
Acrididae-19,174.76245346341597,179.42978440349881,-94.725888337393
Acrididae-2,169.22129825574984,157.9438186207862,-129.7259129336372
Acrididae-20,174.1624498137312,183.02199787766256,-90.07113958269214
Acrididae-21,182.96109658026728,173.5533308695245,-91.18105196143368
Acrididae-22,183.29848306644948,171.81376006010487,-93.22601679263485
Acrididae-3,157.37354306279724,202.5223157614399,-82.27738707659819
Acrididae-4,184.15487970234918,166.6631715411454,-99.23589770132072
Acrididae-5,178.8088427094224,168.3139379864832,-104.68344935732216
Acrididae-6,172.26993795493547,172.94977924027586,-107.3990672750775
Acrididae-7,170.4422449760565,176.77896325805173,-104.59707198213357
Acrididae-8,180.65627772642637,176.58050505658304,-90.17847760733243
Acrididae-9,177.69063977994065,180.57157198516992,-88.56965363290047
Acroceridae,68.81825157895284,167.16128404941207,111.17913410549865
Acrolophidae,46.37028465412544,-63.0001527414265,200.82991657826312
Adelgidae,78.73109314366859,-241.6218320148606,12.892715372300911
Adelidae,-0.12583078933074726,-114.32740770656159,182.724607304449
Aderidae,-166.98995407649892,97.62705098333207,114.1475908289047
Aeolothripidae,185.98226399296595,-178.6511494614987,63.75831097372422
Aeshnidae-1,-99.42043767534389,-130.5598076491968,-255.86771861798707
Aeshnidae-2,-104.83657714939199,-144.19829802184978,-247.4221524081206
Aetalionidae,28.33472226109428,-222.2081421992351,-97.78063037260135
Agaonidae,-84.91193990463302,-218.8348645087052,51.42617363016314
Agathemeridae,139.99082464071932,51.321807944869185,-212.8301062049765
Agathiphagidae,117.93139358296739,-38.21360270468821,178.3459123310371
Agromyzidae,124.88687498025192,114.71082580887088,126.772218895923
Agyrtidae,-212.12824624013413,32.48920939457048,-5.816056549135366
Aididae,90.05204389577673,-63.30787207390535,181.6468879605314
Alexiidae,-136.07201349561004,155.47431359357233,69.42900331166587
Aleyrodidae,131.76272608007628,-217.25279390729656,27.862923416384323
