taxon,order
Machilidae,Archaeognatha
Meinertellidae,Archaeognatha
Lepidotrichidae,Zygentoma
Nicoletiidae,Zygentoma
Lepismatidae,Zygentoma
Isostictidae,Odonata
Gomphidae-1,Odonata
Prosopistomatidae,Ephemeroptera
Potamanthidae,Ephemeroptera
Metropodidae,Ephemeroptera
Zorotypidae,Zoraptera
Notonemouridae,Plecoptera
Xyelidae,Hymenoptera
Philopteridae-1,Phthiraptera
Gomphidae-2,Odonata
Nemouridae,Plecoptera
Neolinognathidae,Phthiraptera
Synlestidae-2,Odonata
Petaluridae,Odonata
Neoephemeridae,Ephemeroptera
Acanthametropodidae,Ephemeroptera
Apachyidae,Dermaptera
Labiduridae,Dermaptera
Grylloblattidae,Grylloblattodea
Mantidae-1,Mantodea
Tetrigidae,Orthoptera
Cylindrachetidae,Orthoptera
Gryllidae-1,Orthoptera
Schizodactylidae,Orthoptera
Blasticotomidae,Hymenoptera
Aleyrodidae,Hemiptera
Thripidae,Thysanoptera
Aeolothripidae,Thysanoptera
Phlaeothripidae,Thysanoptera
Heterothripidae,Thysanoptera
Psocidae-2,Psocoptera
Platystictidae,Odonata
Synlestidae-1,Odonata
Perilestidae,Odonata
Oniscigastridae,Ephemeroptera
Coloburiscidae,Ephemeroptera
Pygidicranidae,Dermaptera
Anisolabididae,Dermaptera
Spongiphoridae,Dermaptera
Leuctridae,Plecoptera
Scopuridae,Plecoptera
Timematidae,Phasmatodea
Teratembiidae,Embioptera
Mantophasmatidae,Mantophasmatodea
Austrophasmatidae,Mantophasmatodea
Corydiidae-1,Blattodea
Tridactylidae,Orthoptera
Ripipterygidae,Orthoptera
Gryllotalpidae,Orthoptera
Gryllidae-2,Orthoptera
Tettigoniidae,Orthoptera
Pamphiliidae,Hymenoptera
Megalodontesidae,Hymenoptera
Mengenillidae,Strepsiptera
Raphidiidae,Raphidioptera
Inocelliidae,Raphidioptera
Deuterophlebiidae,Diptera
Micropterigidae,Lepidoptera
Glossosomatidae,Trichoptera
Triozidae,Hemiptera
Peloridiidae,Hemiptera
Polythoridae,Odonata
Lestidae,Odonata
Hemiphlebiidae,Odonata
Calopterygidae,Odonata
Argiolestidae,Odonata
Gomphidae-5,Odonata
Rallidentidae,Ephemeroptera
Forficulidae,Dermaptera
Chelisochidae,Dermaptera
Capniidae,Plecoptera
Taeniopterygidae,Plecoptera
