name,x,y,z
Lepidotrichidae,159.74012943576767,156.10754797742985,-373.53105179002
Nicoletiidae,163.7608114984506,143.30109234185534,-376.9063800826407
Lepismatidae,-217.56321319516664,376.8305391119684,8.730340931356764
Pygidicranidae,137.45599881806723,-334.6491035919592,-241.92492565754713
Anisolabididae,226.73909025564947,-216.20783618421777,-302.08508788578587
Apachyidae,117.87187859869847,-352.80301836224004,-225.9382532252799
Forficulidae,231.22423119548804,-209.36932638941488,-303.49882356066837
Chelisochidae,375.5367254158414,59.066867622525116,-211.88432891703346
Spongiphoridae,135.04267218418653,-338.3790016810439,-238.06339412252026
Labiduridae,127.60261856366576,-344.68748687847034,-233.0647116908519
Zoraptera,242.2510928605363,-183.15126614017635,-311.739628033534
Notonemouridae,159.28328401546872,-313.31970089090174,-256.65448097768217
Capniidae,325.19936703142025,-288.2866386616585,23.408727471941244
Taeniopterygidae,203.7102940201446,-258.12052547646107,-285.109967044843
Leuctridae,212.22500083576628,-247.00640437974116,-288.72115779292375
Eustheniidae,308.5295601284273,-306.1041847896891,22.832651119295143
Diamphipnoidae,305.6739674341581,-308.8204492459348,24.5956731263172
Gripopterygidae,173.23270638092364,-304.9418118407198,-257.7062517813181
Austroperlidae,297.5256032687151,-316.48713971067815,26.944334715801578
Peltoperlidae,194.3256227321174,-273.41641010209236,-277.29454059036146
Pteronarcyidae,195.93224480705388,-273.29357626718263,-276.28322392161766
Chloroperlidae,184.45670812665514,-288.8806918232269,-268.20749447908446
Perlodidae,182.94473969316383,-289.6672797772019,-268.3946359766028
Perlidae,183.33987700287094,-287.27611854240257,-270.6849432569015
Styloperlidae,175.54838739789795,-298.447805818727,-263.6731374043692
Scopuridae,206.69551745612293,-257.5754857955565,-283.4488480677547
Nemouridae,341.90706659791323,-268.19318136497213,24.153160484401837
Timematidae,355.52911848469154,5.844851644588256,-250.9503082067733
Phasmatidae-1,332.4994777774963,-73.97841301873493,-270.8927519533479
Phasmatidae-2,323.91232314089297,-83.5005405305207,-278.42417856099524
Phasmatidae-3,329.4568327667798,-77.191496488538,-273.6991501118089
Phasmatidae-4,328.1629049264121,-79.12940256375006,-274.69838375743484
Phasmatidae-5,331.04179173905663,-72.37608282062777,-273.10179661899156
Phasmatidae-6,331.27218457900113,-66.39730224037403,-274.3386493701552
Phasmatidae-7,330.5841562500913,-67.7041114766789,-274.8487320042663
Diapheromeridae-1,330.7695000352679,-65.59097166603986,-275.1379996312905
Phasmatidae-8,331.3655649254149,-68.37947135776145,-273.7383181750009
Phasmatidae-9,329.9269680794725,-72.48929709192504,-274.417663607483
Phasmatidae-10,329.2835452429139,-62.600050244037746,-277.60614531677464
Phasmatidae-11,326.05172792106794,-76.98399731473965,-277.80439653041293
Phasmatidae-12,324.8625836366119,-73.74559548091891,-280.06682782921575
Phasmatidae-13,325.07675899931604,-75.02588149182014,-279.47765029620086
Diapheromeridae-2,325.22418788587913,-72.12996022721236,-280.0679124815992
Phasmatidae-14,325.51507204952804,-73.5374643432473,-279.3630583251225
Phasmatidae-15,326.90134920684415,-71.83777651088532,-278.1841712403015
Diapheromeridae-3,326.4678322075899,-69.1570697131779,-279.37008719313513
Diapheromeridae-4,327.30969651083524,-68.67640841424573,-278.50215914336144
Diapheromeridae-5,326.6656694117511,-66.6811109029037,-279.74049375070314
Phasmatidae-16,325.680996280243,-67.86418353739795,-280.60267817030234
Phasmatidae-17,327.882753592103,-63.837767747026184,-278.97892283497293
Pseudophasmatidae-1,324.6146586569303,-90.34088624563022,-275.45491994239416
Pseudophasmatidae-2,325.12512747364246,-90.27234248407142,-274.8747367997981
Phasmatidae-18,324.16801629343973,-89.96219863144118,-276.1040841654563
Phasmatidae-19,331.3411865565191,-85.34969965434848,-268.9609053410292
Phasmatidae-20,328.04689305343413,-91.44177178735559,-270.9892250109097
Anisacanthidae,332.08655592023723,-82.58483476997996,-268.9047901854591
Damasippoididae,329.14609657841334,-89.79470033024919,-270.2059966792561
Phasmatidae-21,330.29448580631737,-87.84157966942954,-269.44559983186826
Diapheromeridae-6,317.5007823510931,-69.22551811112197,-289.50406316721376
Phasmatidae-22,317.1096365945573,-71.15412657574988,-289.4651799297206
Phasmatidae-23,316.20905640007015,-77.1270322185874,-288.920015390706
Agathemeridae,324.7433716334276,-113.30520901823654,-266.6743218443103
Heteronemiidae,327.41366050981014,-110.3721742109812,-264.6314414674552
Heteropterygidae,307.2707771923203,-134.46095985929696,-277.3381356737288
Pseudophasmatidae-3,306.3938983484388,-131.8556212866032,-279.55034596939066
Diapheromeridae-7,305.40206132703514,-123.0640972600194,-284.5985429414739
Bacillidae-1,305.55708890422204,-124.75372388651508,-283.6950749280997
Diapheromeridae-8,305.22506263071983,-117.6707943638793,-287.0588215635994
Diapheromeridae-9,305.2766396400048,-120.10379543941153,-285.9943589527427
Bacillidae-2,305.2489156792318,-119.21256316409553,-286.39655375394335
Lonchodidae-1,309.5912201471198,-138.8475146847574,-272.5548539409013
Lonchodidae-2,306.4928554053133,-97.89568575928261,-293.0702231055791
Diapheromeridae-10,305.7253633746433,-102.54103146598422,-292.2822786815355
Phylliidae,317.76179632055806,-146.717154235684,-258.6756995396738
Lonchodidae-3,313.0917953654371,-150.30777913466994,-262.2836237485587
Phasmatidae-24,304.4395979896308,-89.10993090110674,-297.97240051880124
Aschiphasmatidae,323.9889005343989,-139.3610501671185,-254.99325469528964
Teratembiidae,366.7448747001253,-50.006994255068115,-228.93073248712724
Notoligotomidae,267.5340947050628,-191.60086205196,-284.82650784806503
Australembiidae,267.8150482050148,-187.56058948061954,-287.241443685036
Ptilocerembiidae,366.1965698325839,-28.202787848046523,-233.48703763182058
Clothodidae,268.4814382376177,-199.25200559579218,-278.6177979411048
Embiidae,365.1588969178279,-11.680024262861206,-236.50386630372384
Anisembiidae,365.8361265064524,-17.314820428901882,-235.10773547015722
Oligotomidae,269.04823454865505,-179.2716106098522,-291.35276374699635
Grylloblattodea,274.04651700537124,-136.76665346342702,-309.1998748188027
Mantophasmatidae,267.03320736313816,-162.01587698519722,-303.0769597176735
Austrophasmatidae,268.6628822923109,-156.32383538808827,-304.62211986259524
Corydiidae-1,239.47306880366222,-315.6421180774254,-180.094051760179
