,x,y,z
Acanaloniidae,-149.3647417607244,165.33822484526524,-110.02907315780035
Acanthametropodidae,106.0905284149492,-22.910413873160202,-285.48444585143943
Acanthocnemidae,-106.5295889446339,148.337347148126,126.00523554749091
Acanthopidae-1,-186.05445605115142,-95.85081719067995,-154.7656900840329
Acanthopidae-2,-176.60763350926285,-96.35433318009055,-164.06995508884356
Acanthopteroctetidae,19.60009780487945,-104.23153224658715,193.91039960027317
Acanthosomatidae-1,-9.83939142890547,134.5838575576311,-193.15792057551008
Acanthosomatidae-2,-0.31576226700186716,148.05746250193076,-185.27752371412612
Acanthosomatidae-3,1.564785128788944,124.69538269319,-197.7518387451273
Acartophthalmidae,196.03977024306295,21.915935614349934,90.50343983535112
Achilidae,-169.72017104695465,148.43402000409256,-104.53378932839503
Achilixiidae,-152.7533190179434,175.2020054452768,-93.88969850974955
Aclerdidae,-92.74348542851487,224.5619994643496,-71.51382495715869
Acrididae-1,-67.64208766988413,-85.17922569679284,-233.71399858466503
Acrididae-10,-47.41376147048501,-119.18335679665074,-221.3142442796003
Acrididae-11,-43.875120336387496,-122.07293930048256,-220.20580047922655
Acrididae-12,-36.11579657032875,-119.67540945333957,-222.17754469791026
Acrididae-13,-38.2305796001674,-112.07471357470857,-225.85940997848962
Acrididae-14,-36.08087197038282,-116.65661752644738,-223.73351604452444
Acrididae-15,-43.04070470788831,-110.8580564458857,-226.0142482693451
Acrididae-16,-43.99811292764085,-112.19298134525515,-225.26345040091942
Acrididae-17,-40.827285068923,-114.1010362027208,-224.6414699208851
Acrididae-18,-36.93505095840974,-114.3889300190771,-224.81565730398358
Acrididae-19,-38.62221813008724,-117.6479365724301,-223.04017604144963
Acrididae-2,-61.413682016325005,-81.59256135497532,-236.31146045809115
Acrididae-20,-40.5377596381011,-120.59415284578256,-221.33663425081582
Acrididae-21,-52.76847022874383,-114.56982926486022,-222.9381588236983
Acrididae-22,-52.82223197708137,-117.63922474207077,-221.35489048310822
Acrididae-3,-72.69908253218145,-89.39421923053162,-230.90772670524652
Acrididae-4,-57.307713597941415,-119.98163736650476,-219.39850745602786
Acrididae-5,-49.29541082570478,-107.71405558211809,-226.8128155678726
Acrididae-6,-51.57387579518067,-125.52263755228782,-217.30695540660759
Acrididae-7,-49.63903813013339,-121.83221814484016,-219.60152616158845
Acrididae-8,-36.61330157797801,-122.8515991925524,-220.46371574690346
Acrididae-9,-39.18565944064094,-124.08882703085106,-219.58498694532963
Acroceridae,154.349070920361,67.49870403537548,137.4744793940196
Acrolophidae,26.542278425513377,-134.89031471891064,161.0783353926284
Adelgidae,-41.441400463944404,232.18910671834777,-87.90530769613206
Adelidae,46.60781742990592,-100.19419762111912,189.96118474512286
Aderidae,-192.31003495297756,27.082994864409404,96.27573420173279
Aeolothripidae,-218.02597626627121,114.8350166309955,-78.95099576642538
Aeshnidae-1,192.01216255253556,-153.89455103788637,-177.28303366364074
Aeshnidae-2,211.60951583733552,-171.61866017630837,-139.71686539918787
Aetalionidae,-111.62589278012483,116.95851911189405,-176.89627343120264
Agaonidae,60.62295759718797,221.18469321030497,79.67617763267934
Agathemeridae,-62.26193189187472,-213.08839301281546,-136.38182264134048
Agathiphagidae,55.675924718322285,-89.3756634925907,195.64007900798825
Agromyzidae,193.87488057504981,13.715799571892386,75.87346211354645
Agyrtidae,-126.33938462928792,41.35897909977988,186.00534636228204
Aididae,42.916490082156464,-141.71956319306767,145.56901614559501
Alexiidae,-169.91185103686706,31.787688972178884,143.92349355382044
Aleyrodidae,14.682468527256384,227.4997584306058,-105.4171146182323
Alucitidae,27.337783553756445,-156.87390480508844,145.74502439875545
Alydidae,11.569246517507146,148.1927727942304,-184.5364044713791
Ameletidae,143.57057422693572,-8.738201976149863,-270.36846567514556
Ameletopsidae,142.22481776396984,-48.0070235871072,-264.3007779080155
Amelidae,-186.53785890731308,-69.71568893855877,-168.04455585157868
Ametropodidae,143.14477697471725,-13.696307347483572,-269.9892859849714
Amorphoscelidae-1,-197.57441696621498,-67.46678877277374,-157.45624166084835
Amorphoscelidae-2,-188.4477089613709,-85.49521126571085,-158.21759549964804
Amorphoscelidae-3,-186.7666264159027,-85.4794772487544,-159.97810946875865
Amorphoscelidae-4,-186.80059814417368,-75.92361813124836,-164.88755326415807
Amorphoscelidae-5,-221.1176913750589,-86.52080934732598,-116.36173664688957
Amphientomidae,212.32505441215284,90.63394280165272,-97.19037933358632
Amphipsocidae,202.48527978820914,72.91214120061414,-116.8826066423096
Amphizoidae,-35.779426549943196,73.81015277738842,223.778889552305
Amphyipterygidae,216.87270933836876,-138.82661444364837,-162.82038167866202
Ampulicidae,97.58230088943145,214.9555818985602,39.200644002402775
Anaplectidae,-192.44470968576243,-155.95705203505446,-93.74383402866344
Anaxyelidae,2.876571792994907,238.36623961488397,34.0237390580239
Andesianidae,57.13840521616789,-103.9490182302446,187.06461583846675
Andrenidae,101.48106646213029,212.95790921381868,22.725320816829505
Anisacanthidae,-47.840673844117724,-214.80895319400136,-138.5321699981281
Anischiidae,-120.69579479491732,-8.378875265546178,198.1412157673242
Anisembiidae,-17.03391701829738,-189.57805247086006,-172.77302639043657
Anisolabididae,-129.05587649679305,-241.57744348527766,-25.85460469490512
Anisopodidae,143.76950424545765,6.841794769441177,174.19683818792683
Anobiidae,-107.70964540921985,96.9889257228649,175.73207145254992
Anoeciidae,-19.531060071922337,231.53543798425332,-95.62099492354253
Anomalopsychidae-1,144.2733229380248,-138.32917885393653,71.78736408417382
Anomalopsychidae-2,117.59602469189426,-166.80184959531053,64.57147933673549
Anomoeotidae,86.49659842602317,-139.62281436137374,142.0287958185489
Anostostomatidae,-113.09028401782058,-56.773022180525544,-229.74569086252302
Anthelidae,14.994832571878517,-164.59240682308584,120.72723669323118
