name,x,y,z
Zygentoma,130.75892004854038,320.5195803241189,435.21434
Dermaptera,190.22889214977704,168.22767166493207,435.21434
Zoraptera,269.72757074744953,-55.13957507074648,435.21434
Plecoptera,249.9149912500227,-93.52633734335367,435.21434
Phasmatodea,207.0434718484411,82.70738766077152,435.21434
Embioptera,222.28722727646235,133.0327071373204,435.21434
Grylloblattodea,258.9085340413515,79.2230453934098,435.21434
Mantophasmatodea,253.23671017441623,112.28857721788528,435.21434
Blattodea,282.0131351178083,2.450288311676177,435.21434
Mantodea,257.3823746379807,22.8675723208508,435.21434
Orthoptera,218.1793870732816,-17.861595837652473,435.21434
Hymenoptera,163.98106258528662,-181.59396541540536,435.21434
Coleoptera,110.69880352994976,-115.00781459981955,435.21434
Strepsiptera,103.85324436409768,-171.34559800532014,435.21434
Raphidioptera,49.89617976719839,-265.1150745711832,435.21434
Megaloptera,98.57815407648737,-239.9792429229299,435.21434
Neuroptera,53.41230227609795,-222.83373465130987,435.21434
Siphonaptera,-37.71587850973648,-236.53875702296,435.21434
Mecoptera,-28.4105668119694,-266.1387815773987,435.21434
Diptera,-86.59956617194607,-264.61276744381564,435.21434
Lepidoptera,-142.8667265468115,-234.98142030374692,435.21434
Trichoptera,-109.41306096425666,-222.33183754402737,435.21434
Hemiptera,-215.55078366878615,-188.372807692824,435.21434
Thysanoptera,10.195502811735452,-132.42054524848055,435.21434
Phthiraptera-1,-231.8604219881254,-103.5999413400001,435.21434
Psocoptera-1,-243.3383993289278,20.73798441901197,435.21434
Psocoptera-2,-127.14162231036596,-28.67438696668628,435.21434
Phthiraptera-2,-70.61604619836561,9.734888489723453,435.21434
Phthiraptera-3,-166.21995503530331,35.65878908170512,435.21434
Phthiraptera-4,-200.72332766673904,77.94709961340688,435.21434
Phthiraptera-5,-193.41456276286013,115.19971621336391,435.21434
Phthiraptera-6,-159.45512742562224,82.36414876678359,435.21434
Phthiraptera-7,-71.21415641510927,69.61339998030758,435.21434
Phthiraptera-8,-46.57074933356829,106.94713569807696,435.21434
Phthiraptera-9,-84.52986507421099,100.99623509890075,435.21434
Psocoptera-3,-120.34526001095244,166.3242475148009,435.21434000000005
Psocoptera-4,-153.23569815267467,139.25827725182015,435.21434000000005
Phthiraptera-10,-98.50278528386616,165.05891575278923,435.21434000000005
Psocoptera-5,-139.68281025921362,155.49209842012326,435.21434000000005
Psocoptera-6,-108.40703769924956,136.69794019781736,435.2143400000001
Psocoptera-7,-133.3001874734172,117.71962842216196,435.21434000000005
Psocoptera-8,-69.49022976593217,135.29532919044104,435.21434000000005
Phthiraptera-11,-69.11973847416787,159.1668099228627,435.21434
Phthiraptera-12,-116.19233910914888,73.76898202055287,435.21434
Psocoptera-9,-230.38190043647828,-22.78787385368915,435.21434
Phthiraptera-13,-182.72372866195312,-53.113513184564944,435.21434
Odonata,175.02335119215698,266.3619046421433,435.21434
Ephemeroptera,57.47514314450088,321.5285785815602,435.21434
Archaeognatha,274.2275734267163,-261.21336871340395,435.21434
