,x,y,z
'Adelges piceae Ratzeburg,-42.13472798972388,-209.52442372103266,197.09435698667247
'Anillinus sp. IBE_AI1146',179.3863199036108,134.38310249745928,-64.44554958775736
'Anillomyrma sp. AFRC_TZ_01',-97.99681441306723,-59.01106523909811,-194.40254899941158
'Anthophila sp. JDP1_5570',12.627451626908174,65.04526803128542,59.17980947216325
'Aporus Aporus sp. JR-2014a',-122.62950565733354,-191.27701514604587,29.75333265024137
'Aporus Aporus sp. JR-2014b',-86.47372585498181,-61.69866046064029,-203.6734017652926
'Aulacocyclus sp. DDM_3296',-141.79783894974798,161.83214032061244,92.18646268268736
'Blaste cf. lunulata 09.20.2007.11.2',282.7225090180126,-101.01656779513254,-11.242917454683198
'Calathus Calathus sp. CR-2012',-66.76568588399375,209.96144211697157,64.01015110365363
'Ceratina Calloceratina sp. Panama',-133.07723415345714,-7.889265458908545,178.72627945633718
'Ceratina Calloceratina sp. blue',215.94389485098986,43.325315948971046,-5.130306068304791
'Ceratina Ceratinula sp. paraguay',-190.64447641373826,-47.07411031519596,105.34160650412086
'Ceratina Ctenoceratina sp. Zambia',-187.3089399928664,121.17168293506231,14.855593743245969
'Ceratina Hirashima sp. Malagasy 1',-181.2634515497321,-128.1472073269466,-25.59042157661528
'Ceratina Hirashima sp. Malagasy 2',-126.4650181657419,43.336157800921114,-177.5489985863125
'Ceratina Hirashima sp. S. Africa 1',135.64559949495833,-160.09049743749,-73.59966595268452
'Ceratina Hirashima sp. S. Africa 2',-179.2454421795871,87.69412090924092,100.51074359090558
'Ceratina Hirashima sp. Zambia 1',169.82310071457104,85.16963319333257,116.78363958216343
'Ceratina Hirashima sp. Zambia 2',216.11434256577968,56.80287241370551,-16.609105470173077
'Ceratina Neoceratina sp. Samoa 268',-188.99561358760292,40.809378777490814,112.82847578275819
'Ceratina Neoceratina sp. Solomons',46.12244792663892,182.96875578139992,-94.33968537155873
'Ceratina Pithitis sp. Kenya',-121.64846551964479,-8.27794252447683,186.33545144037626
'Ceratina n. subgen. sp. SMR-2010',-53.25999265307061,64.43757368508105,-208.27992841091236
'Ceratina sp. BOLD AAA2368',-20.617621357175448,136.1865744827657,174.63331140155364
'Cerconychia sp. BYU_PL114',41.7315104799971,-78.11934896592635,309.6808002651927
'Chondrocephalus sp. DDM_3228',-204.37256389354758,6.9752113596612135,-114.72790793080783
'Chondrocephalus sp. DDM_3241',234.8027381858648,9.91417596251533,25.672231047136865
'Cicindela Cosmodela cf. separata KT-2015',-213.2425120036559,-63.029721282566804,49.09277580817456
