0,x,y,z,family,order,name,name_eng,family_eng,order_eng
Eulemur macaco macaco,-544.3344660250002,-31595.829856417426,-23029.83689554422,Lemuridae,Primates,Eulemur macaco macaco,Eulemur macaco macaco,lemurs,Primates
Eulemur rufus,-544.6191105847679,-31595.470161383728,-23029.985675911965,Lemuridae,Primates,Eulemur rufus,Red-fronted lemur,lemurs,Primates
Eulemur fulvus mayottensis,-544.8185617425106,-31595.477688171075,-23030.19321232171,Lemuridae,Primates,Eulemur fulvus mayottensis,Eulemur fulvus mayottensis,lemurs,Primates
Eulemur fulvus fulvus,-544.8185617497255,-31595.477688160678,-23030.193212285525,Lemuridae,Primates,Eulemur fulvus fulvus,Eulemur fulvus fulvus,lemurs,Primates
Eulemur mongoz,-544.5477040071578,-31595.751943242747,-23030.462715530117,Lemuridae,Primates,Eulemur mongoz,mongoose lemur,lemurs,Primates
Eulemur rubriventer,-544.3365338867035,-31595.838878396356,-23030.268439356507,Lemuridae,Primates,Eulemur rubriventer,red-bellied lemur,lemurs,Primates
Varecia variegata variegata,-544.9650382248435,-31596.074429460936,-23029.63978323071,Lemuridae,Primates,Varecia variegata variegata,Varecia variegata variegata,lemurs,Primates
Varecia variegata,-545.0119769342906,-31595.98955736598,-23029.63636008514,Lemuridae,Primates,Varecia variegata,variegated lemur,lemurs,Primates
Hapalemur griseus,-545.1413595096778,-31596.14462276903,-23030.2830975544,Lemuridae,Primates,Hapalemur griseus,bamboo lemur,lemurs,Primates
Hapalemur griseus griseus,-545.0390570622083,-31596.15326924837,-23030.390928068213,Lemuridae,Primates,Hapalemur griseus griseus,Hapalemur griseus griseus,lemurs,Primates
Prolemur simus,-544.5941349454138,-31596.3661142999,-23030.00761166453,Lemuridae,Primates,Prolemur simus,broad-nosed bamboo lemur,lemurs,Primates
Lemur catta,-544.6482677201644,-31596.33384693886,-23030.3068352276,Lemuridae,Primates,Lemur catta,Ring-tailed lemur,lemurs,Primates
Eulemur macaco,-544.3344660250002,-31595.829856417426,-23029.83689554422,Lemuridae,Primates,Eulemur macaco,black lemur,lemurs,Primates
Eulemur fulvus,-544.8185617187589,-31595.477688159808,-23030.193212304264,Lemuridae,Primates,Eulemur fulvus,brown lemur,lemurs,Primates
Varecia rubra,-545.1385293830756,-31596.00027264377,-23029.73434448121,Lemuridae,Primates,Varecia rubra,Red ruffed lemur,lemurs,Primates
Avahi laniger,-539.1397979137348,-31595.21280606657,-23029.072191700678,Indriidae,Primates,Avahi laniger,woolly lemur,Indriidae,Primates
Indri indri,-539.2833639715915,-31595.747917878423,-23028.81014487469,Indriidae,Primates,Indri indri,Indri indri,Indriidae,Primates
Propithecus edwardsi,-539.7881137326555,-31595.51390399259,-23029.2674464046,Indriidae,Primates,Propithecus edwardsi,Milne-Edwards sifaka,Indriidae,Primates
Propithecus diadema,-539.9309804016495,-31595.592385057826,-23029.08035069534,Indriidae,Primates,Propithecus diadema,diademed sifaka,Indriidae,Primates
Propithecus verreauxi,-539.7636798230667,-31594.97991293272,-23029.05007263551,Indriidae,Primates,Propithecus verreauxi,white sifaka,Indriidae,Primates
Propithecus tattersalli,-539.6294470626931,-31595.15894627481,-23028.571520409743,Indriidae,Primates,Propithecus tattersalli,golden-crowned sifaka,Indriidae,Primates
