,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Aconoidasida,24305.119000887145,19933.06752443753,27612.42445733602,Apicomplexa,,Eukaryota,Aconoidasida,apicomplexans,,eukaryotes,Aconoidasida
Actinopteri,-1895.304718308152,-30744.14002234379,-22372.702096756813,Chordata,Metazoa,Eukaryota,Actinopteri,chordates,multicellular animals,eukaryotes,Actinopteri
Agaricomycetes,25085.86792381765,3927.543288250749,-32378.68125592529,Basidiomycota,Fungi,Eukaryota,Agaricomycetes,basidiomycetes,Fungi,eukaryotes,Agaricomycetes
Agaricostilbomycetes,29251.37974881108,-1396.3862381629406,-31827.13752572626,Basidiomycota,Fungi,Eukaryota,Agaricostilbomycetes,basidiomycetes,Fungi,eukaryotes,Agaricostilbomycetes
Amphibia|amphibians,944.1683025224638,-32631.01906253488,-22919.294287849487,Chordata,Metazoa,Eukaryota,Amphibia,chordates,multicellular animals,eukaryotes,amphibians
Andreaeobryopsida,-32075.04771434821,13296.234467799017,-16435.48966968443,Streptophyta,Viridiplantae,Eukaryota,Andreaeobryopsida,Streptophyta,green plants,eukaryotes,Andreaeobryopsida
Andreaeopsida,-31329.21011615966,15637.652375010952,-14205.573920210054,Streptophyta,Viridiplantae,Eukaryota,Andreaeopsida,Streptophyta,green plants,eukaryotes,Andreaeopsida
Anthocerotopsida,-28087.815856347428,19483.183594622114,-15936.895662918916,Streptophyta,Viridiplantae,Eukaryota,Anthocerotopsida,Streptophyta,green plants,eukaryotes,Anthocerotopsida
Anthozoa-1|anthozoans,19506.408839885225,-35477.05806723539,6589.89436513554,Cnidaria,Metazoa,Eukaryota,Anthozoa,coelenterates,multicellular animals,eukaryotes,anthozoans
Anthozoa-2|anthozoans,18459.796706776644,-33724.66804001437,7818.790227707195,Cnidaria,Metazoa,Eukaryota,Anthozoa,coelenterates,multicellular animals,eukaryotes,anthozoans
Appendicularia|appendicularians,3943.2915323442967,-35807.203561115704,-19901.93569162544,Chordata,Metazoa,Eukaryota,Appendicularia,chordates,multicellular animals,eukaryotes,appendicularians
Arachnida|arachnids,12534.961675535576,-33619.21272320779,-13023.401338021122,Arthropoda,Metazoa,Eukaryota,Arachnida,arthropods,multicellular animals,eukaryotes,arachnids
Armophorea,19861.049805631057,25939.48150574342,23869.0863022055,Ciliophora,,Eukaryota,Armophorea,ciliates,,eukaryotes,Armophorea
