,x,y,z,order,name,name_eng,order_eng
Ornithorhynchidae,-372.18712359775446,-31556.05793424124,-23125.428397218457,Monotremata,Ornithorhynchidae,platypus,egg-laying mammals
Tachyglossidae,-376.6465785421719,-31581.18610903653,-23128.849624856564,Monotremata,Tachyglossidae,echidnas,egg-laying mammals
Didelphidae,-563.9650511837028,-31522.659287416533,-23064.944047035755,Didelphimorphia,Didelphidae,American opossums,Opossums
Caenolestidae,-582.915626610773,-31543.8437666516,-23101.22485962536,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-522.1474433744366,-31510.514758975496,-23063.28080724964,Microbiotheria,Microbiotheriidae,Monito del Monte,Monito del monte
Thylacinidae,-518.6280386660295,-31544.66764202109,-23141.444365702784,Dasyuromorphia,Thylacinidae,Thylacine,Dasyuromorphia
Dasyuridae,-522.3993967783507,-31538.44660533319,-23140.813774493752,Dasyuromorphia,Dasyuridae,Dasyuridae,Dasyuromorphia
Myrmecobiidae,-517.564984882667,-31540.32260176836,-23135.67264275529,Dasyuromorphia,Myrmecobiidae,Numbat,Dasyuromorphia
Macropodidae,-559.86699745143,-31557.564229440668,-23136.57686892953,Diprotodontia,Macropodidae,Macropodidae,Diprotodontia
Petauridae,-558.2194351544142,-31557.19510955172,-23140.83857256472,Diprotodontia,Petauridae,gliding and striped possums,Diprotodontia
Phalangeridae,-558.4648866656825,-31550.07894562538,-23137.401113321608,Diprotodontia,Phalangeridae,possums and cuscuses,Diprotodontia
Vombatidae,-555.5892810158679,-31554.615547219164,-23138.111422570328,Diprotodontia,Vombatidae,wombats,Diprotodontia
Burramyidae,-562.2845289509057,-31550.78056313387,-23139.836880367675,Diprotodontia,Burramyidae,pygmy possums,Diprotodontia
Pseudocheiridae,-557.2271074668232,-31551.900475492952,-23141.42113732403,Diprotodontia,Pseudocheiridae,ring-tailed possums,Diprotodontia
Acrobatidae,-563.2754610892073,-31556.07178036712,-23139.254934207223,Diprotodontia,Acrobatidae,feather-tailed possums,Diprotodontia
Phascolarctidae,-558.4126327724299,-31553.708023243173,-23134.677730627707,Diprotodontia,Phascolarctidae,koalas,Diprotodontia
Tarsipedidae,-560.9996141802362,-31554.100925173683,-23142.650853228148,Diprotodontia,Tarsipedidae,honey possums,Diprotodontia
Potoroidae,-562.7393293751394,-31553.02914477957,-23135.86755294232,Diprotodontia,Potoroidae,Rat-kangaroos,Diprotodontia
Notoryctidae,-543.5384161284901,-31525.194738238337,-23105.18456258197,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-501.0113888262373,-31521.147037832645,-23097.337568487557,Peramelemorphia,Peramelidae,bandicoots,bandicoots and bilbies
Peroryctidae,-503.2887176337071,-31515.000536658437,-23102.6903145825,Peramelemorphia,Peroryctidae,New Guinean bandicoots,bandicoots and bilbies
Myrmecophagidae,-577.4052889146307,-31663.153176979795,-23048.233029720734,Pilosa,Myrmecophagidae,anteaters,Pilosa
Cyclopedidae,-575.8545742212328,-31664.89113809921,-23046.78027479845,Pilosa,Cyclopedidae,silky anteater,Pilosa
Bradypodidae,-573.666132249139,-31662.987873255697,-23049.432937260062,Pilosa,Bradypodidae,three-fingered sloths,Pilosa
Megalonychidae,-574.4225919423833,-31664.486296526964,-23050.41812115509,Pilosa,Megalonychidae,two-toed sloths,Pilosa
Dasypodidae,-571.4568153706921,-31675.942063206177,-23069.643193573134,Cingulata,Dasypodidae,armadillos,Armadillos
Chlamyphoridae,-570.5183663695791,-31672.95478686618,-23066.426266947048,Cingulata,Chlamyphoridae,Chlamyphoridae,Armadillos
Tenrecidae,-532.2597733008133,-31676.06109045291,-23104.35817271663,Tenrecidae,Tenrecidae,tenrecs,tenrecs
Chrysochloridae,-468.4914475702739,-31689.18440870032,-23082.244935423965,Chrysochloridae,Chrysochloridae,Golden moles,Golden moles
Trichechidae,-496.8556837402863,-31707.924597122877,-23065.48614810858,Sirenia,Trichechidae,manatees,manatees and dugongs (seacows)
Dugongidae,-497.95728029523207,-31702.649224317785,-23070.022648244158,Sirenia,Dugongidae,dugong and sea cow,manatees and dugongs (seacows)
Elephantidae,-495.1371033005165,-31665.87895733918,-23111.90169219225,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-466.4085428219688,-31663.129279923032,-23097.756539842645,Hyracoidea,Procaviidae,conies,rock rabbits/dassies
Orycteropodidae,-530.100380229184,-31699.43396525475,-23079.47722702371,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-502.95917019678905,-31691.81640181474,-23103.56296171961,Macroscelidea,Macroscelididae,elephant shrew,elephants shrews
Erinaceidae,-504.5742875556591,-31691.5684731435,-23009.00383788681,Eulipotyphla,Erinaceidae,hedgehogs,"hedgehogs, shrews, moles and others"
Talpidae,-499.7216458137548,-31689.25513213116,-23011.662819713547,Eulipotyphla,Talpidae,"moles, shrew-moles, and desmans","hedgehogs, shrews, moles and others"
Soricidae,-501.2351872171907,-31687.497446558,-23006.13203258704,Eulipotyphla,Soricidae,shrews,"hedgehogs, shrews, moles and others"
Solenodontidae,-504.5897427769449,-31685.853909562044,-23010.824111658087,Eulipotyphla,Solenodontidae,Solenodons,"hedgehogs, shrews, moles and others"
Pteropodidae,-536.1906238288694,-31682.92642698717,-23012.62535347876,Chiroptera,Pteropodidae,Old World fruit bats,bats
Megadermatidae,-542.2155473338547,-31685.188880505084,-23014.33026297012,Chiroptera,Megadermatidae,false vampire bats,bats
Phyllostomidae,-541.3243850765327,-31685.643808017758,-23016.97684271424,Chiroptera,Phyllostomidae,American leaf-nosed and vampire bats,bats
Vespertilionidae,-538.3164416355088,-31681.00131852529,-23013.99416384675,Chiroptera,Vespertilionidae,vespertilionid bats,bats
Molossidae,-535.6445924250498,-31682.56051643556,-23015.377347796868,Chiroptera,Molossidae,free-tailed bats,bats
Emballonuridae,-541.091208475844,-31682.136913144568,-23013.5443307472,Chiroptera,Emballonuridae,"sac-winged, sheath-tailed, and ghost bats",bats
Rhinolophidae,-535.6496260506844,-31686.039846834952,-23016.21793839712,Chiroptera,Rhinolophidae,Old World leaf-nosed bats,bats
Mormoopidae,-539.3981917216797,-31684.052123720765,-23018.2948933265,Chiroptera,Mormoopidae,Mormoopidae,bats
Natalidae,-540.1308977955576,-31687.799187158893,-23015.50595674511,Chiroptera,Natalidae,funnel-eared bats,bats
Nycteridae,-539.8361423028426,-31687.35660949925,-23012.76445946105,Chiroptera,Nycteridae,hollow-faced bats,bats
Noctilionidae,-536.6394840460295,-31683.820154564943,-23017.715458331822,Chiroptera,Noctilionidae,bulldog bats,bats
Mystacinidae,-538.5154234648227,-31681.458733856845,-23016.696717489805,Chiroptera,Mystacinidae,New Zealand short-tailed bats,bats
Rhinopomatidae,-537.5723175461967,-31685.891846261315,-23011.538101857772,Chiroptera,Rhinopomatidae,Mouse-tailed bats,bats
Thyropteridae,-540.8393644775424,-31684.836082075373,-23011.87569326401,Chiroptera,Thyropteridae,Disc-winged bats,bats
Furipteridae,-541.3089926675917,-31682.54961008996,-23016.252627264315,Chiroptera,Furipteridae,Smoky bats,bats
Myzopodidae,-535.37842728635,-31685.541243296637,-23013.48363613043,Chiroptera,Myzopodidae,Myzopodidae,bats
Hipposideridae,-538.7870453802747,-31682.92408162873,-23011.512013106392,Chiroptera,Hipposideridae,Old World leaf-nosed bats,bats
Craseonycteridae,-538.1639202680894,-31686.90890886204,-23017.52079780032,Chiroptera,Craseonycteridae,Kitti's hog-nosed bat,bats
Rhinonycteridae,-537.2375504339058,-31687.90008296245,-23014.336853002937,Chiroptera,Rhinonycteridae,Rhinonycteridae,bats
Equidae,-541.996262899056,-31629.70015599429,-22999.6880240338,Perissodactyla,Equidae,horses,odd-toed ungulates
Tapiridae,-538.3625353537153,-31633.16908638496,-22999.428917373087,Perissodactyla,Tapiridae,tapirs,odd-toed ungulates
Rhinocerotidae,-537.5271244687003,-31628.517873395544,-22997.70469067214,Perissodactyla,Rhinocerotidae,rhinoceroses,odd-toed ungulates
Manidae,-555.1995204682222,-31652.42075290346,-23009.350801983,Pholidota,Manidae,pangolins,pangolins
