,x,y,z,order,name
Ornithorhynchidae,-372.18712359775446,-31556.057934241242,-23125.428397218457,Monotremata,Ornithorhynchidae
Tachyglossidae,-376.6465785421719,-31581.18610903653,-23128.849624856564,Monotremata,Tachyglossidae
Didelphidae,-563.9650511837028,-31522.659287416533,-23064.944047035755,Didelphimorphia,Didelphidae
Caenolestidae,-582.915626610773,-31543.843766651597,-23101.22485962536,Paucituberculata,Caenolestidae
Microbiotheriidae,-522.1474433744366,-31510.514758975496,-23063.280807249637,Microbiotheria,Microbiotheriidae
Thylacinidae,-518.6280386660295,-31544.66764202109,-23141.444365702784,Dasyuromorphia,Thylacinidae
Dasyuridae,-522.3993967783507,-31538.44660533319,-23140.813774493752,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-517.564984882667,-31540.322601768356,-23135.672642755286,Dasyuromorphia,Myrmecobiidae
Macropodidae,-559.86699745143,-31557.564229440668,-23136.576868929526,Diprotodontia,Macropodidae
Petauridae,-558.2194351544142,-31557.195109551718,-23140.838572564717,Diprotodontia,Petauridae
Phalangeridae,-558.4648866656825,-31550.07894562538,-23137.401113321608,Diprotodontia,Phalangeridae
Vombatidae,-555.5892810158679,-31554.615547219164,-23138.111422570328,Diprotodontia,Vombatidae
Burramyidae,-562.2845289509057,-31550.78056313387,-23139.836880367675,Diprotodontia,Burramyidae
Pseudocheiridae,-557.2271074668232,-31551.900475492952,-23141.42113732403,Diprotodontia,Pseudocheiridae
Acrobatidae,-563.2754610892073,-31556.07178036712,-23139.254934207223,Diprotodontia,Acrobatidae
Phascolarctidae,-558.4126327724299,-31553.708023243173,-23134.677730627707,Diprotodontia,Phascolarctidae
Tarsipedidae,-560.9996141802362,-31554.100925173683,-23142.650853228148,Diprotodontia,Tarsipedidae
Potoroidae,-562.7393293751394,-31553.029144779575,-23135.867552942316,Diprotodontia,Potoroidae
Notoryctidae,-543.5384161284901,-31525.194738238337,-23105.18456258197,Notoryctemorphia,Notoryctidae
Peramelidae,-501.0113888262373,-31521.147037832645,-23097.337568487554,Peramelemorphia,Peramelidae
Peroryctidae,-503.28871763370705,-31515.000536658434,-23102.6903145825,Peramelemorphia,Peroryctidae
Myrmecophagidae,-577.4052889146307,-31663.153176979795,-23048.233029720734,Pilosa,Myrmecophagidae
Cyclopedidae,-575.8545742212328,-31664.89113809921,-23046.78027479845,Pilosa,Cyclopedidae
Bradypodidae,-573.666132249139,-31662.987873255697,-23049.432937260066,Pilosa,Bradypodidae
Megalonychidae,-574.4225919423833,-31664.486296526964,-23050.41812115509,Pilosa,Megalonychidae
Dasypodidae,-571.4568153706921,-31675.942063206177,-23069.643193573138,Cingulata,Dasypodidae
Chlamyphoridae,-570.5183663695791,-31672.95478686618,-23066.426266947048,Cingulata,Chlamyphoridae
Tenrecidae,-532.2597733008133,-31676.06109045291,-23104.35817271663,Tenrecidae,Tenrecidae
Chrysochloridae,-468.4914475702739,-31689.184408700316,-23082.244935423965,Chrysochloridae,Chrysochloridae
Trichechidae,-496.8556837402863,-31707.924597122874,-23065.48614810858,Sirenia,Trichechidae
Dugongidae,-497.95728029523207,-31702.649224317785,-23070.022648244154,Sirenia,Dugongidae
Elephantidae,-495.1371033005165,-31665.87895733918,-23111.901692192252,Proboscidea,Elephantidae
Procaviidae,-466.4085428219688,-31663.129279923032,-23097.756539842645,Hyracoidea,Procaviidae
Orycteropodidae,-530.100380229184,-31699.43396525475,-23079.47722702371,Tubulidentata,Orycteropodidae
Macroscelididae,-502.95917019678905,-31691.81640181474,-23103.56296171961,Macroscelidea,Macroscelididae
Erinaceidae,-504.5742875556591,-31691.5684731435,-23009.003837886812,Eulipotyphla,Erinaceidae
Talpidae,-499.72164581375483,-31689.255132131162,-23011.662819713547,Eulipotyphla,Talpidae
Soricidae,-501.2351872171907,-31687.497446558,-23006.13203258704,Eulipotyphla,Soricidae
Solenodontidae,-504.5897427769449,-31685.853909562044,-23010.824111658087,Eulipotyphla,Solenodontidae
Pteropodidae,-536.1906238288694,-31682.92642698717,-23012.62535347876,Chiroptera,Pteropodidae
Megadermatidae,-542.2155473338547,-31685.188880505084,-23014.330262970117,Chiroptera,Megadermatidae
Phyllostomidae,-541.3243850765327,-31685.643808017754,-23016.976842714237,Chiroptera,Phyllostomidae
Vespertilionidae,-538.3164416355088,-31681.00131852529,-23013.99416384675,Chiroptera,Vespertilionidae
Molossidae,-535.6445924250498,-31682.56051643556,-23015.377347796868,Chiroptera,Molossidae
Emballonuridae,-541.091208475844,-31682.136913144568,-23013.5443307472,Chiroptera,Emballonuridae
Rhinolophidae,-535.6496260506844,-31686.039846834952,-23016.217938397116,Chiroptera,Rhinolophidae
Mormoopidae,-539.3981917216797,-31684.052123720765,-23018.2948933265,Chiroptera,Mormoopidae
Natalidae,-540.1308977955576,-31687.799187158893,-23015.50595674511,Chiroptera,Natalidae
Nycteridae,-539.8361423028426,-31687.35660949925,-23012.76445946105,Chiroptera,Nycteridae
Noctilionidae,-536.6394840460295,-31683.820154564943,-23017.715458331822,Chiroptera,Noctilionidae
Mystacinidae,-538.5154234648227,-31681.458733856845,-23016.696717489805,Chiroptera,Mystacinidae
Rhinopomatidae,-537.5723175461967,-31685.891846261315,-23011.538101857775,Chiroptera,Rhinopomatidae
Thyropteridae,-540.8393644775424,-31684.836082075373,-23011.87569326401,Chiroptera,Thyropteridae
Furipteridae,-541.3089926675917,-31682.549610089958,-23016.252627264315,Chiroptera,Furipteridae
Myzopodidae,-535.37842728635,-31685.541243296633,-23013.48363613043,Chiroptera,Myzopodidae
Hipposideridae,-538.7870453802747,-31682.924081628735,-23011.512013106392,Chiroptera,Hipposideridae
Craseonycteridae,-538.1639202680894,-31686.908908862042,-23017.520797800316,Chiroptera,Craseonycteridae
Rhinonycteridae,-537.2375504339058,-31687.90008296245,-23014.336853002937,Chiroptera,Rhinonycteridae
Equidae,-541.996262899056,-31629.700155994295,-22999.688024033796,Perissodactyla,Equidae
Tapiridae,-538.3625353537153,-31633.169086384958,-22999.428917373087,Perissodactyla,Tapiridae
Rhinocerotidae,-537.5271244687003,-31628.517873395544,-22997.70469067214,Perissodactyla,Rhinocerotidae
Manidae,-555.1995204682222,-31652.42075290346,-23009.350801983,Pholidota,Manidae
Viverridae,-511.01845455857534,-31657.738634178164,-22984.877042776923,Carnivora,Viverridae
Hyaenidae,-509.40979847038176,-31659.94991875239,-22984.787843579394,Carnivora,Hyaenidae
Felidae,-512.7832826060184,-31657.165756979648,-22986.883112793155,Carnivora,Felidae
Herpestidae,-510.467866999566,-31655.512182347342,-22986.284572011184,Carnivora,Herpestidae
Nandiniidae,-512.17139096259,-31659.903023562554,-22985.88323642135,Carnivora,Nandiniidae
Eupleridae,-508.38555099370524,-31657.22911786474,-22984.983791007642,Carnivora,Eupleridae
Canidae,-507.60252352877416,-31660.893130731383,-22988.26186169142,Carnivora,Canidae
Ursidae,-507.45245029501064,-31656.462305581623,-22988.86169931005,Carnivora,Ursidae
Procyonidae,-509.34943396454946,-31660.08882065697,-22990.778035908057,Carnivora,Procyonidae
Mustelidae,-506.54654812087693,-31658.82611911625,-22988.10264647249,Carnivora,Mustelidae
Otariidae,-509.7257984428181,-31656.13645966491,-22990.124203729138,Carnivora,Otariidae
Odobenidae,-511.3657088885981,-31657.70025179149,-22990.609321588643,Carnivora,Odobenidae
Phocidae,-511.81428017173397,-31659.996983866848,-22989.84352228409,Carnivora,Phocidae
Mephitidae,-507.84215404456165,-31658.290650641455,-22990.612134499363,Carnivora,Mephitidae
Ailuridae,-509.9054020326697,-31661.60165391204,-22988.661527004013,Carnivora,Ailuridae
Camelidae,-510.1133036456581,-31622.979931032416,-22992.314131355986,Artiodactyla,Camelidae
Tragulidae,-506.9046999443107,-31622.9717384754,-22988.29040740009,Artiodactyla,Tragulidae
Cervidae,-507.6228675477014,-31624.147980329002,-22990.880139048237,Artiodactyla,Cervidae
Antilocapridae,-507.0174062366247,-31624.16100702325,-22989.608984728144,Artiodactyla,Antilocapridae
Giraffidae,-507.3603759982976,-31624.6201291844,-22990.2092190192,Artiodactyla,Giraffidae
Bovidae,-507.4323229202762,-31623.30878706456,-22990.72056183129,Artiodactyla,Bovidae
Moschidae,-507.0699051463018,-31623.24068946186,-22990.001394022765,Artiodactyla,Moschidae
Suidae,-509.43574128490775,-31620.694440013456,-22990.667626990224,Artiodactyla,Suidae
