,x,y,z,name,class,name_eng,class_eng
Monotremata,-374.4168510699632,-31568.622021638887,-23127.13901103751,Monotremata,Mammalia,egg-laying mammals,mammals
Didelphimorphia,-563.9650511837028,-31522.659287416533,-23064.944047035755,Didelphimorphia,Mammalia,Opossums,mammals
Paucituberculata,-582.915626610773,-31543.8437666516,-23101.22485962536,Paucituberculata,Mammalia,shrew opossums,mammals
Microbiotheria,-522.1474433744366,-31510.514758975496,-23063.28080724964,Microbiotheria,Mammalia,Monito del monte,mammals
Dasyuromorphia,-519.5308067756824,-31541.14561637421,-23139.31026098394,Dasyuromorphia,Mammalia,Dasyuromorphia,mammals
Diprotodontia,-559.7079274122136,-31553.90447440273,-23138.663706608328,Diprotodontia,Mammalia,Diprotodontia,mammals
Notoryctemorphia,-543.5384161284901,-31525.194738238337,-23105.18456258197,Notoryctemorphia,Mammalia,marsupial moles,mammals
Peramelemorphia,-502.1500532299722,-31518.07378724554,-23100.013941535028,Peramelemorphia,Mammalia,bandicoots and bilbies,mammals
Pilosa,-575.3371468318464,-31663.879621215416,-23048.716090733586,Pilosa,Mammalia,Pilosa,mammals
Cingulata,-570.9875908701356,-31674.44842503618,-23068.034730260093,Cingulata,Mammalia,Armadillos,mammals
Tenrecidae,-532.2597733008133,-31676.06109045291,-23104.35817271663,Tenrecidae,Mammalia,tenrecs,mammals
Chrysochloridae,-468.4914475702739,-31689.18440870032,-23082.244935423965,Chrysochloridae,Mammalia,Golden moles,mammals
Sirenia,-497.4064820177592,-31705.28691072033,-23067.754398176367,Sirenia,Mammalia,manatees and dugongs (seacows),mammals
Proboscidea,-495.1371033005165,-31665.87895733918,-23111.90169219225,Proboscidea,Mammalia,elephants,mammals
Hyracoidea,-466.4085428219688,-31663.129279923032,-23097.756539842645,Hyracoidea,Mammalia,rock rabbits/dassies,mammals
Tubulidentata,-530.100380229184,-31699.43396525475,-23079.47722702371,Tubulidentata,Mammalia,aardvarks,mammals
Macroscelidea,-502.95917019678905,-31691.81640181474,-23103.56296171961,Macroscelidea,Mammalia,elephants shrews,mammals
Eulipotyphla,-502.53021584088737,-31688.54374034868,-23009.40570046137,Eulipotyphla,Mammalia,"hedgehogs, shrews, moles and others",mammals
Chiroptera,-538.6442201166961,-31684.554546022504,-23014.766497249027,Chiroptera,Mammalia,bats,mammals
Perissodactyla,-539.2953075738238,-31630.46237192493,-22998.94054402634,Perissodactyla,Mammalia,odd-toed ungulates,mammals
Pholidota,-555.1995204682222,-31652.42075290346,-23009.350801983,Pholidota,Mammalia,pangolins,mammals
Carnivora,-509.722709605362,-31658.49966730985,-22987.970303405127,Carnivora,Mammalia,carnivores,mammals
Artiodactyla,-509.6032315813334,-31623.407760849568,-22989.17990777119,Artiodactyla,Mammalia,"whales, hippos, ruminants, pigs, camels etc.",mammals
Scandentia,-442.5324146345248,-31646.71918638931,-23050.74188742923,Scandentia,Mammalia,tree shrews,mammals
Primates,-457.2884522297094,-31676.657015939367,-23025.57240260672,Primates,Mammalia,Primates,mammals
Dermoptera,-473.50246289801714,-31614.751543899714,-23002.69506361313,Dermoptera,Mammalia,flying lemurs,mammals
Lagomorpha,-452.4869403075514,-31623.52349652604,-23030.082186312637,Lagomorpha,Mammalia,Rabbits and pikas,mammals
Rodentia,-458.6541764259872,-31646.148027899133,-23005.06109545169,Rodentia,Mammalia,rodent,mammals
