0,x,y,z,family,order,name,name_eng,family_eng,order_eng
Eulemur macaco macaco,-457.78657003814914,-31679.13291655623,-23026.86802044816,Lemuridae,Primates,Eulemur macaco macaco,Eulemur macaco macaco,lemurs,Primates
Eulemur rufus,-457.85764111547456,-31679.04310660668,-23026.905168465422,Lemuridae,Primates,Eulemur rufus,Red-fronted lemur,lemurs,Primates
Eulemur fulvus mayottensis,-457.9074407978088,-31679.04498592201,-23026.956986902554,Lemuridae,Primates,Eulemur fulvus mayottensis,Eulemur fulvus mayottensis,lemurs,Primates
Eulemur fulvus fulvus,-457.9074407996102,-31679.04498591941,-23026.95698689352,Lemuridae,Primates,Eulemur fulvus fulvus,Eulemur fulvus fulvus,lemurs,Primates
Eulemur mongoz,-457.8398120643836,-31679.113462914585,-23027.024277432814,Lemuridae,Primates,Eulemur mongoz,mongoose lemur,lemurs,Primates
Eulemur rubriventer,-457.7870863492956,-31679.135169196376,-23026.97576985913,Lemuridae,Primates,Eulemur rubriventer,red-bellied lemur,lemurs,Primates
Varecia variegata variegata,-457.9440135726784,-31679.19398243327,-23026.818804736864,Lemuridae,Primates,Varecia variegata variegata,Varecia variegata variegata,lemurs,Primates
Varecia variegata,-457.9557333984548,-31679.172791263387,-23026.81795003357,Lemuridae,Primates,Varecia variegata,variegated lemur,lemurs,Primates
Hapalemur griseus,-457.9880381051648,-31679.211508550867,-23026.979429770698,Lemuridae,Primates,Hapalemur griseus,bamboo lemur,lemurs,Primates
Hapalemur griseus griseus,-457.9624948621792,-31679.213667434924,-23027.00635328117,Lemuridae,Primates,Hapalemur griseus griseus,Hapalemur griseus griseus,lemurs,Primates
Prolemur simus,-457.8514051080229,-31679.266811352827,-23026.91064546301,Lemuridae,Primates,Prolemur simus,broad-nosed bamboo lemur,lemurs,Primates
Lemur catta,-457.86492117389565,-31679.25875472208,-23026.98535667831,Lemuridae,Primates,Lemur catta,Ring-tailed lemur,lemurs,Primates
Eulemur macaco,-457.78657003814914,-31679.13291655623,-23026.86802044816,Lemuridae,Primates,Eulemur macaco,black lemur,lemurs,Primates
Eulemur fulvus,-457.9074407918784,-31679.0449859192,-23026.9569868982,Lemuridae,Primates,Eulemur fulvus,brown lemur,lemurs,Primates
Varecia rubra,-457.987331468977,-31679.17546669248,-23026.84241512995,Lemuridae,Primates,Varecia rubra,Red ruffed lemur,lemurs,Primates
Avahi laniger,-456.7232315663524,-31677.74497600927,-23028.1439106069,Indriidae,Primates,Avahi laniger,woolly lemur,Indriidae,Primates
Indri indri,-456.7575453148046,-31677.87287317647,-23028.081278749454,Indriidae,Primates,Indri indri,Indri indri,Indriidae,Primates
