"","x","y","z"
"Pongo abelii",0.134424199436902,0.107359512053636,-0.262724965870883
"Pongo pygmaeus",0.13253223700622,0.130619017971379,-0.245624075642363
"Plecturocebus donacophilus",-0.151911468822597,0.402291236765643,0.0685140655583998
"Saguinus oedipus",-0.0839195548621812,0.223938062647623,0.106286006321525
"Gorilla beringei graueri",0.0671037546414299,0.141856274129056,-0.3206610068258
"Gorilla beringei",0.0671037546414298,0.141856274129057,-0.320661006825799
"Gorilla gorilla gorilla",0.0660437778412129,0.131763849776505,-0.334291949215574
"Gorilla gorilla",0.0655551854726713,0.130279431026426,-0.336043897345751
"Sapajus apella",-0.178985111400309,0.342271988545259,0.0906228681549516
"Saimiri oerstedii citrinellus",-0.174654590974052,0.414389348629551,0.00727967109970262
"Saimiri sciureus",-0.168616674088802,0.416659298173996,0.0023845192180172
"Saimiri boliviensis",-0.167081927997973,0.405775605016178,0.0103064254682306
"Saimiri boliviensis boliviensis",-0.167458688051092,0.400248257726094,0.0116574977122909
"Cebus albifrons",-0.117246056845392,0.410467559425996,0.154177894664454
"Sapajus xanthosternos",-0.148835466030559,0.41249882901905,0.0993383376094609
"Leontopithecus rosalia",-0.163142725184067,0.296917583856603,0.0706083150422289
"Leontopithecus chrysopygus",-0.159622315340801,0.277922233104799,0.0610967366058496
"Cacajao calvus",-0.105211861183489,0.341465206895689,0.13355926717734
"Chiropotes israelita",-0.134938886441663,0.336524618953438,0.131668130747819
"Chiropotes albinasus",-0.163276225071653,0.340270530838289,0.132614768432794
"Callimico goeldii",-0.128784361187215,0.26748173946706,0.0397949718929709
"Callithrix pygmaea",-0.153244781594853,0.305759748631032,0.0156753412845255
"Callithrix penicillata",-0.134440478909485,0.36397437361683,0.0827836204007504
"Callithrix jacchus",-0.144002733608998,0.36323308204478,0.0758865470880192
"Callithrix kuhlii",-0.145869398963598,0.357931937506682,0.0856832903922513
"Callithrix geoffroyi",-0.147486071519782,0.369449789343276,0.0690032298465434
"Cheracebus lugens",-0.13795824780445,0.339322704086279,0.097696078497813
"Plecturocebus cupreus",-0.174037026946673,0.40065015731906,0.128339954874702
"Aotus trivirgatus",-0.188301058007936,0.427608046925801,0.10696332057059
"Aotus azarae",-0.163494829519858,0.401886235824465,0.147487000134269
"Aotus azarae azarai",-0.163494829519858,0.401886235824465,0.147487000134269
"Aotus nigriceps",-0.152614259151962,0.392373433096946,0.134949399592747
"Aotus nancymaae",-0.164208136810191,0.403525632798149,0.151100188210771
