taxon,x,y,z
Allenopithecus nigroviridis,-6.6474175,-6.4150867,-8.772246
Allocebus trichotis,4.780189,7.423978,0.50247675
Allochrocebus lhoesti,-8.350179,-6.9813275,-9.730797
Alouatta caraya,2.3151422,3.0959694,5.1686554
Alouatta guariba clamitans,2.2328427,3.1394205,5.408015
Alouatta seniculus,2.4639618,3.3264453,5.430303
Aotus azarae,2.1027155,2.6412663,6.1635547
Aotus azarae azarai,2.1027155,2.6412663,6.1635547
Aotus griseimembra,2.5151098,2.3297427,5.873349
Aotus lemurinus,2.4800704,2.5132816,5.9210835
Aotus nancymaae,2.1762965,2.2961566,5.9446964
Aotus nigriceps,2.4252207,2.4735703,6.276062
Aotus trivirgatus,2.374774,2.628902,5.734308
Aotus vociferans,2.2210913,2.1934981,6.148901
Ateles belzebuth,1.6012132,3.2168615,5.5454693
Ateles fusciceps,1.7164066,3.1907802,5.7583375
Ateles geoffroyi,1.8538955,3.6502619,5.636848
Ateles hybridus,1.6975642,3.436708,5.2137604
Ateles paniscus,1.8945652,3.2159765,5.4144063
Avahi laniger,5.5687118,6.91697,2.0507069
Brachyteles arachnoides,1.7424192,3.5679095,5.359501
Cacajao calvus,1.8151687,3.0351794,4.7648377
Callicebus nigrifrons,1.2593068,2.5364728,5.2650414
Callicebus personatus,1.4575466,2.5632823,5.5518446
Callimico goeldii,1.5634099,2.8969955,4.5476713
Callithrix geoffroyi,2.4047346,3.2446952,4.494929
Callithrix jacchus,2.6699522,3.106248,4.6310267
Callithrix kuhlii,2.5104785,3.097483,4.331905
Callithrix penicillata,2.4700403,2.9333384,4.551242
Callithrix pygmaea,2.225316,2.9589865,4.469151
Carlito syrichta,3.9743533,6.6335783,1.4709774
Cebus albifrons,2.737861,3.58387,4.7434716
Cebus apella,3.0727813,3.9968526,4.7515225
Cebus kaapori,2.6411753,3.8966577,4.689617
Cebus olivaceus,2.6177502,3.7552881,4.5097327
Cephalopachus bancanus,3.6297407,6.993287,1.5123637
Cercocebus agilis,-5.2301292,-5.151902,-7.827322
Cercocebus atys,-4.986654,-5.2731314,-7.801006
Cercocebus atys atys,-4.711451,-5.1900525,-7.9274626
Cercocebus chrysogaster,-5.2383904,-5.0960035,-8.035326
Cercocebus torquatus,-4.753862,-5.041987,-7.9892693
Cercopithecus albogularis,-7.8857512,-8.281271,-8.839684
Cercopithecus albogularis albotorquatus,-8.094555,-8.38744,-8.786892
Cercopithecus albogularis kolbi,-8.369481,-8.159941,-8.858952
Cercopithecus albogularis moloneyi,-7.915684,-8.168238,-9.111811
Cercopithecus ascanius,-9.098785,-6.939219,-9.692989
Cercopithecus ascanius ascanius,-8.788178,-6.8071985,-9.752066
Cercopithecus ascanius katangae,-8.953152,-6.6965456,-9.8609085
Cercopithecus ascanius schmidti,-9.131406,-6.8318715,-10.009839
Cercopithecus campbelli,-6.7268887,-7.5542955,-9.356431
Cercopithecus cephus,-8.897496,-7.0729027,-9.78421
Cercopithecus cephus ngottoensis,-8.712049,-7.0738487,-9.532946
Cercopithecus denti,-6.5619216,-8.025534,-9.855854
Cercopithecus diana,-7.0866704,-7.724527,-9.296498
Cercopithecus doggetti,-8.006204,-7.7526183,-9.026316
Cercopithecus erythrogaster,-8.991099,-7.2773943,-10.156616
Cercopithecus erythrogaster pococki,-8.781566,-7.2469826,-10.201143
Cercopithecus erythrotis camerunensis,-8.700788,-7.3354883,-9.703983
Cercopithecus erythrotis erythrotis,-8.915229,-7.4469337,-9.690121
Cercopithecus hamlyni,-7.603128,-6.974246,-8.870924
Cercopithecus kandti,-8.258028,-7.887867,-9.249762
Cercopithecus lhoesti,-8.472877,-7.105007,-9.812309
Cercopithecus mitis,-7.906094,-7.95393,-8.652115
Cercopithecus mitis boutourlinii,-8.042749,-8.388283,-9.01333
Cercopithecus mitis heymansi,-8.158281,-8.050782,-9.026254
Cercopithecus mitis mitis,-8.4564085,-7.9253893,-8.660284
Cercopithecus mitis opisthostictus,-8.210906,-7.733754,-8.699753
Cercopithecus mitis stuhlmanni,-8.537614,-8.059358,-9.061962
Cercopithecus mona,-6.5232663,-7.55331,-9.457955
Cercopithecus neglectus,-6.7554026,-7.4502354,-9.672698
Cercopithecus nictitans,-8.574045,-7.8152566,-8.832279
Cercopithecus nictitans martini,-6.6335893,-7.9695797,-9.530766
Cercopithecus nictitans nictitans,-8.490044,-7.6463947,-8.970533
Cercopithecus petaurista,-8.89015,-6.971223,-10.162096
Cercopithecus petaurista petaurista,-8.680227,-6.9605904,-10.146482
Cercopithecus pogonias,-6.387778,-7.8118086,-9.787191
Cercopithecus pogonias nigripes,-6.2579446,-7.7703795,-9.505267
Cercopithecus pogonias pogonias,-6.383227,-7.888447,-9.466729
Cercopithecus pogonias schwarzianus,-6.27825,-7.9919605,-9.709454
Cercopithecus preussi insularis,-8.586922,-6.7604947,-9.806158
Cercopithecus roloway,-6.9377713,-7.212197,-9.306067
Cercopithecus wolfi,-6.6500087,-7.815192,-9.767023
Cheirogaleus crossleyi,4.7652955,7.156413,1.1720983
Cheirogaleus major,4.9342046,7.6325755,1.0544852
Cheirogaleus medius,4.64584,7.5073094,1.4387875
Cheirogaleus sibreei,4.5000367,7.749467,1.3787218
Cheracebus lucifer,1.5108494,2.429765,5.101167
Cheracebus lugens,1.3592478,2.6766517,4.9999304
Chiropotes albinasus,1.7995808,2.6298687,5.2994328
Chiropotes israelita,1.8705049,2.710593,4.9986367
Chlorocebus aethiops,-7.305065,-6.571997,-9.039239
Chlorocebus aethiops x Chlorocebus pygerythrus,-7.5159683,-6.449764,-9.456475
Chlorocebus cynosuros,-7.386103,-6.893244,-9.11929
Chlorocebus djamdjamensis,-7.664163,-6.5004854,-9.230852
Chlorocebus pygerythrus,-7.2931004,-6.647428,-9.368341
Chlorocebus sabaeus,-7.7635922,-6.7848063,-9.257954
Chlorocebus tantalus,-7.550383,-6.7929015,-9.50662
Colobus angolensis,-3.967846,-0.39528632,-2.6130555
Colobus angolensis palliatus,-3.76157,-0.26063275,-2.7164555
Colobus guereza,-3.7527928,-0.17866027,-2.4658263
Colobus polykomos,-4.002083,-0.24449337,-2.6637208
Colobus satanas,-3.6404288,-0.4090346,-2.5314581
Daubentonia madagascariensis,4.6743703,6.5082226,2.0928662
Erythrocebus patas,-7.7626576,-7.3390884,-8.837403
Eulemur fulvus,4.3684916,8.280142,2.664809
Eulemur fulvus fulvus,4.576367,8.110025,2.539873
Eulemur fulvus mayottensis,4.576367,8.110025,2.539873
Eulemur macaco,4.3951936,8.477342,2.3789234
Eulemur macaco macaco,4.466653,8.304057,2.2056916
Eulemur mongoz,4.203523,8.179808,2.4524577
Eulemur rubriventer,4.3590784,8.149351,2.1918795
Eulemur rufus,4.311312,7.8869166,2.5263343
Galago moholi,3.5537605,6.48076,2.0860498
Galago senegalensis,3.6687312,6.3293347,2.0155334
Galagoides demidoff,3.5503898,6.021898,2.1104705
Gorilla beringei,-2.1056404,-2.873758,-5.592003
Gorilla beringei graueri,-2.0609527,-2.845751,-5.571208
Gorilla gorilla,-1.8920889,-2.7704685,-5.692274
Gorilla gorilla gorilla,-2.0026088,-2.9422448,-5.845457
Hapalemur griseus,4.6508684,7.459326,2.2291596
Homo denisova,-1.3065225,-2.4798777,-5.0308485
Homo neanderthalensis,-1.5111415,-2.423885,-5.2518816
Homo sapiens,-1.3133291,-2.5551033,-5.3355904
Hoolock hoolock,-1.5010794,-2.081589,-6.1066966
Hoolock leuconedys,-1.7819456,-2.2342603,-6.367799
Hoolock leuconedys x Hoolock tianxing,-1.8272651,-2.3648214,-6.1858177
Hoolock tianxing,-1.8272654,-2.3648214,-6.1858177
Hylobates agilis,-1.079409,-2.456661,-6.1741714
Hylobates klossii,-1.3423475,-2.510167,-6.546673
Hylobates lar,-1.1025611,-2.6448634,-6.464357
Hylobates moloch,-0.9746592,-2.31659,-6.3471603
Hylobates muelleri,-1.2194096,-2.3769171,-6.629808
Hylobates pileatus,-1.1278644,-2.6690404,-6.327818
Indri indri,5.1925397,6.725816,2.3058717
Lagothrix lagotricha,2.0683482,3.515673,5.169815
Lemur catta,4.770678,7.525464,2.2477994
Leontopithecus chrysopygus,2.7059312,3.03806,5.295581
Leontopithecus rosalia,2.7762098,3.156356,5.288846
Lepilemur aeeclis,6.311134,9.727452,3.246233
Lepilemur ahmansoni,6.724944,9.153258,3.6574414
Lepilemur ankaranensis,6.6425157,9.427116,3.875991
Lepilemur betsileo,5.917444,8.627843,2.9213667
Lepilemur dorsalis,6.8224196,9.3592825,3.4692476
Lepilemur edwardsi,5.93342,9.455803,3.5815396
Lepilemur fleuretae,5.7249675,8.871972,2.923871
Lepilemur grewcocki,6.1070366,9.666655,3.4781954
Lepilemur hollandorum,5.8057065,9.20499,2.9742389
Lepilemur hubbardorum,6.475282,9.627705,3.1278875
Lepilemur jamesi,5.888801,8.644934,3.088231
Lepilemur leucopus,6.4420695,9.220083,3.1763484
Lepilemur microdon,6.2369514,9.443626,3.6996274
Lepilemur milanoii,6.814347,9.553762,3.6928523
Lepilemur mittermeieri,6.8224196,9.3592825,3.4692476
Lepilemur mustelinus,6.0793176,8.792765,2.8234215
Lepilemur otto,6.14232,9.677504,3.7613664
Lepilemur petteri,6.423133,9.147909,3.4149213
Lepilemur randrianasoloi,6.139718,9.639391,3.182906
Lepilemur ruficaudatus,6.275122,9.668455,3.1741016
Lepilemur sahamalazensis,6.91764,9.324358,3.7173913
Lepilemur scottorum,5.969401,9.030526,2.9668782
Lepilemur seali,5.7398973,8.999917,3.1363883
Lepilemur septentrionalis,6.596861,9.732797,3.6677542
Lepilemur tymerlachsoni,6.6684217,9.194778,3.841614
Lepilemur wrighti,5.7254605,8.8677635,2.6678772
