,x,y,z,class,class_name,color,genus,taxon,seqid
0,3.836045,-1.8583266,14.999563,9,Others,#BAB0AC,Allenopithecus,Allenopithecus nigroviridis,
1,17.56188,11.567169,5.5913897,9,Others,#BAB0AC,Allocebus,Allocebus trichotis,
2,3.8179164,-1.864687,16.489481,9,Others,#BAB0AC,Allochrocebus,Allochrocebus lhoesti,
3,14.85213,5.386099,8.236237,9,Others,#BAB0AC,Alouatta,Alouatta caraya,
4,14.920121,5.0763326,8.150047,9,Others,#BAB0AC,Alouatta,Alouatta guariba clamitans,
5,15.002207,5.266011,8.075824,9,Others,#BAB0AC,Alouatta,Alouatta seniculus,
6,14.734134,4.6478553,8.407217,9,Others,#BAB0AC,Aotus,Aotus azarae,
7,14.535762,4.6531644,8.529981,9,Others,#BAB0AC,Aotus,Aotus azarae azarai,
8,14.635242,4.9100466,8.573583,9,Others,#BAB0AC,Aotus,Aotus griseimembra,
9,14.389669,4.748326,8.369537,9,Others,#BAB0AC,Aotus,Aotus lemurinus,
10,14.494063,4.7775397,8.344634,9,Others,#BAB0AC,Aotus,Aotus nancymaae,
11,14.588323,4.77558,8.627443,9,Others,#BAB0AC,Aotus,Aotus nigriceps,
12,14.68169,4.746758,8.484503,9,Others,#BAB0AC,Aotus,Aotus trivirgatus,
13,14.571347,4.6940117,8.457056,9,Others,#BAB0AC,Aotus,Aotus vociferans,
14,14.421108,5.1686654,8.187934,9,Others,#BAB0AC,Ateles,Ateles belzebuth,
15,14.596256,5.389824,8.190899,9,Others,#BAB0AC,Ateles,Ateles fusciceps,
16,14.778688,5.255139,8.284067,9,Others,#BAB0AC,Ateles,Ateles geoffroyi,
17,14.640252,5.2116127,7.995155,9,Others,#BAB0AC,Ateles,Ateles hybridus,
18,14.512098,5.3231196,8.228865,9,Others,#BAB0AC,Ateles,Ateles paniscus,
19,18.033937,10.748666,6.3251038,9,Others,#BAB0AC,Avahi,Avahi laniger,
20,14.5314245,5.5416174,8.2375765,9,Others,#BAB0AC,Brachyteles,Brachyteles arachnoides,
21,14.570527,5.3286986,7.738658,9,Others,#BAB0AC,Cacajao,Cacajao calvus,
22,14.740991,4.468489,7.8355517,9,Others,#BAB0AC,Callicebus,Callicebus nigrifrons,
