name,x,y,z
internal0,-662.8533440439506,-91.7879120292481,0.0
Strepsirrhini,-776.4009868025424,-408.563946293137,14.4549
Haplorrhini,-549.305701285359,224.98812223464083,5.15492
Lorisiformes,-724.9092608566305,-130.34147856337825,34.7156
internal4,-873.3117698518911,-813.4968277284514,21.2773
Simiiformes,-82.04208785359916,808.9577114289974,30.85492
Tarsiidae,-971.1502576136821,-232.2710532541601,52.047219999999996
Lorisidae,-538.4623831507419,-254.40934325474814,37.764900000000004
Galagidae,-890.7594481841543,105.01537321989517,53.0064
Lemuriformes,-1221.9810477443964,-829.4436234366044,37.7549
Platyrrhini,-660.6831067612977,1376.660382528994,53.054919999999996
Catarrhini,683.5043764268033,474.8428760067434,44.93492
Tarsius,-1019.6432793360038,-347.28681129212583,66.68412
internal14,-1091.3950584226893,-300.15896541171475,58.79732
Perodicticus,-346.5147501626311,-412.30561410856967,73.7549
internal16,-655.8312650564972,-146.14021827747456,49.969500000000004
internal18,-590.6395571948492,5.419859570935676,57.18326
internal19,-1222.1770539644126,-770.1377049325648,37.8149
internal20,-1361.2527526813822,-895.1282602239052,38.96386
Pitheciidae,-653.0618371680523,1519.7019620102656,56.75492
internal22,-899.7607839176225,1460.699871487721,54.15492
Hominoidea,813.4593549465433,1177.5486156320599,54.297779999999996
Cercopithecidae,859.7679836192245,-361.5087977874748,55.999919999999996
internal26,-959.564601270086,-445.7772516549177,68.39397
Nycticebus,-844.9400234040975,125.54825558298607,63.6049
Loris,-513.6700594711989,-374.52104214702575,73.7549
Galago,-651.4648330918343,-91.53360611004769,71.51786
Otolemur,-409.76632490214195,62.53511979233524,68.57946
internal37,-1054.5501740536984,-670.7443124518934,50.5591
internal38,-1389.8823363631334,-845.8087300116204,39.54471
Lemuridae,-1570.1233874792877,-909.0128723401465,47.768809999999995
Pitheciinae,-672.9595531805076,1253.82213812761,63.13992
Callicebinae,-630.1156133182989,1842.7984176854293,65.74992
internal43,-841.4771529497078,1519.6298846333789,55.87144
Atelidae,-1053.6754857480669,1435.3856539255546,59.493669999999995
Hylobatidae,1050.4998357066697,1609.3415783657094,65.22178
Hominidae,628.4008655943128,1026.837948748537,58.554919999999996
Cercopithecinae,1307.995651114141,98.0062812948386,61.42775999999999
Colobinae,482.04575900127634,-1155.5645463874755,60.96836999999999
internal52,-1001.9400940377074,179.3828971022108,70.6381
Indriidae,-927.4857369050421,-984.4339001168828,51.31075
Cheirogaleidae,-1852.3366818562797,-74.25138858280935,41.0159
Lepilemur,-994.5101038294757,-1647.6344814720537,58.46691
Varecia,-1754.2572759915026,-842.058738652608,71.30511
internal64,-1469.537752886235,-981.5208508741815,54.024899999999995
internal66,-963.4815099192205,1205.7507479966384,67.2414
Cheracebus,-560.0144910417321,1826.031297174567,70.42512
internal68,-691.0382460549644,1988.8041204663575,65.74992
internal69,-793.3913993930041,1358.0570032421567,57.35492
internal70,-866.2494541192456,1704.7747712828636,58.35492
Atelinae,-999.1243656435531,1180.748953585463,62.50491999999999
