name,x,y,z
Perodicticus potto edwarsi,-382.132424841972,-687.1158373101888,73.7549
Perodicticus potto,-214.92325898923477,-216.44352633386123,73.7549
Nycticebus pygmaeus,-743.244314285885,194.0991906141855,73.7549
Nycticebus bengalensis,-1098.8204885617006,198.9590291077097,73.75489999999999
Nycticebus coucang,-1110.8169181876451,208.67739463097823,73.75489999999999
Nycticebus javanicus,-1108.29755124374,239.4981593204955,73.75489999999999
Nycticebus menagensis,-975.8220960830132,164.02492936911423,73.75489999999999
Loris lydekkerianus,-450.4976656032492,-449.37519085355257,73.7549
Loris tardigradus,-505.7618505464995,-413.8573053752745,73.7549
Galagoides demidoff,-1348.8344055845475,347.18819117273125,73.75489999999999
Galago moholi,-655.2419614258246,-130.500765922302,73.75486
Galago senegalensis,-678.1003427063367,-101.043179138285,73.75486
Otolemur garnettii,-350.0243923266295,99.89840625605548,73.75491
Otolemur crassicaudatus,-379.0716413313008,53.72946343931475,73.75491
Daubentonia madagascariensis,-485.9305640109338,-996.0297738109174,73.7549
Avahi laniger,-428.2894559257972,-2055.9217728371204,73.75487
Propithecus verreauxi,-1432.0047808930492,-676.3651654573595,73.75488999999999
Propithecus coquereli,-1387.195903157691,-306.6232298382672,73.75488999999999
Propithecus tattersalli,-1393.8222311052118,-378.9565812843945,73.75488999999999
Propithecus edwardsi,-1278.4099212310125,-592.8458106512423,73.75488999999999
Propithecus diadema,-1275.0661446933684,-660.339147971319,73.75488999999999
Indri indri,-905.295788029247,-813.7092039425432,73.75485
Palaeopropithecus ingens,-1129.5672805341612,-228.935631630321,73.75489999999999
Phaner electromontis,-2003.2047975631056,542.4919712672184,73.75489999999999
Phaner pallescens,-1935.9879470704652,507.323543183266,73.75489999999999
Phaner parienti,-2039.9543672997213,591.8439639892488,73.75489999999999
Cheirogaleus crossleyi,-1677.2072683085994,-200.28450371644348,73.75486000000001
Cheirogaleus major,-1617.3874018232625,-102.65879232006225,73.75486000000001
Cheirogaleus medius,-1737.822941094246,-588.9869510163328,73.75486000000001
Cheirogaleus sibreei,-1939.8075684137184,-983.5000272239456,73.7549
Mirza coquereli,-2042.1147899941052,210.1700889447016,73.75486000000001
Mirza zaza,-1967.28015641393,152.64472561576375,73.75486000000001
Microcebus berthae,-2155.333549135638,-338.73892780854703,73.75489999999998
Microcebus myoxinus,-2068.253399944027,-371.3804939144517,73.75489999999998
Microcebus lehilahytsara,-2160.083830778527,-406.3585514720253,73.75489999999999
Microcebus mittermeieri,-2114.391057230552,-542.574192505636,73.75489999999998
Microcebus arnholdi,-2070.7473177546385,-641.6372784498554,73.75489999999999
Microcebus sambiranensis,-2125.633479723036,-656.0742889533628,73.75489999999999
Microcebus margotmarshae,-2216.788125906428,-291.371231095619,73.75489999999998
Microcebus mamiratra,-2207.650970203988,-222.1241949360528,73.75489999999998
Microcebus rufus,-2109.199649379936,-421.5779457398485,73.75489999999999
Microcebus tanosi,-2088.852954858632,-496.4650789224666,73.75489999999999
Microcebus jollyae,-1987.1403697651936,-133.4184753523755,73.7549
Microcebus simmonsi,-2046.9529809348032,-248.90937867055777,73.7549
Microcebus tavaratra,-1998.8515905315207,-527.8591104875375,73.75489999999999
Microcebus bongolavensis,-2130.3353745335367,-67.570613989478,73.7549
Microcebus ravelobensis,-2132.239439715357,-108.027812442462,73.7549
Microcebus danfossi,-2215.1892618921565,-48.236857057118,73.7549
Microcebus griseorufus,-2152.9971020703224,86.17805266423126,73.7549
Microcebus murinus,-2180.2482996422123,141.98037991896774,73.7549
Lepilemur otto,-1238.2736349579725,-1867.2669013368568,73.75490999999998
Lepilemur edwardsi,-1369.477876352071,-1778.9267019058482,73.75490999999998
Lepilemur microdon,-1080.9777938331483,-1938.2541949228248,73.75491
Lepilemur tymerlachsoni,-1111.0170992330004,-1679.4810885447432,73.75491
Lepilemur milanoii,-1274.5994050704874,-1644.2594877573945,73.75491
Lepilemur ankaranensis,-1165.447104725077,-1744.3838235875178,73.75491
Lepilemur sahamalazensis,-1218.94278807639,-1737.7848234077646,73.75491
Lepilemur mittermeieri,-1180.924914940328,-1653.440858464044,73.75491
Lepilemur dorsalis,-1180.9249149403267,-1653.4408584640398,73.75491
Lepilemur septentrionalis,-1384.8155383601386,-1539.1360761832566,73.75491
Lepilemur hubbardorum,-962.660375553375,-1915.849240158408,73.75491
Lepilemur ruficaudatus,-914.611293915552,-1986.5123060476585,73.75491
Lepilemur randrianasoloi,-1482.9262503982543,-1630.7821936492196,73.75491
Lepilemur aeeclis,-1427.4981839535562,-1699.9961825698128,73.75491
Lepilemur petteri,-820.6026059524582,-2048.4118941956767,73.75491
