0,x,y
Pongo abelii,575.2869483140499,617.6762195246338
Pongo pygmaeus,709.7459923950262,895.4516602705608
Plecturocebus donacophilus,-671.2354026620446,1991.255149075097
Saguinus oedipus,-232.10896648659175,848.856444687415
Gorilla beringei graueri,434.85078388871096,1038.295113414642
Gorilla beringei,434.85078391107777,1038.2951135336614
Gorilla gorilla gorilla,397.7590287362912,896.083033650504
Gorilla gorilla,393.418974482534,877.6472385905487
Sapajus apella,-126.17051271910624,1893.8025540070005
Saimiri oerstedii citrinellus,-1718.4354638130671,1358.7521181244635
Saimiri sciureus,-1643.907482096047,1442.5317640091866
Saimiri boliviensis,-1625.239379059631,1465.2735336074882
Saimiri boliviensis boliviensis,-1631.8302805459552,1452.5323723548643
Cebus albifrons,-1.0148852639272499,2107.535378271058
Sapajus xanthosternos,-110.90186515651726,2070.7955869594325
Leontopithecus rosalia,108.587006028329,2166.170615637024
Leontopithecus chrysopygus,-1811.6594026872963,1029.3325152085386
Cacajao calvus,-550.1448907894495,1310.573239928935
Chiropotes israelita,-1415.101820843015,1107.622922968369
Chiropotes albinasus,-1629.0563939936803,1046.1621990293434
Callimico goeldii,-560.115723191484,957.8996021320663
Callithrix pygmaea,-1546.8387099175584,1048.3040026579076
Callithrix penicillata,-251.09971931083228,1647.0233595893503
Callithrix jacchus,-284.61213197424075,1635.8405564933032
Callithrix kuhlii,-340.04655299897877,1582.073390835174
Callithrix geoffroyi,-335.0412418406348,1665.6713756861975
Cheracebus lugens,-570.3014024350205,1764.7879960481707
Plecturocebus cupreus,-848.1782670922585,1911.2862784576507
Aotus trivirgatus,-1176.041011609061,1488.578994408658
Aotus azarae,-1153.425923869522,1349.0787648491464
Aotus azarae azarai,-1153.4259238639988,1349.0787648495757
Aotus nigriceps,-1020.2184094773442,1374.2862956878166
Aotus nancymaae,-909.4474301578705,1457.2578465969639
Aotus vociferans,-937.8776275464737,1525.433307393113
Aotus lemurinus,-1078.3546275513886,1529.1049585132891
Aotus griseimembra,-1114.5837898489297,1540.5124143634794
Alouatta guariba clamitans,-1142.397801568568,1744.0090306169943
Alouatta seniculus,-1237.258202744728,1710.1919515971967
Lagothrix lagotricha,-490.38205271639,1451.2133653534004
Ateles belzebuth,-953.177977814501,1054.259420565078
Pan troglodytes troglodytes,680.1741120143084,1445.4935419323099
