taxId	scientific name	common name
274469	Carangoides equula	whitefin trevally
9438	Tadarida brasiliensis	Brazilian free-tailed bat
1182012	Bryx randalli	ocellated pipefish
334985	Hoplostethus gigas	giant sawbelly
2861860	Gallirallus philippensis	buff-banded rail
64680	Tamias sibiricus	Siberian chipmunk
997987	Stethojulis strigiventer	three-ribbon wrasse
1311474	Omosudis lowii	hammerjaw
257448	Cryptotis mexicana	Mexican small-eared shrew
140446	Lophura swinhoii	Swinhoe's pheasant
2578334	Pseudocaranx georgianus	silver trevally
862797	Polyspina piosae	orangebarred puffer
6535	Cornu aspersum	brown garden snail
161587	Syngnathus leptorhynchus	bay pipefish
151740	Tribolodon hakonensis	big-scaled redfin
1213707	Rhinobatos rhinobatos	violinfish
1213707	Rhinobatos rhinobatos	common guitarfish
121168	Rugosa tientaiensis	Tientai rough-skinned frog
121168	Rugosa tientaiensis	Tiantai frog
121168	Rugosa tientaiensis	Tientai frog
131234	Pleurobema decisum	southern clubshell
1772269	Parupeneus chrysopleuron	yellow striped goatfish
1772269	Parupeneus chrysopleuron	yellow-striped goatfish
1772269	Parupeneus chrysopleuron	yellowbanded goatfish
1772269	Parupeneus chrysopleuron	rosy goatfish
1220762	Arothron diadematus	masked puffer
463545	Plestiodon skiltonianus	western skink
568929	Laephotis botswanae	Botswanan long-eared bat
722564	Gymnothorax vicinus	purplemouth moray
50794	Cymatogaster aggregata	shiner perch
700623	Argentina striata	striated argentine
38941	Diplodus sargus	white seabream
1091510	Eonycteris robusta	Phillipine dawn bat
72100	Sebastes rufus	bank rockfish
593564	Galeichthys ater	black seacatfish
1647202	Oxycercichthys veliferus	sailfin dottyback
385657	Notophthalmus meridionalis	black-spotted newt
385657	Notophthalmus meridionalis	Texas triton
564715	Chrosomus cumberlandensis	blackside dace
367269	Amphiprion bicinctus	twoband anemonefish
228252	Siniperca scherzeri	Korean perch
228252	Siniperca scherzeri	leopard mandarin fish
345164	Falco cherrug	Saker falcon
311900	Pyrrhura rupicola	black-capped parakeet
143513	Leiolepis reevesii	Reeves' butterfly lizard
1146966	Entomacrodus epalzeocheilos	fringelip rockskipper
235389	Pseudomugil gertrudae	spotted blue-eye
694061	Monodelphis americana	Northern three-striped opossum
435274	Gerres cinereus	yellow fin mojarra
454056	Hirundichthys rondeletii	black wing flyingfish
74358	Podarcis lilfordi	Lilford's wall lizard
1147745	Callionymus enneactis	mangrove dragonet
1211648	Procypris mera	Chinese-ink carp
1793886	Amolops nyingchiensis	Nyingchi cascade frog
369490	Petroica longipes	North Island robin
980387	Eumesogrammus praecisus	fourline snakeblenny
1125681	Soletellina diphos	diphos sanguin
59474	Pipistrellus pipistrellus	common pipistrelle
463600	Pempheris schwenkii	black-stripe sweeper
466962	Bathylaco nigricans	black warrior
50862	Urocitellus columbianus	Columbian ground squirrel
109480	Myotis emarginatus	Geoffroy's bat
8039	Salvelinus malma	Dolly Varden
498267	Chrysiptera brownriggii	surge damselfish
61378	Felis margarita	sand cat
351694	Stegastes nigricans	dusky farmerfish
327700	Schizothorax biddulphi	Tarim schizothoracin
304285	Cottus pitensis	pit sculpin
79633	Oceanodroma tethys	Wedge-rumped storm-petrel
349669	Gymnothorax polygonius	polygon moray
358128	Manis tricuspis	Tree pangolin
52814	Neomys anomalus	southern water shrew
52814	Neomys anomalus	Mediterranean water shrew
265628	Machaeropterus deliciosus	club-winged manakin
9886	Muntiacus reevesi	Reeves's muntjac
9886	Muntiacus reevesi	Reeves' muntjac
9886	Muntiacus reevesi	Chinese muntjac
1240756	Chiasmocleis schubarti	Schubart's humming frog
245769	Corydoras aeneus	bronze corydoras
419333	Cathorops spixii	Madamango sea catfish
197464	Agalychnis callidryas	red-eyed treefrog
197464	Agalychnis callidryas	red-eyed leaf frog
197464	Agalychnis callidryas	akame-ama-gaeru
197464	Agalychnis callidryas	gaudy leaf frog
209217	Betta macrostoma	spotfin betta
113544	Arapaima gigas	pirarucu
113544	Arapaima gigas	arapaima
