,x0,xup,y0,yup,z0,zup
branch_1,0.011997450710059965,0.0,0.04599294137191863,0.0,0.16540476865853088,0.0
branch_2,-0.03347239144451132,0.0,0.15711719952571637,0.0,0.080953480310095,0.0
branch_Struthionidae,0.13371048209061961,0.011997450710059965,0.33771890719599545,0.04599294137191863,0.9317001016021234,0.16540476865853088
branch_3,0.0009439088376440235,0.011997450710059965,0.04070959519820738,0.04599294137191863,0.20639726922982674,0.16540476865853088
branch_4,-0.12273719828375836,-0.03347239144451132,0.20941089619910624,0.15711719952571637,0.1915724431300161,0.080953480310095
branch_5,0.030986076788713054,-0.03347239144451132,0.3429520058753652,0.15711719952571637,0.06526168154232846,0.080953480310095
branch_6,0.022064481217191994,0.0009439088376440235,0.05248014744380831,0.04070959519820738,0.23109376879103383,0.20639726922982674
branch_7,-0.02140293098337958,0.0009439088376440235,0.04209291427246247,0.04070959519820738,0.25096005933155524,0.20639726922982674
branch_Anseriformes,-0.22111129641305866,-0.12273719828375836,0.2794088545675282,0.20941089619910624,0.17408806225392942,0.1915724431300161
branch_Galliformes,-0.08173192690945674,-0.12273719828375836,0.23721867883939532,0.20941089619910624,0.29846826078369554,0.1915724431300161
branch_8,0.14222361441296588,0.030986076788713054,0.3169337178929878,0.3429520058753652,0.09834940864678722,0.06526168154232846
branch_9,-0.06689305064613109,0.030986076788713054,0.43236075731397944,0.3429520058753652,0.04679227484639381,0.06526168154232846
branch_10,0.035152551696411585,0.022064481217191994,0.040674887392740035,0.05248014744380831,0.2407745476249124,0.23109376879103383
branch_Rheidae,0.038445835975452904,0.022064481217191994,0.24864030793974887,0.05248014744380831,0.8691040984728764,0.23109376879103383
branch_Dinornithiformes,-0.136071828212547,-0.02140293098337958,0.20402869262079057,0.04209291427246247,0.8771052159234507,0.25096005933155524
branch_Tinamidae,-0.007797824142960721,-0.02140293098337958,0.046381709583649566,0.04209291427246247,0.4422143795140801,0.25096005933155524
branch_11,-0.20945364013877366,-0.22111129641305866,0.32279168243571693,0.2794088545675282,0.2028156391599644,0.17408806225392942
branch_Anhimidae,-0.62853261912962,-0.22111129641305866,0.6618629976741819,0.2794088545675282,0.4085122973388752,0.17408806225392942
branch_12,-0.15640964288303585,-0.08173192690945674,0.23999608674820977,0.23721867883939532,0.32828480427304807,0.29846826078369554
branch_Megapodiidae,-0.041223642426653155,-0.08173192690945674,0.4569270052472016,0.23721867883939532,0.5334132423432686,0.29846826078369554
branch_13,0.2854422092876431,0.14222361441296588,0.1829466383880269,0.3169337178929878,0.13942368195768953,0.09834940864678722
branch_14,-0.006087229117729542,0.14222361441296588,0.35865024006359125,0.3169337178929878,0.04340252476236901,0.09834940864678722
branch_15,-0.17990448046689875,-0.06689305064613109,0.41284190842988044,0.43236075731397944,0.01576435139136749,0.04679227484639381
branch_16,0.05933795787341363,-0.06689305064613109,0.552933244642213,0.43236075731397944,0.09594731905158252,0.04679227484639381
branch_Casuariidae,0.07509379052049882,0.035152551696411585,0.05679723397887726,0.040674887392740035,0.5218055739904303,0.2407745476249124
branch_Apterygidae,0.130073195393092,0.035152551696411585,0.2021793461683351,0.040674887392740035,0.8781221486666451,0.2407745476249124
branch_Emeidae,-0.14964995862229555,-0.136071828212547,0.21456400239480836,0.20402869262079057,0.9188722495332404,0.8771052159234507
branch_Dinornithidae,-0.14216757728679252,-0.136071828212547,0.22345154082168192,0.20402869262079057,0.9642907726518143,0.8771052159234507
branch_Anatidae,-0.2510242601450525,-0.20945364013877366,0.5217630754290338,0.32279168243571693,0.36586515486819227,0.2028156391599644
branch_Anseranatidae,-0.5877862107313486,-0.20945364013877366,0.708876677133032,0.32279168243571693,0.38987101093593035,0.2028156391599644
branch_Cracidae,-0.13393437081216045,-0.15640964288303585,0.4371513221440638,0.23999608674820977,0.6516703439293935,0.32828480427304807
branch_17,-0.3090984283561898,-0.15640964288303585,0.30541101162248163,0.23999608674820977,0.3786145407072065,0.32828480427304807
branch_18,0.35170182687372586,0.2854422092876431,0.11489142231279618,0.1829466383880269,-0.0197875893565178,0.13942368195768953
branch_19,0.17618789945156732,0.2854422092876431,0.2081082507266795,0.1829466383880269,0.25104919664905584,0.13942368195768953
branch_20,0.0981259601070324,-0.006087229117729542,0.3499373956031159,0.35865024006359125,-0.04407942888783893,0.04340252476236901
branch_21,-0.11049120736537799,-0.006087229117729542,0.33061850970634266,0.35865024006359125,0.12711418885545234,0.04340252476236901
branch_Columbidae,-0.217844427331712,-0.17990448046689875,0.5921368247003869,0.41284190842988044,-0.0370619806825729,0.01576435139136749
branch_Pteroclidae,-0.3439569997400937,-0.17990448046689875,0.677505378186765,0.41284190842988044,0.09820529243985945,0.01576435139136749
branch_Phoenicopteridae,0.062075368401686044,0.05933795787341363,0.9358008266751867,0.552933244642213,0.22925944922696576,0.09594731905158252
branch_Podicipedidae,0.1338345801340378,0.05933795787341363,0.9062741275144653,0.552933244642213,0.09347538518639689,0.09594731905158252
branch_Numididae,-0.47330281449570966,-0.3090984283561898,0.4276438810781411,0.30541101162248163,0.48928599651207544,0.3786145407072065
branch_22,-0.28720904176287215,-0.3090984283561898,0.3137837113685298,0.30541101162248163,0.41962981278923206,0.3786145407072065
branch_23,0.37572048043260864,0.35170182687372586,-0.06352580932075763,0.11489142231279618,0.033330180963008806,-0.0197875893565178
branch_24,0.25447119998329903,0.35170182687372586,0.2622891338406004,0.11489142231279618,-0.06670909789842999,-0.0197875893565178
branch_Charadriiformes,0.187548073686071,0.17618789945156732,0.32451035039632853,0.2081082507266795,0.18611856464808182,0.25104919664905584
branch_Gruiformes,0.18025801626156424,0.17618789945156732,0.11799550380771219,0.2081082507266795,0.3316149383834645,0.25104919664905584
branch_25,0.05515692787776055,0.0981259601070324,0.35494965432361325,0.3499373956031159,-0.0723911297545075,-0.04407942888783893
branch_Caprimulgidae,0.14297405216329845,0.0981259601070324,0.3493563910566006,0.3499373956031159,-0.015928868942943576,-0.04407942888783893
branch_Cuculidae,-0.20631398709966403,-0.11049120736537799,0.407764368633109,0.33061850970634266,0.13336924837235276,0.12711418885545234
branch_26,-0.061166623262435015,-0.11049120736537799,0.3569140216322303,0.33061850970634266,0.1566434851345179,0.12711418885545234
branch_Odontophoridae,-0.26384722374684383,-0.28720904176287215,0.274699191439175,0.3137837113685298,0.48961333085933306,0.41962981278923206
branch_Phasianidae,-0.34155939482779973,-0.28720904176287215,0.38731520440212575,0.3137837113685298,0.39038378828457826,0.41962981278923206
branch_27,0.36915843313211116,0.37572048043260864,-0.056739950693477835,-0.06352580932075763,0.08532098560981516,0.033330180963008806
branch_28,0.37729632095656307,0.37572048043260864,-0.0700503332775128,-0.06352580932075763,-0.024490677837071203,0.033330180963008806
branch_29,0.3323397348525561,0.25447119998329903,0.24487675505639722,0.2622891338406004,0.06522950401016668,-0.06670909789842999
branch_30,0.19209252252401735,0.25447119998329903,0.28439729166908784,0.2622891338406004,-0.18512933162780051,-0.06670909789842999
branch_31,0.27013521890843106,0.187548073686071,0.282758054119524,0.32451035039632853,0.24372598186486588,0.18611856464808182
branch_32,0.12702067112049423,0.187548073686071,0.3937871580198154,0.32451035039632853,0.1489989771675492,0.18611856464808182
branch_33,0.13062704595132046,0.18025801626156424,0.13165929828476777,0.11799550380771219,0.402102599441964,0.3316149383834645
branch_34,0.3270359789261083,0.18025801626156424,0.15742249406185194,0.11799550380771219,0.40303308757106865,0.3316149383834645
branch_35,0.02450609571352055,0.05515692787776055,0.3722767910639018,0.35494965432361325,-0.09043210730582152,-0.0723911297545075
branch_Nyctibiidae,0.14796963958197745,0.05515692787776055,0.6069605088901758,0.35494965432361325,-0.10044510971838881,-0.0723911297545075
branch_Musophagidae,-0.08939451731121384,-0.061166623262435015,0.5929134193422541,0.3569140216322303,0.22944424939754304,0.1566434851345179
branch_Otididae,-0.12731807659283167,-0.061166623262435015,0.6599926472366476,0.3569140216322303,0.3254582689884339,0.1566434851345179
branch_Accipitriformes,0.40675439038847894,0.36915843313211116,-0.03952533599508728,-0.056739950693477835,0.013102461499219254,0.08532098560981516
branch_36,0.35207132018886783,0.36915843313211116,-0.07675405591634438,-0.056739950693477835,0.16103837574887386,0.08532098560981516
