,x,y,z,order,family,genus,species,order_eng,family_eng,genus_eng,species_eng
0,0.1058090255284568,-0.7493572722623743,0.6536575120520922,Passeriformes,Acanthisittidae,Traversia,Traversia lyalli,song birds,New Zealand wrens,Traversia,Stephens Island wren
1,-0.009444594837724111,-0.8399194443687966,0.5426289165142955,Passeriformes,Acanthisittidae,Xenicus,Xenicus gilviventris,song birds,New Zealand wrens,Xenicus,South Island wren
2,-0.029063109901636387,-0.8467516067690062,0.5311940008272745,Passeriformes,Acanthisittidae,Pachyplichas,Pachyplichas yaldwyni,song birds,New Zealand wrens,Pachyplichas,Pachyplichas yaldwyni
3,0.01682911660676155,-0.7995758279473925,0.6003293184864521,Passeriformes,Acanthisittidae,Acanthisitta,Acanthisitta chloris,song birds,New Zealand wrens,Acanthisitta,rifleman
4,0.10094496892471902,-0.9131795021137844,-0.39485861343769446,Passeriformes,Acanthizidae,Pyrrholaemus,Pyrrholaemus brunneus,song birds,Acanthizidae,Pyrrholaemus,Redthroat
5,0.113582198749728,-0.8694537157959007,-0.4807799233056652,Passeriformes,Acanthizidae,Smicrornis,Smicrornis brevirostris,song birds,Acanthizidae,Smicrornis,Weebill
6,0.16471265623660145,-0.8693274088055436,-0.46598241556184805,Passeriformes,Acanthizidae,Mohoua,Mohoua novaeseelandiae,song birds,Acanthizidae,Mohoua,Mohoua novaeseelandiae
7,0.028933341058662177,-0.897278464551927,-0.4405158717509031,Passeriformes,Acanthizidae,Acanthiza,Acanthiza nana,song birds,Acanthizidae,Acanthiza,yellow thornbill
8,0.00453239289572735,-0.8946216216045468,-0.44680155103827673,Passeriformes,Acanthizidae,Gerygone,Gerygone igata,song birds,Acanthizidae,Gerygone,Gerygone igata
9,0.07611444112267293,-0.9022580579003636,-0.42442549787256023,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,song birds,Acanthizidae,Acanthiza,striated thornbill
10,0.15895086294017902,-0.8826086083472025,-0.4424213851973227,Passeriformes,Acanthizidae,Gerygone,Gerygone magnirostris,song birds,Acanthizidae,Gerygone,Large-billed gerygone
11,0.12218891281213813,-0.9204749711363138,-0.37120844755380145,Passeriformes,Acanthizidae,Calamanthus,Calamanthus fuliginosus,song birds,Acanthizidae,Calamanthus,Striated Calamanthus
12,0.12639248643915524,-0.8531279434691693,-0.5061597236858413,Passeriformes,Acanthizidae,Origma,Origma robusta,song birds,Acanthizidae,Origma,Mountain mouse-warbler
13,0.06566263194717185,-0.879155482892043,-0.4719894809257497,Passeriformes,Acanthizidae,Aphelocephala,Aphelocephala nigricincta,song birds,Acanthizidae,Aphelocephala,Banded whiteface
14,0.04108496524392251,-0.8661531643736793,-0.49808707663849366,Passeriformes,Acanthizidae,Sericornis,Sericornis nouhuysi,song birds,Acanthizidae,Sericornis,Large scrubwren
15,0.10085208661260192,-0.8478727876197472,-0.5205195549426793,Passeriformes,Acanthizidae,Aethomyias,Aethomyias papuensis,song birds,Acanthizidae,Aethomyias,Papuan scrubwren
16,0.13080986931488364,-0.8930562166882814,-0.43051061120739464,Passeriformes,Acanthizidae,Aphelocephala,Aphelocephala leucopsis,song birds,Acanthizidae,Aphelocephala,southern whiteface
17,-0.005792343518506942,-0.8933764015687432,-0.4492717087849695,Passeriformes,Acanthizidae,Gerygone,Gerygone fusca,song birds,Acanthizidae,Gerygone,western gerygone
18,0.0010619606225513616,-0.9097535929057243,-0.41514730743759304,Passeriformes,Acanthizidae,Acanthiza,Acanthiza robustirostris,song birds,Acanthizidae,Acanthiza,slaty-backed thornbill
19,0.07536446170297133,-0.9274090767677114,-0.36637769675432913,Passeriformes,Acanthizidae,Acanthiza,Acanthiza uropygialis,song birds,Acanthizidae,Acanthiza,chestnut-rumped thornbill
20,0.061040062454222735,-0.9214452891323699,-0.3836830780074588,Passeriformes,Acanthizidae,Acanthiza,Acanthiza inornata,song birds,Acanthizidae,Acanthiza,western thornbill
21,0.016729209974682812,-0.9151840401680952,-0.4026888632593943,Passeriformes,Acanthizidae,Acanthiza,Acanthiza ewingii,song birds,Acanthizidae,Acanthiza,Tasmanian thornbill
22,0.03922023833114114,-0.9216388625197023,-0.38606164590199343,Passeriformes,Acanthizidae,Acanthiza,Acanthiza apicalis,song birds,Acanthizidae,Acanthiza,broad-tailed thornbill
23,0.036283739802882804,-0.9144780347708582,-0.40300549448547013,Passeriformes,Acanthizidae,Acanthiza,Acanthiza pusilla,song birds,Acanthizidae,Acanthiza,brown thornbill
24,0.1298825516167519,-0.9134058071789947,-0.38577243114969223,Passeriformes,Acanthizidae,Calamanthus,Calamanthus campestris,song birds,Acanthizidae,Calamanthus,Rufous Calamanthus
25,0.13474926014044578,-0.8585590378681114,-0.49469084267298125,Passeriformes,Acanthizidae,Pyrrholaemus,Pyrrholaemus sagittatus,song birds,Acanthizidae,Pyrrholaemus,Speckled warbler
26,0.10941988980780584,-0.8880725219614942,-0.44649131894059996,Passeriformes,Acanthizidae,Acanthornis,Acanthornis magna,song birds,Acanthizidae,Acanthornis,Scrubtit
27,0.08200930341907156,-0.8552770170176833,-0.511640218075152,Passeriformes,Acanthizidae,Aethomyias,Aethomyias perspicillatus,song birds,Acanthizidae,Aethomyias,Aethomyias perspicillatus
28,0.0575872793945026,-0.8621601823927332,-0.5033523016599654,Passeriformes,Acanthizidae,Sericornis,Sericornis magnirostra,song birds,Acanthizidae,Sericornis,Large-billed scrubwren
