x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
0.296418797,0.663756222,0.686704867,Apicomplexa,,Eukaryota,Aconoidasida,apicomplexans,,eukaryotes,Aconoidasida
-0.281239827,-0.586954765,-0.759202387,Chordata,Metazoa,Eukaryota,Actinopteri,chordates,multicellular animals,eukaryotes,Actinopteri
0.40534941,0.118023859,-0.906511017,Basidiomycota,Fungi,Eukaryota,Agaricomycetes,basidiomycetes,Fungi,eukaryotes,Agaricomycetes
0.504100178,-0.292932511,-0.812449109,Basidiomycota,Fungi,Eukaryota,Agaricostilbomycetes,basidiomycetes,Fungi,eukaryotes,Agaricostilbomycetes
-0.004126552,-0.67272046,-0.739885231,Chordata,Metazoa,Eukaryota,Amphibia,chordates,multicellular animals,eukaryotes,amphibians
-0.849104396,0.45370704,-0.27050258,Streptophyta,Viridiplantae,Eukaryota,Andreaeobryopsida,Streptophyta,green plants,eukaryotes,Andreaeobryopsida
-0.754166541,0.653842888,-0.061010705,Streptophyta,Viridiplantae,Eukaryota,Andreaeopsida,Streptophyta,green plants,eukaryotes,Andreaeopsida
-0.634519064,0.769957976,-0.067455703,Streptophyta,Viridiplantae,Eukaryota,Anthocerotopsida,Streptophyta,green plants,eukaryotes,Anthocerotopsida
0.592937499,-0.681120121,0.429535217,Cnidaria,Metazoa,Eukaryota,Anthozoa,coelenterates,multicellular animals,eukaryotes,anthozoans
0.585721878,-0.617778841,0.52467055,Cnidaria,Metazoa,Eukaryota,Anthozoa,coelenterates,multicellular animals,eukaryotes,anthozoans
0.047533288,-0.731171592,-0.68053559,Chordata,Metazoa,Eukaryota,Appendicularia,chordates,multicellular animals,eukaryotes,appendicularians
0.244063699,-0.873742414,-0.420722123,Arthropoda,Metazoa,Eukaryota,Arachnida,arthropods,multicellular animals,eukaryotes,arachnids
0.248108924,0.812317773,0.527808486,Ciliophora,,Eukaryota,Armophorea,ciliates,,eukaryotes,Armophorea
0.845911128,0.168596394,-0.505973931,Ascomycota,Fungi,Eukaryota,Arthoniomycetes,ascomycetes,Fungi,eukaryotes,Arthoniomycetes
-0.062620875,-0.839127992,-0.54031735,Chordata,Metazoa,Eukaryota,Ascidiacea,chordates,multicellular animals,eukaryotes,sea squirts
-0.105740734,-0.79240282,-0.600763405,Chordata,Metazoa,Eukaryota,Ascidiacea,chordates,multicellular animals,eukaryotes,sea squirts
-0.260712404,-0.874427072,-0.409153195,Echinodermata,Metazoa,Eukaryota,Asteroidea,echinoderms,multicellular animals,eukaryotes,starfishes
0.412342861,-0.254192458,-0.874848306,Basidiomycota,Fungi,Eukaryota,Atractiellomycetes,basidiomycetes,Fungi,eukaryotes,Atractiellomycetes
-0.4585645,0.63533487,0.621343867,,,Eukaryota,Aurearenophyceae,,,eukaryotes,Aurearenophyceae
-0.094059493,-0.69138776,-0.716334962,Chordata,Metazoa,Eukaryota,Aves,chordates,multicellular animals,eukaryotes,birds
-0.088474113,0.624565234,0.775944972,Bacillariophyta,,Eukaryota,Bacillariophyceae,diatoms,,eukaryotes,"Raphid, pennate diatoms"
-0.132374385,0.989505215,-0.057934893,Rhodophyta,,Eukaryota,Bangiophyceae,red algae,,eukaryotes,Bangiophyceae
0.136369563,0.988745318,0.061530799,Rhodophyta,,Eukaryota,Bangiophyceae,red algae,,eukaryotes,Bangiophyceae
0.089379324,0.995315914,0.036845184,Rhodophyta,,Eukaryota,Bangiophyceae,red algae,,eukaryotes,Bangiophyceae
-0.031991807,0.999173198,-0.025088725,Rhodophyta,,Eukaryota,Bangiophyceae,red algae,,eukaryotes,Bangiophyceae
0.577311,0.317237651,-0.752377752,Basidiomycota,Fungi,Eukaryota,Bartheletiomycetes,basidiomycetes,Fungi,eukaryotes,Bartheletiomycetes
0.961873574,-0.177116439,-0.208396246,Zoopagomycota,Fungi,Eukaryota,Basidiobolomycetes,Zoopagomycota,Fungi,eukaryotes,Basidiobolomycetes
-0.448220443,0.790010982,0.418307403,,,Eukaryota,Bigyra,,,eukaryotes,Bigyra
-0.690619675,0.400425149,0.602249254,,,Eukaryota,Bigyra,,,eukaryotes,Bigyra
-0.056842845,-0.991705307,0.115279987,Mollusca,Metazoa,Eukaryota,Bivalvia,molluscs,multicellular animals,eukaryotes,bivalves
-0.126365924,0.048235447,-0.990810272,Blastocladiomycota,Fungi,Eukaryota,Blastocladiomycetes,Blastocladiomycota,Fungi,eukaryotes,Blastocladiomycetes
-0.40226259,0.238489997,0.883915907,,,Eukaryota,Bolidophyceae,,,eukaryotes,Bolidophyceae
0.543147622,-0.780895164,-0.308534283,Arthropoda,Metazoa,Eukaryota,Branchiopoda,arthropods,multicellular animals,eukaryotes,Branchiopoda
-0.882843868,0.446051301,-0.147054213,Streptophyta,Viridiplantae,Eukaryota,Bryopsida,Streptophyta,green plants,eukaryotes,Bryopsida
0.796669391,-0.542260485,0.266967129,Porifera,Metazoa,Eukaryota,Calcarea,sponges,multicellular animals,eukaryotes,Calcarea
0.928157445,0.275935186,-0.249766952,Ascomycota,Fungi,Eukaryota,Candelariomycetes,ascomycetes,Fungi,eukaryotes,Candelariomycetes
0.107004131,-0.986604624,0.123131762,Mollusca,Metazoa,Eukaryota,Caudofoveata,molluscs,multicellular animals,eukaryotes,Caudofoveata
0.022540307,-0.866277488,0.499054354,Mollusca,Metazoa,Eukaryota,Caudofoveata,molluscs,multicellular animals,eukaryotes,Caudofoveata
0.449658392,-0.876691301,-0.170937687,Arthropoda,Metazoa,Eukaryota,Cephalocarida,arthropods,multicellular animals,eukaryotes,horseshoe shrimps
0.083338757,-0.995171107,-0.05185672,Mollusca,Metazoa,Eukaryota,Cephalopoda,molluscs,multicellular animals,eukaryotes,cephalopods
0.244902559,-0.789657219,0.562551521,Platyhelminthes,Metazoa,Eukaryota,Cestoda,flatworms,multicellular animals,eukaryotes,tapeworms
-0.564020646,0.816420172,0.123849964,Streptophyta,Viridiplantae,Eukaryota,Charophyceae,Streptophyta,green plants,eukaryotes,Charophyceae
0.76926139,-0.638605241,-0.02050023,Arthropoda,Metazoa,Eukaryota,Chilopoda,arthropods,multicellular animals,eukaryotes,centipede
0.031491703,0.928091679,0.371017666,Cercozoa,,Eukaryota,Chlorarachniophyceae,Cercozoa,,eukaryotes,chlorarachniophytes
-0.902266144,0.297228613,0.312363501,Streptophyta,Viridiplantae,Eukaryota,Chlorokybophyceae,Streptophyta,green plants,eukaryotes,Chlorokybophyceae
-0.425487193,0.904956579,-0.003773503,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyceae,green algae,green plants,eukaryotes,Chlorophyceae
-0.30351602,-0.386660026,-0.870845595,,,Eukaryota,Choanoflagellata,,,eukaryotes,Choanoflagellata
0.113997983,-0.63520759,-0.763882044,Chordata,Metazoa,Eukaryota,Chondrichthyes,chordates,multicellular animals,eukaryotes,fishes
0.253859254,-0.709977119,-0.656877439,Nematoda,Metazoa,Eukaryota,Chromadorea,roundworms,multicellular animals,eukaryotes,Chromadorea
-0.559534663,0.410126408,0.720220307,,,Eukaryota,Chrysomerophyceae,,,eukaryotes,Chrysomerophyceae
-0.568101363,0.093129321,0.817672166,,,Eukaryota,Chrysophyceae,,,eukaryotes,golden algae
-0.114530647,-0.083870425,-0.989872963,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes,Chytridiomycota,Fungi,eukaryotes,Chytridiomycetes
