class,x,y,z,phylum,kingdom,superkingdom,class
Aconoidasida,0.2964187972448038,0.6637562221397172,0.6867048668902488,Apicomplexa,,Eukaryota,Aconoidasida
Actinopteri,-0.2812398266236251,-0.586954764865355,-0.7592023866681197,Chordata,Metazoa,Eukaryota,Actinopteri
Agaricomycetes,0.4053494098039233,0.1180238586806027,-0.9065110174475278,Basidiomycota,Fungi,Eukaryota,Agaricomycetes
Agaricostilbomycetes,0.504100178073803,-0.2929325112934157,-0.812449108740537,Basidiomycota,Fungi,Eukaryota,Agaricostilbomycetes
Amphibia,-0.0041265524996339,-0.6727204598622577,-0.7398852305913264,Chordata,Metazoa,Eukaryota,Amphibia
Andreaeobryopsida,-0.8491043964604114,0.4537070402163766,-0.2705025795989674,Streptophyta,Viridiplantae,Eukaryota,Andreaeobryopsida
Andreaeopsida,-0.7541665413377754,0.6538428876687349,-0.0610107053854281,Streptophyta,Viridiplantae,Eukaryota,Andreaeopsida
Anthocerotopsida,-0.6345190644053682,0.7699579761770518,-0.0674557027053664,Streptophyta,Viridiplantae,Eukaryota,Anthocerotopsida
Anthozoa,0.5929374986533762,-0.6811201214484003,0.4295352172392783,Cnidaria,Metazoa,Eukaryota,Anthozoa
Anthozoa,0.5857218778149963,-0.6177788406406282,0.5246705498744864,Cnidaria,Metazoa,Eukaryota,Anthozoa
Appendicularia,0.0475332884809505,-0.7311715923590221,-0.6805355898212516,Chordata,Metazoa,Eukaryota,Appendicularia
Arachnida,0.2440636990880208,-0.8737424142122476,-0.4207221225393609,Arthropoda,Metazoa,Eukaryota,Arachnida
Armophorea,0.2481089241521476,0.8123177725388947,0.5278084862651532,Ciliophora,,Eukaryota,Armophorea
Arthoniomycetes,0.8459111284586818,0.168596393734665,-0.5059739309188027,Ascomycota,Fungi,Eukaryota,Arthoniomycetes
Ascidiacea,-0.0626208747258802,-0.8391279924078369,-0.5403173497178846,Chordata,Metazoa,Eukaryota,Ascidiacea
Ascidiacea,-0.1057407335583274,-0.7924028198918532,-0.6007634045895157,Chordata,Metazoa,Eukaryota,Ascidiacea
Asteroidea,-0.260712404444621,-0.8744270724045937,-0.409153195288312,Echinodermata,Metazoa,Eukaryota,Asteroidea
Atractiellomycetes,0.4123428612228915,-0.2541924578204442,-0.8748483063855819,Basidiomycota,Fungi,Eukaryota,Atractiellomycetes
Aurearenophyceae,-0.4585645003470084,0.6353348704298327,0.6213438673048975,,,Eukaryota,Aurearenophyceae
Aves,-0.0940594928605152,-0.6913877598657633,-0.7163349616699051,Chordata,Metazoa,Eukaryota,Aves
Bacillariophyceae,-0.088474112605544,0.6245652344781628,0.7759449718117252,Bacillariophyta,,Eukaryota,Bacillariophyceae
Bangiophyceae,-0.1323743848971973,0.9895052149511592,-0.057934892832809,Rhodophyta,,Eukaryota,Bangiophyceae
Bangiophyceae,0.1363695634357253,0.988745317535576,0.0615307989532284,Rhodophyta,,Eukaryota,Bangiophyceae
Bangiophyceae,0.0893793242361505,0.9953159140725432,0.0368451841225823,Rhodophyta,,Eukaryota,Bangiophyceae
Bangiophyceae,-0.0319918072745083,0.9991731982758582,-0.0250887248480971,Rhodophyta,,Eukaryota,Bangiophyceae
Bartheletiomycetes,0.5773110002819959,0.3172376505842689,-0.7523777521997674,Basidiomycota,Fungi,Eukaryota,Bartheletiomycetes
Basidiobolomycetes,0.9618735736221792,-0.1771164390043438,-0.208396246131543,Zoopagomycota,Fungi,Eukaryota,Basidiobolomycetes
Bigyra,-0.4482204431239609,0.790010981755189,0.4183074026023952,,,Eukaryota,Bigyra
Bigyra,-0.6906196753035064,0.4004251485969319,0.6022492544244487,,,Eukaryota,Bigyra
Bivalvia,-0.0568428448985543,-0.991705306798398,0.1152799872125876,Mollusca,Metazoa,Eukaryota,Bivalvia
Blastocladiomycetes,-0.1263659241356792,0.048235446618309,-0.990810271902178,Blastocladiomycota,Fungi,Eukaryota,Blastocladiomycetes
Bolidophyceae,-0.4022625901337641,0.2384899972169408,0.8839159065241098,,,Eukaryota,Bolidophyceae
Branchiopoda,0.5431476216809742,-0.7808951642464237,-0.3085342825665443,Arthropoda,Metazoa,Eukaryota,Branchiopoda
Bryopsida,-0.8828438679765238,0.4460513010464996,-0.1470542131697532,Streptophyta,Viridiplantae,Eukaryota,Bryopsida
Calcarea,0.7966693905662636,-0.5422604853985659,0.2669671292689229,Porifera,Metazoa,Eukaryota,Calcarea
Candelariomycetes,0.9281574452424314,0.2759351857079208,-0.2497669516356763,Ascomycota,Fungi,Eukaryota,Candelariomycetes
Caudofoveata,0.1070041311376701,-0.9866046244814822,0.1231317622355243,Mollusca,Metazoa,Eukaryota,Caudofoveata
Caudofoveata,0.0225403067596119,-0.8662774881701047,0.4990543538141678,Mollusca,Metazoa,Eukaryota,Caudofoveata
Cephalocarida,0.4496583918779029,-0.8766913012855186,-0.1709376870794804,Arthropoda,Metazoa,Eukaryota,Cephalocarida
Cephalopoda,0.0833387565961791,-0.9951711069912208,-0.0518567204793233,Mollusca,Metazoa,Eukaryota,Cephalopoda
Cestoda,0.2449025586197623,-0.7896572185711682,0.5625515211426774,Platyhelminthes,Metazoa,Eukaryota,Cestoda
Charophyceae,-0.56402064568225,0.8164201722059925,0.123849964308898,Streptophyta,Viridiplantae,Eukaryota,Charophyceae
Chilopoda,0.7692613900601564,-0.6386052413969338,-0.0205002298299315,Arthropoda,Metazoa,Eukaryota,Chilopoda
Chlorarachniophyceae,0.0314917030416121,0.9280916789018392,0.371017665607319,Cercozoa,,Eukaryota,Chlorarachniophyceae
Chlorokybophyceae,-0.90226614423563,0.2972286130110101,0.3123635007066617,Streptophyta,Viridiplantae,Eukaryota,Chlorokybophyceae
Chlorophyceae,-0.4254871930468346,0.90495657864428,-0.0037735025592174,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyceae
Choanoflagellata,-0.3035160198736479,-0.386660026314088,-0.8708455946554751,,,Eukaryota,Choanoflagellata
Chondrichthyes,0.113997983026175,-0.6352075899496961,-0.763882044255697,Chordata,Metazoa,Eukaryota,Chondrichthyes
Chromadorea,0.2538592537436975,-0.7099771186373619,-0.6568774393295012,Nematoda,Metazoa,Eukaryota,Chromadorea
