,x,y,z,order,class,phylum,kingdom,superkingom
Archaeognatha,-0.925737671822452,0.052258476434664,-0.3745381350536605,Archaeognatha,Insecta,Arthropoda,Animalia,Eukaryota
Blattodea,-0.5486957096217198,0.7359225192607752,-0.3966750104148121,Blattodea,Insecta,Arthropoda,Animalia,Eukaryota
Coleoptera,0.7563816740147578,0.0817469110601914,0.6490024697539678,Coleoptera,Insecta,Arthropoda,Animalia,Eukaryota
Dermaptera,-0.0622349560342696,0.96440132581717,0.2570153555908626,Dermaptera,Insecta,Arthropoda,Animalia,Eukaryota
Diptera,-0.3838826469577502,-0.8791218730062687,0.2824514927676279,Diptera,Insecta,Arthropoda,Animalia,Eukaryota
Embioptera,-0.6129637696947481,0.7128166898072372,0.3408339533759168,Embioptera,Insecta,Arthropoda,Animalia,Eukaryota
Ephemeroptera,-0.0122882115866496,-0.9677276064534036,-0.251698787370874,Ephemeroptera,Insecta,Arthropoda,Animalia,Eukaryota
Grylloblatta,-0.6339393034336754,0.4422687052670011,0.6344441282756715,Grylloblatta,Insecta,Arthropoda,Animalia,Eukaryota
Hemiptera,-0.0515872771325437,-0.9982785858523536,-0.0279037249605684,Hemiptera,Insecta,Arthropoda,Animalia,Eukaryota
Hymenoptera,0.8011016391772732,-0.5341174256343196,-0.2701013501285267,Hymenoptera,Insecta,Arthropoda,Animalia,Eukaryota
Isoptera,-0.41968675510974,0.8941987501540567,0.155793526208183,Isoptera,Insecta,Arthropoda,Animalia,Eukaryota
Lepidoptera,-0.7346591600599468,-0.1826495199523257,0.653387382340062,Lepidoptera,Insecta,Arthropoda,Animalia,Eukaryota
Mantodea,-0.3252192313729989,0.9299352429238832,-0.1716184591273736,Mantodea,Insecta,Arthropoda,Animalia,Eukaryota
Mantophasmatodea,-0.8118800242130627,0.434264661022043,0.3902115201672124,Mantophasmatodea,Insecta,Arthropoda,Animalia,Eukaryota
Mecoptera,0.3798066684720252,-0.8480361105461806,-0.3695695466267307,Mecoptera,Insecta,Arthropoda,Animalia,Eukaryota
Megaloptera,0.9328517404922306,-0.2739304231262461,0.2339866524964439,Megaloptera,Insecta,Arthropoda,Animalia,Eukaryota
Neuroptera,0.9805710435356196,0.0490482884285194,0.189933393540205,Neuroptera,Insecta,Arthropoda,Animalia,Eukaryota
Odonata,-0.220699946088717,-0.930150526291275,-0.2934476652428867,Odonata,Insecta,Arthropoda,Animalia,Eukaryota
Orthoptera,-0.891226767083459,0.3123151540066077,-0.3288983037532951,Orthoptera,Insecta,Arthropoda,Animalia,Eukaryota
Phasmatodea,-0.8104588280091142,0.585708870334841,0.0100800452964127,Phasmatodea,Insecta,Arthropoda,Animalia,Eukaryota
Plecoptera,-0.1469664263699445,0.8910763215907823,-0.4293994161853139,Plecoptera,Insecta,Arthropoda,Animalia,Eukaryota
Psocodea,0.4197655476281587,-0.9050343660350134,-0.0686271179639173,Psocodea,Insecta,Arthropoda,Animalia,Eukaryota
Raphidioptera,0.9920833641962766,0.0009579353255442,-0.1255773898634225,Raphidioptera,Insecta,Arthropoda,Animalia,Eukaryota
Siphonaptera,0.5232373643499242,-0.7642861605098455,-0.3769473774962005,Siphonaptera,Insecta,Arthropoda,Animalia,Eukaryota
Strepsiptera,0.6537465615670754,-0.742205898865032,0.1474646972301372,Strepsiptera,Insecta,Arthropoda,Animalia,Eukaryota
Thysanoptera,0.1987289398670265,-0.965195974006523,0.1700104120956335,Thysanoptera,Insecta,Arthropoda,Animalia,Eukaryota
Trichoptera,0.1930292251552148,0.9753309561562076,-0.1070945572818494,Trichoptera,Insecta,Arthropoda,Animalia,Eukaryota
Zoraptera,0.0907616418254055,0.9902141758575136,0.1060104254494913,Zoraptera,Insecta,Arthropoda,Animalia,Eukaryota
Zygentoma,0.3747758758913518,0.8485113154766906,-0.3735928135790172,Zygentoma,Insecta,Arthropoda,Animalia,Eukaryota
