,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,0.6197798743300413,0.6094620955268693,-0.49195163682430015,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,0.5238636997414275,0.6698264073784406,-0.5244458945092192,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,0.6395069379392497,0.7426112478548721,0.19581694594449275,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,0.21136465858710352,0.7924549564864732,-0.5720292012583297,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,0.5432033866233374,0.7907473062937407,0.28131136590028244,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,0.7290060455868579,0.6535488696913331,-0.19748976313640942,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,0.6870422258625326,0.717813481692588,-0.10382243802389214,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,0.6563230867839492,0.703347441862096,-0.26922651605679154,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,0.40512917579937174,0.845909808378413,-0.34595177156793006,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,0.43182097059181335,0.8977075452106724,-0.0859605112811544,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,0.2707398681034331,0.8591178207123796,-0.4342249135381635,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,0.09447152540527214,0.875940439639621,-0.4738996704568574,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,0.12445576411208022,0.9684155228219018,-0.21883426434957337,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,0.2168447788195886,0.9754501145827401,-0.049902158145059466,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
