,x,y,z,genus,family,superfamily,suborder,order,nb_species
Anax,-0.495948262345099,-0.868290512249665,0.0103396041554682,Anax,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,37
Triacanthagyna,0.0308615641523286,-0.485760962003997,-0.873546708339642,Triacanthagyna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,9
Gynacantha,-0.23182919819836,-0.764372448445544,-0.601656033726971,Gynacantha,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,101
Aeshna,-0.941192573044338,-0.284316679992608,0.182539217496296,Aeshna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,31
Sarasaeschna,0.842876117225523,0.25141063566539,0.47576521865848,Sarasaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,18
Boyeria,-0.386191471625584,-0.116322945858618,0.915054708479465,Boyeria,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,7
Indaeschna,-0.412177345333732,0.906414552647695,0.0923173588341697,Indaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5
Pinheyschna,-0.731636228420707,-0.0466257129619147,-0.680098869395558,Pinheyschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,6
Tetracanthagyna,0.499635539629069,-0.482672676145921,0.719299252913351,Tetracanthagyna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5
Rhionaeschna,-0.789893922094331,-0.481274142479813,-0.380056300590787,Rhionaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,42
Periaeschna,-0.581301983629543,0.560753733316637,0.589612800403632,Periaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,12
Remartinia,0.980637862827353,-0.138490337656408,-0.138455077065506,Remartinia,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,4
Brachytron,-0.0063567325082161,0.832740911516726,-0.553626377838079,Brachytron,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,3
Andaeschna,-0.843448305474524,0.49933260163148,0.198146180735567,Andaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5
Castoraeschna,0.654115159484698,-0.756052641521465,-0.0227543705850977,Castoraeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,9
Aeschnophlebia,-0.185900248095394,0.687533500627226,-0.701953547803089,Aeschnophlebia,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,32
Oplonaeschna,-0.797095712381232,0.471150943163023,-0.37769725185663,Oplonaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2
Nasiaeschna,0.351087153231562,0.736239840681407,-0.578522867161855,Nasiaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1
Notoaeschna,0.34167594365118,0.160805302470509,0.925958532671655,Notoaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2
Basiaeschna,-0.822967072354962,-0.131400720701747,0.552683497508805,Basiaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1
Anaciaeschna,-0.984047242071298,0.017270048779992,-0.177067136383373,Anaciaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,7
Coryphaeschna,0.210754608885912,-0.969194884818584,0.127451049720424,Coryphaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,8
Epiaeschna,0.137688167060799,0.16523381591548,-0.976596003846753,Epiaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1
Gomphaeschna,0.921336264676605,0.373434844283506,0.108101362002126,Gomphaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2
Caliaeschna,-0.0469063885900565,0.762888340435037,0.644826465599633,Caliaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1
Cephalaeschna,0.3741080743314,0.899914571515986,0.224046675255964,Cephalaeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,30
Austrogynacantha,-0.147997485607812,-0.747242958505639,0.647861640489314,Austrogynacantha,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1
Staurophlebia,0.38012844130074,-0.71435899612363,-0.587531780222576,Staurophlebia,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5
Neuraeschna,0.69486707243692,0.0099284924302675,-0.719069660520457,Neuraeschna,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,15
