,x,y,z,genus,family,superfamily,suborder,order,nb_species
Atrocalopteryx,-0.661579355299612,0.746311429770161,0.073020589122304,Atrocalopteryx,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,8
Hetaerina,-0.71847668844798,-0.655672439419984,0.232131213631152,Hetaerina,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,37
Phaon,0.0696731197432957,-0.790478564722358,-0.608514005672604,Phaon,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,3
Vestalis,0.739716657287703,0.247833563760032,0.625617927816258,Vestalis,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,16
Vestalaria,-0.748605045494034,0.0309378146069397,0.662293996264666,Vestalaria,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,5
Caliphaea,0.0192379147012853,-0.255635426490745,0.966581828590234,Caliphaea,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,6
Neurobasis,-0.462081155032264,-0.0192012349404321,-0.886629752907498,Neurobasis,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,13
Calopteryx,-0.915669765318831,-0.0777129278274429,-0.394347032104267,Calopteryx,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,16
Mnesarete,-0.578215605640098,-0.807634677326907,-0.11572787638818,Mnesarete,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,23
Sapho,0.0135298389755689,0.648360093047104,0.761213592365011,Sapho,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,7
Psolodesmus,0.403058579177773,0.276066442774204,-0.87254289345865,Psolodesmus,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,2
Matrona,-0.444680602242982,0.798158379726785,-0.406450935367028,Matrona,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,9
Archineura,0.692762574869935,0.695771160992615,-0.189690554299804,Archineura,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,3
Mnais,0.880227145884394,-0.469108453458427,0.0716758714077295,Mnais,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,9
Echo,0.786695057137427,-0.298978901914065,-0.540113417057751,Echo,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,5
Umma,0.26323610201359,-0.885985204876699,0.381755119594072,Umma,Calopterygidae,Calopterygoidea,Zygoptera,Odonata,10
