,x,y,z,genus,family,superfamily,suborder,order,nb_species
Cordulia,-0.505891759394516,0.806482698992407,0.306037880012662,Cordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Dorocordulia,-0.888028481580831,-0.285415443901549,0.360476684799066,Dorocordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Somatochlora,-0.888123359476992,0.113983734147341,-0.445246680730053,Somatochlora,Corduliidae,Libelluloidea,Anisoptera,Odonata,38
Hemicordulia,-0.407262910621888,0.149918391535939,0.900922525809553,Hemicordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,41
Procordulia,0.397027807196042,0.0364499555506583,0.917082505041644,Procordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,18
Williamsonia,0.716428170728278,0.697410211087374,-0.01869956304296,Williamsonia,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Epitheca,-0.659078071905353,-0.680102368113821,-0.321055858098706,Epitheca,Corduliidae,Libelluloidea,Anisoptera,Odonata,12
Helocordulia,-0.184567961389644,0.839144786093661,-0.511635315044119,Helocordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Rialla,0.112412985925992,-0.200837397335238,-0.973153461909688,Rialla,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Neurocordulia,-0.0055249866058533,-0.956100545020242,0.292986727233507,Neurocordulia,Corduliidae,Libelluloidea,Anisoptera,Odonata,7
Heteronaias,0.876132755481467,-0.463470349594794,-0.132614591274607,Heteronaias,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
