,x,y,z,genus,family,superfamily,suborder,order,nb_species
Platycnemis,0.646560922032672,-0.215992839215302,-0.731646135442519,Platycnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,12
Elattoneura,0.528922507307769,0.378515216655548,-0.759583578036984,Elattoneura,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,45
Onychargia,-0.387155375471612,-0.495573525351677,-0.77750729656637,Onychargia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,2
Lieftinckia,-0.797718088216216,-0.601774721613765,0.0388977654800691,Lieftinckia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,7
Calicnemia,0.12657164934851,-0.888511824755802,-0.441051419735061,Calicnemia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,23
Hylaeargia,-0.568960844917626,0.709470167598454,-0.415855309258453,Hylaeargia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,5
Cyanocnemis,-0.870703786672467,0.373814104065272,0.319590255602552,Cyanocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Nososticta,0.383816411166084,0.871332419750343,-0.305720095531189,Nososticta,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,89
Mesocnemis,-0.313187543464545,0.26011454458972,0.913375052380744,Mesocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,5
Coeliccia,0.614149305308524,-0.76539457927587,-0.192332443451885,Coeliccia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,80
Idiocnemis,-0.81865857628702,-0.310990900923039,0.482786490091414,Idiocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,23
Copera,0.936825879375641,-0.0922967988570533,-0.337399722366214,Copera,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,9
Prodasineura,0.11258503530056,-0.0347392509358931,-0.993034639008522,Prodasineura,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,39
Spesbona,0.86910555507144,0.236502330448403,0.434421663636195,Spesbona,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Esme,0.0876539201173376,0.603128837000967,-0.792812964239312,Esme,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,3
Allocnemis,-0.0574993366509069,0.818175465680519,0.572086299122058,Allocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,18
Paramecocnemis,-0.884086571745701,-0.202604251233487,-0.421120470935635,Paramecocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,5
Proplatycnemis,0.640008022372674,-0.565890376032308,0.519767076306909,Proplatycnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,12
Indocnemis,0.484631922559996,-0.756541928601134,-0.439062876937094,Indocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,3
Metacnemis,0.364434240240537,0.414818314530166,0.83373464032068,Metacnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Pseudocopera,0.480855791606973,0.841951914548802,0.244733898889462,Pseudocopera,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,4
Palaiargia,-0.572814203005835,0.809248426117501,-0.130387398398529,Palaiargia,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,26
Arrhenocnemis,-0.331625365489995,-0.927606327272796,0.17196254989707,Arrhenocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,3
Matticnemis,0.9733592528981,-0.17252483956485,0.151019682593941,Matticnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Lochmaeocnemis,-0.660812590384971,0.114018500465259,-0.741839943613418,Lochmaeocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Arabicnemis,0.340662099455162,-0.187365918536968,0.921326948789408,Arabicnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Torrenticnemis,-0.995556199083874,0.0920567057578155,-0.0198347520954897,Torrenticnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,1
Paracnemis,0.816076179251374,0.573137859583897,-0.0743818766237341,Paracnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,2
Igneocnemis,0.10682391815872,-0.889957273405321,0.443356179636853,Igneocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,20
Risiocnemis,-0.278404081307577,-0.473658705967589,0.835546885442339,Risiocnemis,Platycnemididae,Coenagrionoidea,Zygoptera,Odonata,18
