Unnamed: 0,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species,Filename,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (deg),Tip angle HW (deg)
Anax,-0.495948262345099,-0.868290512249665,0.0103396041554682,Anax,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,37,MLM-000101.tiff,480.77197435897426,601.6255384615383,51.196333333333335,48.91294871794871,51.64923076923076,50.62476923076923,11.437153846153846,14.744871794871793,12.286000000000003,16.11625641025641,0.5182416016794872,0.20048543623153847,0.0024404268464358982,-0.10655299188717947,0.5650465346538461,0.6123188312512822,110.4723399782051,105.39668276846155
Triacanthagyna,0.0308615641523286,-0.485760962003997,-0.873546708339642,Triacanthagyna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,9,MLM-000158.tif,300.86561538461535,395.1539230769231,39.76230769230768,39.14469230769232,40.214230769230774,40.65961538461538,9.507153846153845,11.943,9.868615384615385,13.066461538461539,0.5995451489,0.3678041287461538,0.053228692812307694,-0.05092853275692307,0.5498264035307693,0.6293895852846153,122.16818138461538,114.04157753846152
Gynacantha,-0.23182919819836,-0.764372448445544,-0.601656033726971,Gynacantha,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,101,MLM-000061.tif,483.3610344827586,618.755724137931,50.095000000000006,49.652689655172416,50.93731034482758,51.100793103448275,12.376000000000003,14.870034482758623,12.781034482758624,16.31303448275862,0.6142582653310344,0.39644647214137935,0.06951047652896551,-0.046434961356827585,0.5350307399068964,0.6225469344,124.36669272413793,116.69704913793103
Aeshna,-0.941192573044338,-0.284316679992608,0.182539217496296,Aeshna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,31,UA-001089.tif,371.495,481.6431526717558,43.92650381679389,42.56085496183206,44.383923664122136,43.70549618320611,10.617885496183206,13.651748091603054,11.331877862595421,15.003534351145039,0.583762789661832,0.2760759683152672,0.030552536427412215,-0.11000359345280915,0.5851658413137404,0.6271736712396948,116.67273849160306,108.02257826450382
Sarasaeschna,0.842876117225523,0.25141063566539,0.47576521865848,Sarasaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,18,,,,,,,,,,,,,,,,,,,
Boyeria,-0.386191471625584,-0.116322945858618,0.915054708479465,Boyeria,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,7,UA-000843.TIFF,333.8448181818182,437.96981818181814,42.016909090909095,41.071,42.35545454545455,42.473000000000006,10.389090909090909,12.780727272727274,10.741181818181818,14.046,0.6657433792090909,0.41914236940000005,0.08692960853363636,-0.025417557203636365,0.6023549129545455,0.644444072018182,131.08789198181816,119.84624259090907
Indaeschna,-0.412177345333732,0.906414552647695,0.0923173588341697,Indaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5,,,,,,,,,,,,,,,,,,,
Pinheyschna,-0.731636228420707,-0.0466257129619147,-0.680098869395558,Pinheyschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,6,,,,,,,,,,,,,,,,,,,
Tetracanthagyna,0.499635539629069,-0.482672676145921,0.719299252913351,Tetracanthagyna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5,,,,,,,,,,,,,,,,,,,
Rhionaeschna,-0.789893922094331,-0.481274142479813,-0.380056300590787,Rhionaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,42,RUN-000757.tif,404.42266666666666,507.74600000000004,47.85766666666667,44.598333333333336,48.45766666666666,46.89833333333333,10.632666666666667,13.561,11.296000000000001,15.219000000000001,0.5660275507,0.2678320797666667,0.02166639172533333,-0.09388545504,0.5940297283666667,0.6240260896,114.6554575,107.12791279999999
Periaeschna,-0.581301983629543,0.560753733316637,0.589612800403632,Periaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,12,,,,,,,,,,,,,,,,,,,
Remartinia,0.980637862827353,-0.138490337656408,-0.138455077065506,Remartinia,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,4,MLM-000151.tif,405.047,479.989,47.159,44.577,47.223,45.36,10.541,12.933,11.07,13.78,0.5611833259,0.2725151657,0.01468174852,-0.08318861442,0.5315487572,0.6021505376,114.5753136,113.3473381
Brachytron,-0.0063567325082161,0.832740911516726,-0.553626377838079,Brachytron,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,3,,,,,,,,,,,,,,,,,,,
Andaeschna,-0.843448305474524,0.49933260163148,0.198146180735567,Andaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5,,,,,,,,,,,,,,,,,,,
Castoraeschna,0.654115159484698,-0.756052641521465,-0.0227543705850977,Castoraeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,9,MLM-000068.tif,509.895,608.44,52.197,48.302,53.023,50.504,12.044,14.753,12.679,16.912,0.5700598802,0.3038558256,0.02255294759,-0.09815470558,0.510851419,0.5707133917,103.9701101,110.7100457
Aeschnophlebia,-0.185900248095394,0.687533500627226,-0.701953547803089,Aeschnophlebia,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,32,,,,,,,,,,,,,,,,,,,
Oplonaeschna,-0.797095712381232,0.471150943163023,-0.37769725185663,Oplonaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,MLM-000011.tif,386.471,491.904,45.699,43.413,46.503,44.958,10.668,13.399,11.451,15.007,0.5789713245,0.2071563089,0.04605682362,-0.1016048917,0.6136783734,0.5881523272,121.6914998,112.2292791
Nasiaeschna,0.351087153231562,0.736239840681407,-0.578522867161855,Nasiaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,UA-001300.tif,387.1193571428571,447.26121428571423,47.04007142857143,45.051857142857145,47.48142857142857,46.255357142857136,10.34442857142857,12.066642857142858,10.958428571428572,13.08864285714286,0.6101348543357143,0.35052564997142854,0.047272088722857146,-0.04488764556428571,0.5498938957214287,0.6151088339714287,121.73842112142857,115.75220090000002
Notoaeschna,0.34167594365118,0.160805302470509,0.925958532671655,Notoaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
