,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Enallagma,-0.71936008900626,-0.692103569722789,0.0592765646936402,Enallagma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,43
Ischnura,-0.683725492300982,-0.646342707812359,-0.338763273150391,Ischnura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,71
Anisagrion,-0.890321291975028,-0.214322960774204,0.401738304796663,Anisagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Amphiagrion,-0.879695556884461,-0.404088408214443,-0.250695603360839,Amphiagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Ceriagrion,0.652952884871983,-0.756762665027653,0.031029001878861,Ceriagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,50
Sangabasis,0.910712593505161,0.395926741075054,0.117663026192562,Sangabasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,12
Xiphiagrion,-0.43481227576856,-0.46814094615329,-0.769273904000173,Xiphiagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Mecistogaster,0.535348326096059,0.317483319707669,0.782691836838449,Mecistogaster,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Mesoleptobasis,-0.426881723642743,-0.505927714379583,0.749539286390281,Mesoleptobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Coenagrion,-0.313447170942228,0.939596355275469,-0.13751203649633,Coenagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,28
Argia,0.356856094018071,0.0750060889164225,-0.9311432837043,Argia,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,145
Nesobasis,-0.502091967196382,-0.628942112949089,-0.593578533166423,Nesobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,29
Oxyagrion,-0.23329538950913,-0.761231407936738,0.605061984266435,Oxyagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,26
Homeoura,-0.750210439797766,0.179179439405361,-0.636458187560521,Homeoura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Leptobasis,-0.238452222670278,-0.921130569146041,0.307667047452754,Leptobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Drepanoneura,0.242259859024224,-0.557452810442028,-0.794075893624688,Drepanoneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Amphiallagma,-0.974864923669404,0.183955984511742,0.125692387841755,Amphiallagma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Telebasis,0.64490948202312,-0.725000162944158,-0.241798518869771,Telebasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,62
Africallagma,-0.691546049093953,-0.654126716647871,0.306402187573816,Africallagma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,12
Megalagrion,-0.500541686555712,-0.286591359586195,0.816898655054897,Megalagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,23
Dolonagrion,-0.753611350051667,-0.326652183367101,0.570410627683961,Dolonagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Phoenicagrion,0.238022938720553,-0.967649364832347,-0.0836647320104867,Phoenicagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,7
Pseudagrion,-0.292577220554661,0.345182513146461,0.891766562857345,Pseudagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,156
Xanthagrion,-0.75741159774876,0.55129252349111,0.349863152015863,Xanthagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Thaumatagrion,-0.592088419712027,0.111758195437638,0.798086091217882,Thaumatagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Coenagriocnemis,-0.193942725502742,-0.81546328326213,-0.545349294375554,Coenagriocnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Pseudostigma,0.689082601160687,0.249445242302271,0.680398588968542,Pseudostigma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Psaironeura,-0.50231166395832,0.802665970580053,-0.321574768792897,Psaironeura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Melanesobasis,0.926896125163413,-0.129481969811619,0.352275449968847,Melanesobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,7
Aciagrion,-0.416258501822326,-0.908870820979805,0.0261283453767647,Aciagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,28
Azuragrion,-0.533014189039669,-0.772742003686228,0.344623954508935,Azuragrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Teinobasis,0.9058298812986,-0.413742698245203,-0.0910450756237944,Teinobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,88
Cyanallagma,-0.644503445327156,0.443797995615629,-0.622622396038703,Cyanallagma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Franciscobasis,-0.868006467449839,0.23933861275978,-0.435065283500621,Franciscobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Paracercion,-0.848301852940587,0.476860690365521,-0.2301908953058,Paracercion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Acanthagrion,-0.980773841881791,-0.158960957509109,-0.113199315670276,Acanthagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,42
Megaloprepus,0.44374683046849,-0.0250481878261883,0.895802064485115,Megaloprepus,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Hesperagrion,-0.88820904371699,0.0493599484123252,0.456780352195761,Hesperagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Microstigma,0.277742514425935,-0.257552015280932,0.925486928651664,Microstigma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Aeolagrion,0.488999909566793,-0.79968216371228,0.348407126052431,Aeolagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Nehalennia,0.655346441887992,-0.296456838085395,-0.694718924643023,Nehalennia,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Peristicta,0.578835160750279,0.663405664614606,0.474175896515683,Peristicta,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Neoneura,0.295699456815841,0.367943286487657,-0.881577886047216,Neoneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,29
Pyrrhosoma,0.949882712563187,0.25528034808324,-0.180429421813911,Pyrrhosoma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Agriocnemis,-0.069694868720608,0.981598462458724,0.177783811897163,Agriocnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,43
Metaleptobasis,0.610439709363232,-0.620264613226719,0.492580116134667,Metaleptobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,32
Protoneura,0.0656187257552662,0.895911114812042,-0.439360281758035,Protoneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,22
Huosoma,0.68810202306735,0.524636501925864,-0.501270532444919,Huosoma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Mortonagrion,-0.180309608182933,0.609318806655621,0.772152211065077,Mortonagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,16
Chromagrion,0.962791835811393,-0.158107908791881,-0.219166078744831,Chromagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Pericnemis,0.870949043649686,-0.150528530855694,-0.467748783818968,Pericnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,13
Minagrion,0.375670210380891,-0.829758185001101,-0.412762943414323,Minagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Vanuatubasis,-0.393051748592523,-0.870256243507032,-0.296924895496132,Vanuatubasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,10
Argiocnemis,0.249595955320099,0.966584853357897,0.0584429666165253,Argiocnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Platystigma,0.356621753345335,0.520363787393248,0.775913947426294,Platystigma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Pandanobasis,0.730114122510672,-0.316576511686237,0.605568064183577,Pandanobasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Neoerythromma,-0.541777630666291,0.585967301706895,0.602593826918232,Neoerythromma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Amphicnemis,0.996236758719929,-0.0211201115132618,0.0840610579571674,Amphicnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,22
Inpabasis,0.816769409619921,0.157553496147806,-0.555035699176845,Inpabasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Austroagrion,-0.379756483460954,0.879275237329511,0.287506643903235,Austroagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Austrocoenagrion,-0.0445290997296424,0.372111391545633,-0.927119340516225,Austrocoenagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Bromeliagrion,0.856869169891179,-0.452924985834385,0.246240091977167,Bromeliagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Epipleoneura,0.204618678675163,0.699986632760511,-0.684214812974575,Epipleoneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,30
Anomisma,0.0012754668362763,-0.0031067213014834,0.999994360717651,Anomisma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Erythromma,-0.770683529016105,0.628722198614629,0.103707738729901,Erythromma,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Forcepsioneura,0.619029131671471,0.777427896893035,0.111394790158863,Forcepsioneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,13
Stenagrion,-0.272874951138238,0.727823531366021,-0.629136049063475,Stenagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Amazoneura,0.510160764974121,0.823313018833643,-0.248780358750552,Amazoneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Franciscagrion,-0.534987754378559,0.0587735578693739,-0.842813011029351,Franciscagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Papuagrion,0.65282080359694,-0.549261086923027,-0.521667764753756,Papuagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,29
Idioneura,0.203747945254196,-0.638276154712809,0.742354581806917,Idioneura,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Argentagrion,-0.831532169891173,-0.118702465373916,-0.542645349330695,Argentagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Xanthocnemis,-0.149283237656989,-0.0026249524548098,-0.988790991352195,Xanthocnemis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Coryphagrion,0.188645336942232,-0.263199486702215,-0.946117839938368,Coryphagrion,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Archibasis,0.0706252535554467,0.832703520337315,0.549196613953575,Archibasis,True,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Acanthallagma,-0.1036032946520917,-0.30582782380418494,0.946433145829344,Acanthallagma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Protallagma,0.171688835897833,-0.8449634156223835,0.5065172947568546,Protallagma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Leptagrion,-0.32874572076804304,0.2641219528072086,-0.9067336130981395,Leptagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,20
Junix,0.7875202424310853,0.5926741871342731,-0.16896501314181384,Junix,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Tuberculobasis,0.2581407322534863,0.20148148439612198,0.9448643150194472,Tuberculobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,13
Lamproneura,-0.2390271931709821,-0.3199761866143513,-0.9167776398476023,Lamproneura,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Oxyallagma,-0.3113076466170829,-0.002675319054847681,0.9503054202863878,Oxyallagma,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Apanisagrion,-0.10255546136295665,-0.9851954373838989,-0.13737659008207742,Apanisagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Tepuibasis,0.3498235163090853,0.858278072123925,0.3754760423094735,Tepuibasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Enacantha,0.45981928494819624,0.5605407993669556,-0.6887381486710198,Enacantha,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Dactylobasis,-0.8917823837724453,-0.42539559097018237,0.15415177967271215,Dactylobasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Nikoulabasis,0.00948696193030378,0.4331005133840911,0.9012957022308327,Nikoulabasis,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Tigriagrion,0.7832148194491061,-0.03396138720181911,0.6208229786135759,Tigriagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Fluminagrion,0.591793201045336,0.2100030148469091,-0.7782541621807898,Fluminagrion,False,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
