,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Cordulia,-0.505891759394516,0.806482698992407,0.306037880012662,Cordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Dorocordulia,-0.888028481580831,-0.285415443901549,0.360476684799066,Dorocordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Somatochlora,-0.888123359476992,0.113983734147341,-0.445246680730053,Somatochlora,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,38
Hemicordulia,-0.407262910621888,0.149918391535939,0.900922525809553,Hemicordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,41
Procordulia,0.397027807196042,0.0364499555506583,0.917082505041644,Procordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,18
Williamsonia,0.716428170728278,0.697410211087374,-0.01869956304296,Williamsonia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Epitheca,-0.659078071905353,-0.680102368113821,-0.321055858098706,Epitheca,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,12
Helocordulia,-0.184567961389644,0.839144786093661,-0.511635315044119,Helocordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Rialla,0.112412985925992,-0.200837397335238,-0.973153461909688,Rialla,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Neurocordulia,-0.0055249866058533,-0.956100545020242,0.292986727233507,Neurocordulia,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,7
Heteronaias,0.876132755481467,-0.463470349594794,-0.132614591274607,Heteronaias,True,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Antipodochlora,0.38283739815367557,0.7455686175149796,0.545493320904781,Antipodochlora,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Schizocordulia,0.23458485960090947,-0.8753117787316589,-0.42284658406996845,Schizocordulia,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Metaphya,0.541047483641156,0.40074685019782835,-0.7393710722648624,Metaphya,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,3
Navicordulia,-0.09702804563202844,-0.5682691305890973,0.8171020460018078,Navicordulia,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,11
Guadalca,0.9311103877034371,0.03138403055145545,0.36338476651766866,Guadalca,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Aeschnosoma,0.6026775930077606,-0.5392202808064197,0.5882356735641064,Aeschnosoma,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,9
Corduliochlora,-0.9067591021426915,0.32424846795279205,0.2695382379397165,Corduliochlora,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Libellulosoma,-0.38732516631665614,0.2916306075361983,-0.8746032267753432,Libellulosoma,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
Cordulisantosia,0.9098807638790514,0.2505921109885169,-0.33063664260513037,Cordulisantosia,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,3
Paracordulia,-0.45230682839110325,-0.25151582977823767,-0.8556625037722208,Paracordulia,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,2
Pentathemis,0.023613419206894016,0.9962878809506458,0.08278203128838581,Pentathemis,False,Corduliidae,Libelluloidea,Anisoptera,Odonata,1
