,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Ophiogomphus,0.161695587679171,-0.895279883543065,0.415124640377084,Ophiogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,26
Onychogomphus,-0.0069580090310978,-0.783767556738462,0.621015300225804,Onychogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,34
Lamelligomphus,-0.0402725384776592,-0.978220072695033,0.203626157507058,Lamelligomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,16
Stylogomphus,-0.633602667267872,0.471594005975976,-0.6133080413288,Stylogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,15
Phyllocycla,-0.950334592253968,0.311051557056016,0.0105400008782108,Phyllocycla,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,31
Erpetogomphus,-0.535757767102008,-0.700035666991076,0.472137352822492,Erpetogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,24
Lestinogomphus,0.160760214236495,0.773612004387415,0.612927907821404,Lestinogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,10
Gomphus,0.852040775995444,0.513638449615925,0.101005243018521,Gomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,8
Leptogomphus,-0.255564512821512,0.6329651153673,-0.730781733840114,Leptogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,25
Phyllogomphus,0.161959153068975,0.711910466791504,-0.683339388598289,Phyllogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,11
Mattigomphus,0.44787842895713,0.0432529150323151,-0.893047646106354,Mattigomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,2
Tragogomphus,-0.0493173688117241,0.19791451358639,0.978977855952499,Tragogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Paragomphus,-0.870232301314042,-0.441864964221269,-0.217832722848066,Paragomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,48
Melligomphus,-0.266260100315147,-0.94895251783292,0.169099609339377,Melligomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,11
Aphylla,-0.703270277434272,-0.27623077579989,0.655062955278737,Aphylla,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,24
Asiagomphus,0.95556194607695,0.0532933050611729,0.289933079943094,Asiagomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,28
Crenigomphus,-0.763092272803202,-0.639416716198216,-0.094002373556914,Crenigomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,6
Trigomphus,0.523186582063626,-0.828639860212711,0.199077327727796,Trigomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,14
Nihonogomphus,0.279576054026083,-0.537949160434691,0.795265949731796,Nihonogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,18
Desmogomphus,-0.426633829408157,0.892073066905976,0.148960460879719,Desmogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Phanogomphus,0.716435114787482,0.692464274427782,-0.0849350042129482,Phanogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,17
Gomphurus,0.923640454979703,0.243683132944995,-0.29581555172607,Gomphurus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,13
Davidius,-0.119635919149722,0.277734284103799,-0.953179371515431,Davidius,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,22
Progomphus,-0.784779143031555,0.53537838790527,0.312236574453751,Progomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,70
Epigomphus,0.129282281156438,-0.940795309521732,-0.313353278841782,Epigomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,33
Stylurus,0.901478931302719,-0.202626653949161,-0.382463299581377,Stylurus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,27
Burmagomphus,0.719022519331943,-0.571515823812325,0.395444408009098,Burmagomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,30
Ictinogomphus,-0.554318490887629,0.472943672913491,0.684876115009976,Ictinogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,19
Zonophora,-0.691194176336542,0.687570196948379,-0.222481088784679,Zonophora,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,10
Notogomphus,0.637563007818533,-0.373476421410988,-0.673816572749163,Notogomphus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,20
Lanthus,-0.488088962936955,-0.25059622755888,-0.83604467284493,Lanthus,True,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
