,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Nannophya,0.655847964811012,0.530442003335996,0.537117052559447,Nannophya,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,8
Pantala,0.854365174983602,0.514295781584844,-0.0745653862007922,Pantala,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Huonia,-0.396711552090761,-0.372507817843544,0.838962377036766,Huonia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,15
Tetrathemis,-0.694949670810775,-0.168171859336945,-0.699115999507343,Tetrathemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,14
Perithemis,0.388953390720915,-0.797248953756552,0.461637699479566,Perithemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,12
Orthetrum,-0.91744534303741,-0.0995986386172857,-0.385193657430328,Orthetrum,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,66
Neurothemis,0.429875503672374,0.285570456689567,-0.856537544774621,Neurothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,17
Paltothemis,0.870904501287555,0.235650613858081,-0.431270376707449,Paltothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Erythrodiplax,0.703104682234896,-0.198955963175513,-0.682686114210821,Erythrodiplax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,61
Anatya,0.168221546497594,-0.825886463821928,-0.538157096180723,Anatya,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Lyriothemis,-0.307146249871165,0.887099266241851,0.344551988854005,Lyriothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,18
Celithemis,-0.508708834328105,-0.8379220660878,0.197742087173401,Celithemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,8
Erythemis,-0.20601617465938,-0.961266788850315,-0.183094228287296,Erythemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,10
Trithemis,-0.545972162603559,-0.627456445624983,-0.55516916926794,Trithemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,50
Dythemis,0.276087126528657,-0.0456899159949796,-0.960046004179759,Dythemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,7
Palpopleura,-0.0769712123504176,-0.298702464575122,-0.951237231255198,Palpopleura,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,7
Eleuthemis,0.188583534174354,0.847684894842777,0.495849341729623,Eleuthemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Onychothemis,-0.731976171354468,0.530538507853881,-0.427480732025938,Onychothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,7
Zygonyx,0.180327654943833,0.0671455385408075,0.981312087725675,Zygonyx,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,24
Zyxomma,0.240205330068074,-0.954891824120937,-0.174593824730077,Zyxomma,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Macrothemis,-0.187724859455124,-0.962668301019533,0.195010562161948,Macrothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,42
Rhodopygia,-0.442413340390277,-0.818909553586522,-0.365592094128744,Rhodopygia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Brachydiplax,0.199171107879545,0.954047108643092,0.223886096655848,Brachydiplax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,7
Micrathyria,0.483141175870589,0.213681287199484,0.849067083144292,Micrathyria,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,48
Orthemis,-0.173909880731696,0.244612206732862,-0.953897385309954,Orthemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,28
