,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Protosticta,-0.733787350148661,0.402900493805113,0.547016742754189,Protosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,58
Drepanosticta,-0.473765661098395,0.880179621981367,-0.0288085302078781,Drepanosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,127
Ceylonosticta,0.695648855552599,0.683183528898557,0.222110187992524,Ceylonosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,22
Palaemnema,-0.859029445549659,-0.456360227549437,-0.231956363115289,Palaemnema,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,43
Platysticta,0.980986485247844,0.193848967600628,0.009385814895517,Platysticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,4
Sinosticta,0.179364244614892,-0.370180326258746,0.91147956302086,Sinosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,4
Telosticta,-0.0597044030595936,0.223842732785637,-0.97279484745467,Telosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,17
Indosticta,0.239147103947584,-0.94589456545612,-0.219299187673052,Indosticta,True,Platystictidae,Platystictoidea,Zygoptera,Odonata,1
Yunnanosticta,0.5216570307646976,-0.4008711615909122,-0.7531110502830989,Yunnanosticta,False,Platystictidae,Platystictoidea,Zygoptera,Odonata,3
Sulcosticta,0.7960622344023018,-0.3099037377508226,0.5198505480294161,Sulcosticta,False,Platystictidae,Platystictoidea,Zygoptera,Odonata,5
