seqId,synonymousDiff,NonSynonymousDiff
GBMA17979-19|Pongo abelii|COI-5P|KU353724,76,5
GBMA17980-19|Pongo abelii|COI-5P|KU353725,71,4
GBMA17981-19|Pongo abelii|COI-5P|KU353726,71,4
GBMA17988-19|Pongo pygmaeus|COI-5P|KU353723,84,5
GBMNA13235-19|Pongo pygmaeus|COI-5P|D38115,84,7
GBMNA16628-19|Pongo abelii|COI-5P|X97707,71,4
GBMTG078-16|Pongo pygmaeus|COI-5P|NC_001646,84,7
GBMTG119-16|Pongo abelii|COI-5P|NC_002083,71,4
GTENK012-11|Pongo abelii|COI-5P,71,4
GBMNA13270-19|Plecturocebus donacophilus|COI-5P|FJ785423,102,13
GBMTG3031-16|Plecturocebus donacophilus|COI-5P|NC_019801,102,13
GBMTG4002-16|Saguinus oedipus|COI-5P|NC_021960,105,16
GBMNA13262-19|Saguinus oedipus|COI-5P|KC757409,105,16
GBMA10254-15|Gorilla beringei graueri|COI-5P|KM242275,62,3
GBMNA18475-19|Gorilla beringei|COI-5P|MH177688,62,3
GBMNA18468-19|Gorilla beringei|COI-5P|MH177681,62,3
GBMNA18474-19|Gorilla beringei|COI-5P|MH177687,62,3
GBMNA18482-19|Gorilla beringei|COI-5P|MH177695,62,3
GBMNA18495-19|Gorilla beringei|COI-5P|MH177708,62,3
GBMNA18497-19|Gorilla beringei|COI-5P|MH177710,62,3
GBMNA18515-19|Gorilla beringei|COI-5P|MH177728,62,3
GBMNA18459-19|Gorilla beringei|COI-5P|MH177672,62,3
GBMNA18467-19|Gorilla beringei|COI-5P|MH177680,62,3
GBMNA18434-19|Gorilla beringei|COI-5P|MH177647,62,3
GBMNA18507-19|Gorilla beringei|COI-5P|MH177720,62,3
GBMNA18449-19|Gorilla beringei|COI-5P|MH177662,62,3
GBMNA18487-19|Gorilla beringei|COI-5P|MH177700,62,3
GBMNA18439-19|Gorilla beringei|COI-5P|MH177652,62,3
GBMNA18479-19|Gorilla beringei|COI-5P|MH177692,62,3
GBMNA18490-19|Gorilla beringei|COI-5P|MH177703,62,3
GBMNA18494-19|Gorilla beringei|COI-5P|MH177707,62,3
GBMNA18520-19|Gorilla beringei|COI-5P|MH177733,62,3
GBMNA18523-19|Gorilla beringei|COI-5P|MH177736,62,3
GBMNA18451-19|Gorilla beringei|COI-5P|MH177664,62,3
GBMNA18541-19|Gorilla beringei|COI-5P|MH177754,62,3
GBMNA18466-19|Gorilla beringei|COI-5P|MH177679,62,3
GBMNA18521-19|Gorilla beringei|COI-5P|MH177734,62,3
GBMNA18531-19|Gorilla beringei|COI-5P|MH177744,62,3
GBMNA18483-19|Gorilla beringei|COI-5P|MH177696,62,3
GBMNA18496-19|Gorilla beringei|COI-5P|MH177709,62,3
GBMNA18501-19|Gorilla beringei|COI-5P|MH177714,62,3
GBMNA18456-19|Gorilla beringei|COI-5P|MH177669,62,3
GBMNA18533-19|Gorilla beringei|COI-5P|MH177746,62,3
GBMNA18524-19|Gorilla beringei|COI-5P|MH177737,62,3
GBMNA18489-19|Gorilla beringei|COI-5P|MH177702,62,3
GBMNA18438-19|Gorilla beringei|COI-5P|MH177651,62,3
GBMNA18444-19|Gorilla beringei|COI-5P|MH177657,62,3
GBMNA18457-19|Gorilla beringei|COI-5P|MH177670,62,3
GBMNA18508-19|Gorilla beringei|COI-5P|MH177721,62,3
GBMNA18535-19|Gorilla beringei|COI-5P|MH177748,62,3
GBMNA18529-19|Gorilla beringei|COI-5P|MH177742,62,3
GBMNA18441-19|Gorilla beringei|COI-5P|MH177654,62,3
GBMNA18527-19|Gorilla beringei|COI-5P|MH177740,62,3
GBMNA18485-19|Gorilla beringei|COI-5P|MH177698,62,3
GBMNA18536-19|Gorilla beringei|COI-5P|MH177749,62,3
GBMNA18470-19|Gorilla beringei|COI-5P|MH177683,62,3
GBMNA18525-19|Gorilla beringei|COI-5P|MH177738,62,3
GBMNA18446-19|Gorilla beringei|COI-5P|MH177659,62,3
GBMNA18506-19|Gorilla beringei|COI-5P|MH177719,62,3
GBMNA18537-19|Gorilla beringei|COI-5P|MH177750,62,3
GBMNA18522-19|Gorilla beringei|COI-5P|MH177735,62,3
GBMNA18436-19|Gorilla beringei|COI-5P|MH177649,62,3
GBMNA18473-19|Gorilla beringei|COI-5P|MH177686,62,3
GBMNA18484-19|Gorilla beringei|COI-5P|MH177697,62,3
GBMNA18481-19|Gorilla beringei|COI-5P|MH177694,62,3
GBMNA18450-19|Gorilla beringei|COI-5P|MH177663,62,3
GBMNA18464-19|Gorilla beringei|COI-5P|MH177677,62,3
GBMNA18498-19|Gorilla beringei|COI-5P|MH177711,62,3
GBMNA18453-19|Gorilla beringei|COI-5P|MH177666,62,3
GBMNA18519-19|Gorilla beringei|COI-5P|MH177732,62,3
GBMNA18510-19|Gorilla beringei|COI-5P|MH177723,62,3
GBMNA18532-19|Gorilla beringei|COI-5P|MH177745,62,3
GBMNA18486-19|Gorilla beringei|COI-5P|MH177699,62,3
GBMNA18503-19|Gorilla beringei|COI-5P|MH177716,62,3
GBMNA18505-19|Gorilla beringei|COI-5P|MH177718,62,3
GBMNA18491-19|Gorilla beringei|COI-5P|MH177704,62,3
GBMNA18516-19|Gorilla beringei|COI-5P|MH177729,62,3
