,x,y,z,class,class_name,color,genus,taxon,seqid
0,7.43703,0.723237,14.588763,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,7.595619,0.78951454,14.680183,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,7.597065,0.73653305,14.760025,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,7.484349,0.9964921,14.613103,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,7.4292154,1.0973148,14.608344,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,7.5358367,0.711824,14.80296,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,7.532283,1.0176346,14.622831,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,7.5807405,0.71547395,14.758569,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,7.5976896,0.6043668,14.7043085,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,3.4624002,4.9646487,18.635248,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,3.4446366,5.0326476,18.775799,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,3.011466,4.9241366,19.21126,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,3.0463836,4.888977,19.283043,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,16.964626,-7.262518,8.063717,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,17.029745,-6.8511186,7.741646,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,17.400421,-7.0871468,7.776418,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,17.214489,-6.7165065,8.057778,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,17.060762,-7.2530293,7.6707883,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,17.273636,-7.27678,7.8051715,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
19,17.055515,-6.7071314,7.765658,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18497-19
20,17.112316,-7.288336,7.927306,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18515-19
21,17.152327,-7.21837,7.621239,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18459-19
22,17.032606,-7.43156,7.8195896,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18467-19
23,17.141623,-6.673824,7.8084683,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18434-19
24,16.893324,-7.092137,8.145562,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18507-19
25,16.780394,-7.2099752,8.211157,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18449-19
26,17.39806,-6.9591975,8.029917,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18487-19
27,17.137796,-7.0272417,7.7397695,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18439-19
28,16.90155,-6.955934,7.902457,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18479-19
29,17.47903,-6.8307085,7.9248657,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18490-19
30,17.41584,-6.9495735,7.9340773,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18494-19
31,17.299395,-6.726316,8.167094,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18520-19
32,17.480053,-6.906224,8.085656,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18523-19
