,x,y,z,class,class_name,color,genus,taxon,seqid
0,-2.1326528,1.0869678,-2.2651896,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,-2.174653,1.0825342,-2.5205104,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,-2.174653,1.0825342,-2.5205104,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,-2.3791952,0.9298521,-2.5520253,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,-2.3048131,0.9605358,-2.465575,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,-2.174653,1.0825342,-2.5205104,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,-2.3048131,0.9605358,-2.465575,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,-2.174653,1.0825342,-2.5205104,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,-2.174653,1.0825342,-2.5205104,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,-0.75962293,-3.2279358,1.2609175,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,-0.75962293,-3.2279358,1.2609175,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,-0.7588585,-2.6182678,1.1432184,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,-0.7588585,-2.6182678,1.1432184,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
19,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18497-19
20,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18515-19
21,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18459-19
22,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18467-19
23,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18434-19
24,-1.631342,0.5178817,-1.7229588,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18507-19
