,x,y,z,class,class_name,color,genus,taxon,seqid
0,-1.9102771,-5.232648,-0.8730902,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,-1.9734437,-5.141065,-0.9369978,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,-1.9734437,-5.141065,-0.9369978,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,-1.8932781,-4.976926,-0.97464526,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,-1.8191764,-4.9633384,-0.959711,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,-1.9734437,-5.141065,-0.9369978,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,-1.8191764,-4.9633384,-0.959711,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,-1.9734437,-5.141065,-0.9369978,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,-1.9734437,-5.141065,-0.9369978,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,-4.480261,2.4363852,-6.208854,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,-4.480261,2.4363852,-6.208854,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,-4.3870897,2.8337326,-5.449908,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,-4.3870897,2.8337326,-5.449908,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,-2.2173796,-4.480535,-0.74447423,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
