,x,y,z,class,class_name,color,genus,taxon,seqid
0,-2.6422644,-25.918058,-19.163294,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,-2.5798054,-25.77291,-19.183073,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,-2.5798054,-25.77291,-19.183073,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,-3.0311325,-25.514597,-19.660921,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,-2.8615794,-25.57163,-19.828224,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,-2.5798054,-25.77291,-19.183073,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,-2.8615794,-25.57163,-19.828224,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,-2.5798054,-25.77291,-19.183073,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,-2.5798054,-25.77291,-19.183073,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,-5.4130163,7.1105194,0.82940334,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,-5.4130163,7.1105194,0.82940334,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,-5.08991,6.9616528,0.46671745,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,-5.08991,6.9616528,0.46671745,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
19,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18497-19
20,2.8796713,-12.032461,-1.037801,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18515-19
