,x,y,z,class,class_name,color,genus,taxon,seqid
0,0.09187884797557573,-0.2813085440264372,0.6792379436181586,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,-0.023087642400001003,0.184587225705407,-0.668395092304321,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,0.19641296946886339,-0.3604435523930408,0.5920761747497852,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,0.0808090283333743,-0.30403144274513777,0.7050471480954809,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,-0.23982683612435263,0.39538696749990276,-0.5995862241691133,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,-0.02267348454248305,0.18393594694467189,-0.6685734710139635,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,0.03600823938915676,0.045792446806220945,-0.750178738614061,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,0.22366305105916556,-0.3975175452200676,0.5571092439753286,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,-0.024349747782260095,0.18657693277408102,-0.6678463339752172,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,-0.11431768373205822,0.20759573703950673,-0.883198653204255,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,-0.11676251873561087,0.21059386361013646,-0.8821812000093817,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,-0.09415714959913436,-0.5231788902307338,0.7861391400019264,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,-0.8566837807550599,0.22132226202657565,-0.2500572618940054,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,-0.16283662925489045,0.23428484246211148,0.5920678196069407,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,-0.16283662306349936,0.23428484139894215,0.5920678232251522,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,-0.16283662324708725,0.23428484143083633,0.592067823117783,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,-0.1628366230320556,0.2342848413940743,0.5920678232434486,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,-0.16283662305908486,0.23428484140045813,0.5920678232273469,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,-0.16283662336618815,0.23428484144786574,0.5920678230488369,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
