seqid,x,y,z
GBMA17979-19,-2.3310714,-2.558295,-5.6366034
GBMA17980-19,-2.484214,-2.7527926,-5.7436957
GBMA17981-19,-2.484214,-2.7527926,-5.7436957
GBMA17988-19,-2.1935277,-2.7827225,-5.982519
GBMNA13235-19,-1.8633441,-2.5151322,-5.7331686
GBMNA16628-19,-2.484214,-2.7527926,-5.7436957
GBMTG078-16,-1.8633441,-2.5151322,-5.7331686
GBMTG119-16,-2.484214,-2.7527926,-5.7436957
GTENK012-11,-2.484214,-2.7527926,-5.7436957
GBMNA13270-19,1.1610677,1.9846597,5.037588
GBMTG3031-16,1.1610677,1.9846597,5.037588
GBMTG4002-16,1.9113445,2.4853723,4.4671097
GBMNA13262-19,1.9113445,2.4853723,4.4671097
GBMA10254-15,-2.0609534,-2.8457513,-5.571208
GBMNA18475-19,-2.0609534,-2.8457513,-5.571208
GBMNA18468-19,-2.0609534,-2.8457513,-5.571208
GBMNA18474-19,-2.0609534,-2.8457513,-5.571208
GBMNA18482-19,-2.0609534,-2.8457513,-5.571208
GBMNA18495-19,-2.0609534,-2.8457513,-5.571208
GBMNA18497-19,-2.0609534,-2.8457513,-5.571208
GBMNA18515-19,-2.0609534,-2.8457513,-5.571208
GBMNA18459-19,-2.0609534,-2.8457513,-5.571208
GBMNA18467-19,-2.0609534,-2.8457513,-5.571208
GBMNA18434-19,-2.0609534,-2.8457513,-5.571208
GBMNA18507-19,-2.0609534,-2.8457513,-5.571208
GBMNA18449-19,-2.0609534,-2.8457513,-5.571208
GBMNA18487-19,-2.0609534,-2.8457513,-5.571208
GBMNA18439-19,-2.0609534,-2.8457513,-5.571208
GBMNA18479-19,-2.0609534,-2.8457513,-5.571208
GBMNA18490-19,-2.0609534,-2.8457513,-5.571208
GBMNA18494-19,-2.0609534,-2.8457513,-5.571208
GBMNA18520-19,-2.0609534,-2.8457513,-5.571208
GBMNA18523-19,-2.0609534,-2.8457513,-5.571208
GBMNA18451-19,-2.0609534,-2.8457513,-5.571208
GBMNA18541-19,-2.0609534,-2.8457513,-5.571208
GBMNA18466-19,-2.0609534,-2.8457513,-5.571208
GBMNA18521-19,-2.0609534,-2.8457513,-5.571208
GBMNA18531-19,-2.0609534,-2.8457513,-5.571208
GBMNA18483-19,-2.0609534,-2.8457513,-5.571208
GBMNA18496-19,-2.0609534,-2.8457513,-5.571208
GBMNA18501-19,-2.0609534,-2.8457513,-5.571208
GBMNA18456-19,-2.0609534,-2.8457513,-5.571208
GBMNA18533-19,-2.0609534,-2.8457513,-5.571208
GBMNA18524-19,-2.0609534,-2.8457513,-5.571208
GBMNA18489-19,-2.0609534,-2.8457513,-5.571208
GBMNA18438-19,-2.0609534,-2.8457513,-5.571208
GBMNA18444-19,-2.0609534,-2.8457513,-5.571208
GBMNA18457-19,-2.0609534,-2.8457513,-5.571208
GBMNA18508-19,-2.0609534,-2.8457513,-5.571208
GBMNA18535-19,-2.0609534,-2.8457513,-5.571208
GBMNA18529-19,-2.0609534,-2.8457513,-5.571208
GBMNA18441-19,-2.0609534,-2.8457513,-5.571208
GBMNA18527-19,-2.0609534,-2.8457513,-5.571208
GBMNA18485-19,-2.0609534,-2.8457513,-5.571208
GBMNA18536-19,-2.0609534,-2.8457513,-5.571208
GBMNA18470-19,-2.0609534,-2.8457513,-5.571208
GBMNA18525-19,-2.0609534,-2.8457513,-5.571208
GBMNA18446-19,-2.0609534,-2.8457513,-5.571208
GBMNA18506-19,-2.0609534,-2.8457513,-5.571208
GBMNA18537-19,-2.0609534,-2.8457513,-5.571208
GBMNA18522-19,-2.0609534,-2.8457513,-5.571208
GBMNA18436-19,-2.0609534,-2.8457513,-5.571208
GBMNA18473-19,-2.0609534,-2.8457513,-5.571208
GBMNA18484-19,-2.0609534,-2.8457513,-5.571208
GBMNA18481-19,-2.0609534,-2.8457513,-5.571208
GBMNA18450-19,-2.0609534,-2.8457513,-5.571208
GBMNA18464-19,-2.0609534,-2.8457513,-5.571208
GBMNA18498-19,-2.0609534,-2.8457513,-5.571208
GBMNA18453-19,-2.0609534,-2.8457513,-5.571208
GBMNA18519-19,-2.0609534,-2.8457513,-5.571208
GBMNA18510-19,-2.0609534,-2.8457513,-5.571208
GBMNA18532-19,-2.0609534,-2.8457513,-5.571208
GBMNA18486-19,-2.0609534,-2.8457513,-5.571208
GBMNA18503-19,-2.0609534,-2.8457513,-5.571208
GBMNA18505-19,-2.0609534,-2.8457513,-5.571208
GBMNA18491-19,-2.0609534,-2.8457513,-5.571208
GBMNA18516-19,-2.0609534,-2.8457513,-5.571208
GBMNA18538-19,-2.0609534,-2.8457513,-5.571208
GBMNA18465-19,-2.0609534,-2.8457513,-5.571208
GBMNA18435-19,-2.0609534,-2.8457513,-5.571208
GBMNA18447-19,-2.0609534,-2.8457513,-5.571208
GBMNA18539-19,-2.0609534,-2.8457513,-5.571208
GBMNA18513-19,-2.0609534,-2.8457513,-5.571208
GBMNA18460-19,-2.0609534,-2.8457513,-5.571208
GBMNA18480-19,-2.0609534,-2.8457513,-5.571208
GBMNA18540-19,-2.0609534,-2.8457513,-5.571208
GBMNA18500-19,-2.0609534,-2.8457513,-5.571208
GBMNA18504-19,-2.0609534,-2.8457513,-5.571208
GBMNA18534-19,-2.0609534,-2.8457513,-5.571208
GBMNA18517-19,-2.0609534,-2.8457513,-5.571208
GBMNA18440-19,-2.0609534,-2.8457513,-5.571208
GBMNA18499-19,-2.0609534,-2.8457513,-5.571208
GBMNA18472-19,-2.0609534,-2.8457513,-5.571208
GBMNA18455-19,-2.0609534,-2.8457513,-5.571208
GBMNA18509-19,-2.0609534,-2.8457513,-5.571208
GBMNA18461-19,-2.0609534,-2.8457513,-5.571208
GBMNA18512-19,-2.0609534,-2.8457513,-5.571208
GBMNA18518-19,-2.0609534,-2.8457513,-5.571208
GBMNA18448-19,-2.0609534,-2.8457513,-5.571208
