,x,y,z,class,class_name,color,genus,taxon,seqid
0,-2.3310714,-2.558295,-5.6366034,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17979-19
1,-2.484214,-2.7527926,-5.7436957,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17980-19
2,-2.484214,-2.7527926,-5.7436957,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMA17981-19
3,-2.1935277,-2.7827225,-5.982519,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMA17988-19
4,-1.8633441,-2.5151322,-5.7331686,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMNA13235-19
5,-2.484214,-2.7527926,-5.7436957,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMNA16628-19
6,-1.8633441,-2.5151322,-5.7331686,9,Others,#BAB0AC,Pongo,Pongo pygmaeus,GBMTG078-16
7,-2.484214,-2.7527926,-5.7436957,9,Others,#BAB0AC,Pongo,Pongo abelii,GBMTG119-16
8,-2.484214,-2.7527926,-5.7436957,9,Others,#BAB0AC,Pongo,Pongo abelii,GTENK012-11
9,1.1610677,1.9846597,5.037588,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMNA13270-19
10,1.1610677,1.9846597,5.037588,9,Others,#BAB0AC,Plecturocebus,Plecturocebus donacophilus,GBMTG3031-16
11,1.9113445,2.4853723,4.4671097,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMTG4002-16
12,1.9113445,2.4853723,4.4671097,9,Others,#BAB0AC,Saguinus,Saguinus oedipus,GBMNA13262-19
13,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei graueri,GBMA10254-15
14,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18475-19
15,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18468-19
16,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18474-19
17,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18482-19
18,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18495-19
19,-2.0609534,-2.8457513,-5.571208,3,Gorilla,#DF585C,Gorilla,Gorilla beringei,GBMNA18497-19
